zcta,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
96701,0,0,0,0,0,0,0,0,0,0,3141,3141,0,0,0,0,0,31
96701,0,0,0,0,0,0,0,0,0,0,6208,0,0,0,6208,0,0,44
96701,0,0,0,0,0,0,0,43530,0,0,43530,0,43530,0,43530,0,0,116
96701,0,0,0,0,0,0,569,0,0,0,0,0,0,0,0,0,0,13
96701,0,0,0,0,0,0,1222,0,0,0,1222,0,1222,0,0,0,0,19
96701,0,0,0,0,0,0,2330,0,0,0,0,0,0,0,0,0,0,27
96701,0,0,0,0,0,0,3591,0,0,0,0,0,0,0,0,3591,0,33
96701,0,0,0,0,0,0,39022,0,39022,0,0,0,0,0,39022,0,26058,110
96701,0,0,0,1,0,0,5949,5949,0,0,0,0,0,0,0,0,53158,43
96701,0,0,0,1,0,0,24834,0,0,0,0,0,0,0,24834,24834,0,87
96701,0,0,0,1,0,0,99686,0,0,0,0,0,0,99686,0,99686,0,175
96701,0,0,0,1,1,0,0,0,0,8587,0,0,0,0,0,8587,0,51
96701,6,0,0,1,0,0,5611,0,0,0,0,0,0,0,0,0,1042,42
96701,12,0,0,1,1,0,898,0,0,0,0,0,0,898,898,898,2408,17
96701,14,0,0,0,0,0,7114,0,0,0,0,0,0,7114,0,0,2085,47
96701,15,0,0,0,0,0,0,0,0,0,7686,0,0,7686,7686,0,2116,49
96701,22,0,0,0,0,0,1261,0,0,0,0,0,0,1261,0,0,3127,20
96701,26,0,1,0,0,0,801,0,0,0,0,0,0,801,801,0,3752,16
96701,34,0,0,0,0,0,1552,0,0,0,0,0,0,1552,1552,0,4690,22
96701,35,0,0,1,0,0,739,0,0,0,0,0,0,739,0,739,6150,15
96701,53,0,0,0,0,0,0,335,0,0,0,0,335,335,0,0,9589,10
96701,54,1,0,1,0,0,10199,10199,10199,10199,0,0,10199,0,0,0,98238,56
96701,60,0,1,1,1,2494,2494,0,2494,0,2494,0,2494,2494,0,0,507189,28
96701,62,0,0,0,0,0,5045,0,0,0,0,0,0,5045,0,0,8755,39
96701,66,1,0,0,0,0,9215,9215,0,9215,0,0,9215,0,9215,0,106941,53
96701,67,0,0,1,0,0,770,0,0,0,0,0,0,770,770,0,9381,15
96701,70,0,0,0,0,0,1686,0,0,0,0,0,1686,1686,0,1686,12716,23
96701,71,0,0,0,1,0,1000,0,1000,0,0,0,0,1000,0,0,10423,18
96701,73,0,0,0,0,0,709,0,0,0,0,0,0,709,0,709,12508,15
96701,79,0,0,1,0,0,1000,0,0,0,0,0,1000,1000,1000,0,14280,18
96701,79,0,0,1,0,0,1301,0,0,0,0,0,0,0,0,0,12508,20
96701,81,0,0,0,0,0,833,0,0,0,0,0,0,0,0,0,47946,16
96701,81,0,0,0,0,0,1341,0,0,0,1341,1341,1341,0,0,0,31269,20
96701,90,0,0,1,1,0,0,2384,0,0,2384,2384,0,0,2384,0,43673,27
96701,94,0,0,1,0,0,7784,0,7784,0,0,0,0,0,0,0,22201,49
96701,95,0,0,0,0,0,739,0,0,0,0,0,0,739,0,739,12925,15
96701,96,0,0,0,0,0,2020,0,0,0,0,0,0,2020,0,0,16677,25
96701,97,1,1,1,1,0,0,0,1686,0,0,0,0,1686,1686,0,14280,23
96701,100,0,0,0,0,0,0,0,0,0,163,163,0,0,0,0,15635,7
96701,105,0,0,0,0,0,1000,0,0,0,0,0,0,1000,1000,0,14811,18
96701,108,0,0,0,0,0,0,0,0,0,1341,1341,0,0,0,0,17094,20
96701,108,0,0,1,0,0,1036,0,0,0,0,0,0,1036,1036,0,15843,18
96701,113,0,0,1,0,0,0,0,0,0,652,0,0,0,0,0,40442,14
96701,116,0,0,0,0,0,6035,0,0,0,0,0,0,6035,6035,6035,20325,43
96701,116,0,0,1,1,0,0,0,18785,0,0,0,0,18785,18785,0,17740,76
96701,124,0,0,0,0,0,0,0,0,0,4215,0,4215,0,0,0,47842,36
96701,124,0,0,1,0,739,739,0,739,739,739,0,0,0,739,0,43777,15
96701,125,0,0,0,0,0,0,0,0,0,2121,0,2121,0,2121,0,37211,26
96701,125,0,0,0,0,0,966,0,0,0,966,0,966,0,0,0,36064,17
96701,126,0,0,0,0,0,0,1596,0,0,0,0,1596,0,0,0,18762,22
96701,126,0,0,1,0,0,0,0,0,0,680,0,0,0,680,0,19908,14
96701,127,0,0,0,0,0,1778,0,0,0,0,0,0,0,0,1778,24953,23
96701,130,0,0,0,0,0,10199,10199,0,0,0,10199,10199,0,0,10199,29914,56
96701,132,0,0,1,0,0,0,0,0,0,2225,0,0,0,0,0,20742,26
96701,134,0,0,0,0,0,1382,0,0,0,0,0,0,0,0,0,19804,21
96701,137,0,0,0,0,0,0,0,0,0,652,0,0,0,652,0,20221,14
96701,137,0,0,0,0,0,1778,0,0,0,0,0,0,1778,0,1778,26058,23
96701,138,0,0,1,0,0,931,0,0,0,0,0,931,931,931,931,25224,17
96701,139,0,0,1,0,0,1922,0,0,0,0,0,0,1922,0,0,19804,24
96701,140,0,0,0,0,0,127301,0,0,0,0,0,0,127301,127301,127301,19908,198
96701,141,0,0,1,0,0,1552,0,0,0,1552,0,0,0,0,0,108400,22
96701,142,0,0,1,0,0,0,0,2721,2721,0,0,0,2721,2721,0,22514,29
96701,145,0,0,0,0,0,0,0,0,0,1826,1826,1826,0,0,0,35439,24
96701,145,0,0,0,0,0,0,0,0,0,27527,0,27527,0,0,0,52116,92
96701,145,0,0,0,0,0,7882,0,7882,0,7882,0,0,0,0,0,43986,49
96701,146,0,0,0,0,0,4072,0,0,0,0,0,0,4072,4072,0,19804,35
96701,148,0,0,0,0,0,0,5204,0,0,5204,0,5204,0,0,0,28872,40
96701,149,0,0,0,0,1826,1826,0,1826,0,1826,0,0,0,0,0,132373,24
