Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
05125010411,5766,4610,647,11,32,0,73,40.9,83966,57,751,31,1070,337,35,99,173,2126,1762,364,854,0,1921,135,70,1921,1921,1610,85,32,32,116,101,333,276,78,78,5715,0,0,43,8,0,32,3946,5649,2126,191,0,1441.9,6,5,Xfinity -- Aristotle Unified Communications -- Cable America -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
05125010507,4058,3947,0,0,0,0,161,41.7,73266,0,972,227,635,97,16,223,159,1413,1299,114,321,0,1160,147,106,1173,1173,556,206,110,110,115,79,147,104,161,123,3991,0,9,29,29,111,0,2782,3833,1413,129,1,26.51,7,5,Xfinity -- Aristotle Unified Communications -- Connect2First -- Cable America -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
05125010508,4983,4454,19,0,44,0,193,45.6,84078,11,762,225,727,278,84,356,145,1943,1731,212,523,0,1477,396,70,1477,1477,578,466,201,104,249,44,78,49,89,70,4862,12,25,68,16,0,0,3594,4807,1943,146,0,63.17,7,4,Aristotle Unified Communications -- Connect2First -- Cable America -- Optimum -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
05125010509,5861,5214,405,0,0,0,351,37.2,99917,13,850,196,851,380,122,228,58,1973,1936,37,940,0,1854,20,99,1870,1870,1524,95,75,68,62,50,58,47,234,234,5704,0,10,37,110,127,0,3765,5351,1973,178,0,465.7,6,5,Xfinity -- Aristotle Unified Communications -- Cable America -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
05125010511,5975,5178,481,27,73,0,173,41.7,79246,64,654,276,1151,272,185,339,49,2339,1905,434,750,10,2186,72,71,2208,2198,1858,89,0,0,84,69,281,233,208,201,5792,0,0,148,35,110,73,4108,5749,2339,197,0,351.35,6,5,Xfinity -- Aristotle Unified Communications -- Cable America -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
05125010512,3304,3168,19,6,0,0,81,35.7,94203,14,842,44,476,147,29,0,209,1222,1083,139,392,0,1105,82,35,1105,1105,743,117,0,0,61,25,90,81,154,128,3295,0,9,0,0,0,0,2412,3145,1222,83,0,197.62,5,4,Aristotle Unified Communications -- Cable America -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
05125010513,2811,2618,0,0,15,0,114,34.5,89954,0,638,103,200,54,0,84,108,959,834,125,442,0,827,40,92,827,827,553,104,83,38,66,28,95,64,24,15,2796,0,0,15,0,0,15,1862,2671,959,159,0,97.18,5,4,Aristotle Unified Communications -- Cable America -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
05125010514,3339,2996,238,0,9,0,225,42.6,89757,43,649,267,407,202,7,135,290,1035,830,205,308,0,728,179,128,731,731,353,259,28,0,62,13,95,50,93,17,3242,0,47,9,41,9,9,2548,3128,1035,159,0,137.07,5,4,Aristotle Unified Communications -- Cable America -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
05125010515,2559,2386,44,0,0,0,33,72.8,85000,0,439,46,801,314,50,160,68,1242,1136,106,37,0,1167,0,75,1167,1167,950,7,86,18,1,1,99,99,172,165,2503,0,20,36,0,0,36,2490,2551,1242,60,0,613.79,5,4,Aristotle Unified Communications -- Optimum -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
05125010516,1910,1904,6,0,0,0,17,70.3,69750,1,373,72,422,270,14,52,21,1031,926,105,44,0,916,83,32,916,916,770,66,20,20,15,15,119,100,188,159,1734,0,77,99,0,0,0,1854,1910,1031,54,0,197.98,5,4,Aristotle Unified Communications -- Optimum -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
