Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
49053270903,3579,3205,0,0,0,0,412,37.5,55167,25,751,28,340,111,55,117,84,1344,914,430,393,0,1229,51,64,1229,1229,900,115,49,14,91,73,93,82,285,234,3135,0,12,429,3,134,7,2235,3454,1344,73,0,863.35,4,3,FIF St. George LLC -- TDS Telecom -- Verizon -- CenturyLink,0,0,1,1
49053270904,5457,5020,0,0,23,0,414,58.3,51193,0,990,127,694,146,97,193,234,2488,1705,783,440,17,2214,164,93,2231,2214,1678,234,72,72,282,259,564,481,305,195,5107,0,84,141,125,99,39,4341,5226,2488,148,0,635.33,5,4,FIF St. George LLC -- TDS Telecom -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
49053270905,7167,6625,105,53,22,60,729,39.8,83438,34,917,180,866,449,84,188,778,2350,1766,584,816,0,2185,127,38,2223,2223,2009,74,60,33,167,166,236,216,176,149,6905,0,25,128,109,23,0,5037,6556,2350,135,0,79.04,5,4,FIF St. George LLC -- TDS Telecom -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
49053271000,4483,3871,0,31,0,39,465,31.6,56278,0,394,92,608,133,15,123,447,1491,1135,356,611,24,1342,118,7,1366,1342,1061,67,84,48,73,73,195,174,281,260,4352,0,23,20,88,43,15,2696,4042,1491,105,1,229.59,5,4,FIF St. George LLC -- TDS Telecom -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
49053271101,5900,4677,0,396,191,0,1470,28.3,56250,0,641,49,652,222,39,423,295,1975,1018,957,857,0,1655,196,124,1655,1655,1240,278,111,42,157,156,436,247,225,209,4877,0,45,409,569,187,108,3364,5464,1975,96,0,2787.71,6,4,FIF St. George LLC -- TDS Telecom -- T-Mobile US -- Verizon -- Kayenta Technologies -- CenturyLink,0,0,1,1
49053271102,6335,5484,0,67,126,0,476,37.0,69688,0,1080,70,561,247,12,210,451,2250,1343,907,700,0,2113,107,30,2128,2128,1825,64,26,26,133,133,174,118,226,205,5866,0,53,173,243,236,0,3985,6057,2250,92,0,5743.05,5,3,FIF St. George LLC -- TDS Telecom -- Verizon -- Kayenta Technologies -- CenturyLink,0,0,1,1
49053271200,4709,4234,126,221,85,0,295,33.3,55522,44,689,60,554,295,12,366,441,1699,875,824,449,0,1493,206,0,1493,1493,1112,75,32,32,79,79,341,276,235,215,4501,0,0,73,135,1,0,3095,4403,1699,78,0,2238.66,5,3,FIF St. George LLC -- TDS Telecom -- Verizon -- Kayenta Technologies -- CenturyLink,0,0,1,1
49053271300,3910,3517,82,0,3,12,516,23.3,52174,0,343,53,162,204,11,521,364,1170,397,773,335,0,945,188,37,945,945,693,125,40,39,84,73,236,122,185,185,3658,0,0,72,180,195,11,1716,3773,1170,87,0,5830.59,5,3,FIF St. George LLC -- TDS Telecom -- T-Mobile US -- Kayenta Technologies -- CenturyLink,0,0,1,1
49053271400,3718,3200,0,21,69,0,669,38.6,45259,6,539,105,455,200,24,265,342,1556,690,866,444,0,1351,110,95,1363,1363,1054,122,180,160,105,105,337,254,337,316,3312,0,20,78,308,169,99,2573,3495,1556,114,0,4294.69,7,4,FIF St. George LLC -- Utah Telecommunication Open Infrastructure Agency -- TDS Telecom -- T-Mobile US -- Verizon -- Kayenta Technologies -- CenturyLink,0,0,1,1
49053271501,4780,3869,0,5,0,59,1304,34.8,64552,85,493,69,289,178,46,124,445,1581,761,820,597,0,1465,103,13,1478,1478,1099,103,34,15,49,12,182,182,273,238,4040,0,12,232,496,500,59,2774,4377,1581,122,0,1270.63,7,4,FIF St. George LLC -- Utah Telecommunication Open Infrastructure Agency -- TDS Telecom -- T-Mobile US -- Verizon -- Kayenta Technologies -- CenturyLink,0,0,1,1
