Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
32003003620,5307,2135,829,0,753,18,1529,37.1,106125,14,930,152,528,223,81,290,83,1671,1323,348,720,0,1654,17,0,1654,1654,1580,8,75,75,8,0,62,62,172,163,4077,18,90,600,522,163,212,3514,5110,1671,351,0,6288.95,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003621,2987,2387,244,10,224,22,103,71.9,61865,0,750,30,584,271,49,29,123,1711,1230,481,0,0,1601,62,48,1603,1603,1362,72,19,19,66,40,190,183,329,304,2649,8,7,273,50,8,125,2987,2987,1711,356,0,3581.0,7,4,LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003626,4529,1755,751,68,666,0,1900,35.9,111280,53,1029,81,724,279,27,214,60,1262,1093,169,488,0,1235,27,0,1235,1235,1002,5,26,12,16,16,46,46,178,178,3028,0,85,1005,411,372,81,3005,4257,1262,262,0,1450.69,11,6,Charter Communications Inc -- WeLink Communications Inc -- TPx Communications -- LV.Net -- Stimulus Technologies of Missouri -- NetFortris -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003627,5579,1658,1471,261,556,7,1950,31.4,87638,0,908,144,256,161,9,56,783,1835,911,924,839,0,1752,48,35,1752,1752,1553,35,38,38,86,78,154,154,209,163,4422,7,73,750,327,176,239,3593,5204,1835,408,0,9478.94,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003630,6855,3652,625,45,506,198,2897,38.3,87034,0,1505,274,518,293,0,249,311,2193,1822,371,819,0,1866,159,168,1905,1905,1698,269,57,26,170,64,298,189,174,174,5375,49,117,616,698,426,152,4661,6390,2193,475,0,6476.36,7,4,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003631,3995,1802,832,0,370,26,1222,36.2,81413,0,659,10,494,177,6,54,261,1304,1010,294,473,0,1233,56,15,1233,1233,1094,62,14,14,49,49,128,76,109,90,3306,3,127,298,261,199,45,2683,3579,1304,324,0,7233.56,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003632,3056,1623,371,0,152,146,750,40.6,77763,0,573,158,332,73,7,35,169,1042,909,133,506,0,980,28,34,980,980,762,48,29,18,55,55,84,75,70,58,2714,16,39,200,87,165,44,2028,2915,1042,220,0,5952.64,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003633,4437,1974,649,32,483,6,2117,38.4,75966,0,1316,158,316,65,34,9,27,1360,1108,252,442,0,1200,150,10,1200,1200,1089,134,0,0,26,26,94,94,249,205,3390,12,70,598,367,372,213,3171,4280,1360,269,0,8150.11,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003634,4358,2281,633,17,365,0,1682,38.1,69335,59,705,22,249,244,35,93,104,1489,1226,263,564,0,1414,58,17,1414,1414,1220,22,33,33,30,0,104,87,233,233,3326,0,55,476,501,321,235,3001,4155,1489,306,0,8452.73,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003635,6098,2075,1438,0,440,0,2314,35.9,69764,0,1647,89,501,101,34,227,136,1831,1168,663,616,0,1732,29,70,1784,1784,1708,47,88,59,66,66,92,92,268,268,5104,36,46,505,407,366,94,4007,5857,1831,420,0,10517.47,7,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- CenturyLink,0,0,1,1
32003003636,3144,996,883,0,174,15,1088,37.9,100577,49,605,51,319,182,14,45,241,872,787,85,282,0,861,11,0,861,861,800,5,35,35,9,9,62,56,40,40,2585,0,41,352,166,279,44,2069,3029,872,183,0,7683.1,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003637,4921,1913,1398,30,288,0,1487,31.7,70375,7,563,271,375,82,0,364,234,1573,757,816,573,0,1445,71,57,1445,1445,1284,128,122,80,78,78,124,98,234,218,4114,10,161,250,386,265,72,3011,4670,1573,357,0,9373.11,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003638,4118,1474,1003,0,274,7,1430,29.2,85847,21,612,151,261,91,20,293,290,1374,891,483,699,0,1328,19,27,1339,1339,1187,35,88,69,55,51,79,79,107,107,3420,0,39,385,274,313,77,2485,3820,1374,273,0,6766.25,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003639,4018,2168,523,0,132,68,1655,35.2,74141,71,973,157,413,134,10,220,271,1327,873,454,492,0,1227,57,43,1239,1239,1121,78,45,34,11,11,201,201,171,124,3078,65,27,439,409,376,101,2754,3803,1327,298,0,8091.33,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003640,6071,2168,2205,127,479,183,2093,31.2,56859,105,917,131,410,131,2,161,581,1855,1042,813,1013,0,1695,124,36,1705,1705,1312,130,51,51,310,279,159,122,318,272,4700,45,53,460,813,509,191,3541,5500,1855,508,0,3319.4,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003641,6607,1885,2370,0,502,0,2666,30.8,68860,0,1418,83,565,116,24,131,719,2054,1202,852,966,0,1893,118,43,1893,1893,1737,144,45,28,85,85,137,127,386,323,5480,54,28,574,471,488,74,4180,6177,2054,616,0,6159.01,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003642,4767,1447,2283,0,517,0,1304,29.2,74896,65,538,37,415,70,0,141,80,1218,650,568,664,18,1117,31,52,1135,1117,885,72,8,8,29,29,192,138,29,29,3735,0,83,589,360,462,231,2809,4454,1218,367,0,4877.11,8,4,TPx Communications -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003643,5678,1332,2367,0,343,13,1741,35.2,69983,64,1092,95,332,121,0,547,395,1779,862,917,580,0,1558,170,51,1590,1590,1275,157,156,115,40,40,241,192,176,146,4655,0,106,451,466,471,125,3782,5264,1779,587,0,10949.74,7,4,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003644,5043,1341,1705,96,280,64,1615,31.4,65385,6,915,184,220,110,39,254,344,1780,967,813,630,0,1643,137,0,1643,1643,1173,53,117,117,64,16,231,231,273,246,3992,51,42,604,354,613,103,3065,4725,1780,689,0,10768.58,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003645,4522,2177,1004,93,276,0,1739,36.6,75985,10,940,108,476,134,14,1,182,1546,1083,463,428,25,1178,69,274,1203,1178,988,325,33,0,63,63,240,158,129,90,3386,0,313,523,300,584,15,2853,4239,1546,505,0,7787.99,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003646,5045,2400,1037,11,244,0,2670,37.5,57103,183,1291,110,430,35,54,123,185,1600,1074,526,482,42,1534,9,15,1576,1534,1234,24,116,116,98,83,249,249,191,191,3589,45,58,524,829,671,56,3517,4702,1600,480,0,9029.07,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003647,5486,1727,1198,42,561,0,1755,39.2,92989,0,639,99,528,278,16,182,233,1882,1533,349,511,0,1805,52,25,1819,1819,1556,11,137,137,71,71,88,88,83,83,4728,0,64,563,131,436,108,3928,5128,1882,492,0,5597.48,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003648,4688,2815,850,0,15,0,2472,29.2,91325,0,499,178,358,63,27,107,142,1307,814,493,652,0,1126,168,13,1126,1126,952,67,16,16,36,36,156,156,94,72,3761,0,67,535,325,421,51,2634,4187,1307,300,0,3077.05,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003649,2616,651,370,10,583,45,822,32.0,88600,0,383,31,304,154,10,18,153,642,470,172,279,0,617,0,25,617,617,573,25,0,0,0,0,67,42,10,10,1809,0,363,383,61,207,53,1665,2402,642,240,0,321.91,9,5,Xfinity -- TPx Communications -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003650,3531,1429,668,19,56,0,1816,31.2,70711,0,626,101,62,81,0,8,383,1214,759,455,466,0,1075,105,34,1100,1100,1000,104,0,0,118,118,143,133,146,146,2640,12,32,447,400,199,95,2254,3175,1214,263,0,7205.92,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003651,5791,2033,1431,48,377,0,1815,33.9,70086,0,1624,163,356,54,15,241,306,1885,1167,718,893,0,1868,11,6,1868,1868,1771,11,60,60,34,28,285,285,165,154,4300,60,134,504,793,772,48,3621,5517,1885,343,0,12223.74,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003652,4764,1388,2240,21,76,0,1363,35.8,76921,0,1278,22,465,249,0,69,67,1577,858,719,689,0,1562,0,15,1562,1562,1495,15,0,0,0,0,416,416,92,92,4233,36,125,146,224,230,28,3143,4712,1577,333,0,9608.91,7,4,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003653,2327,1035,439,0,145,25,919,35.5,102813,0,288,82,84,132,0,118,188,798,667,131,275,0,777,0,21,777,777,668,21,24,24,9,9,35,35,154,133,1892,15,21,283,116,107,50,1466,2197,798,160,0,4873.25,7,4,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003654,3374,1170,752,62,568,67,877,35.6,95227,10,948,36,277,130,12,0,101,1122,810,312,409,0,1122,0,0,1122,1122,1049,0,0,0,46,46,142,142,222,222,2549,4,108,449,264,61,156,2365,2908,1122,210,0,10961.77,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003655,5947,2011,1490,0,392,119,2405,35.9,89398,42,1006,252,949,365,0,134,263,1739,1229,510,769,0,1615,17,107,1615,1615,1483,115,72,72,25,25,169,104,147,134,4505,98,66,720,558,492,199,3887,5708,1739,360,0,8537.86,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003656,3267,1279,1039,0,201,0,638,37.4,72806,13,397,136,402,106,0,51,59,1346,689,657,266,0,1153,186,7,1153,1153,1115,103,14,14,48,48,148,134,135,135,2759,0,99,268,141,315,47,2236,3112,1346,415,0,3889.97,7,4,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
