Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
29189214700,8305,3869,1563,0,86,0,2700,31.5,54792,64,1157,265,580,246,66,659,469,3110,1860,1250,1085,0,2818,225,67,2829,2829,2276,181,145,33,203,188,578,559,485,431,6588,0,417,868,432,600,50,5634,7552,3110,915,0,7056.3,6,4,Brown Dog Networks -- Charter Communications Inc -- Everstream -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
29189214800,4567,3480,850,12,1,0,273,48.4,62883,46,1326,194,310,88,46,244,210,2403,1533,870,520,0,1797,263,343,1815,1815,1580,502,104,65,245,126,336,174,391,358,4197,0,15,80,275,115,60,3540,4388,2403,852,0,3879.45,6,4,Brown Dog Networks -- Charter Communications Inc -- Everstream -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
29189214901,3601,2059,1228,0,12,0,168,31.5,46667,11,752,65,556,89,19,453,23,1630,888,742,525,0,1285,80,265,1285,1285,1138,280,256,64,67,0,94,79,460,449,3485,0,41,59,16,0,3,2570,3343,1630,444,0,2665.87,6,4,Brown Dog Networks -- Charter Communications Inc -- Everstream -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
29189214902,2939,1635,1008,25,175,0,118,36.8,56071,0,542,27,348,139,78,280,108,1376,611,765,320,0,1295,56,25,1295,1295,1148,73,67,33,27,27,243,221,327,302,2486,0,15,155,283,24,18,2172,2611,1376,455,0,3719.95,6,4,Brown Dog Networks -- Charter Communications Inc -- T-Mobile US -- Everstream -- Verizon -- AT&T Inc,0,0,1,1
29189215001,2700,1288,353,0,954,0,96,31.3,85678,0,126,77,618,515,55,51,162,1242,428,814,329,0,1232,10,0,1232,1232,1105,10,28,28,88,88,89,89,26,26,1553,0,67,88,992,55,212,1971,2553,1242,136,0,1136.52,11,5,Xfinity -- Brown Dog Networks -- Charter Communications Inc -- TPx Communications -- Cable America -- i3 Broadband -- Everstream -- T-Mobile US -- Bluebird Network LLC -- Verizon -- AT&T Inc,0,0,1,1
29189215003,4425,3049,530,0,507,0,54,45.8,95733,5,306,74,1194,578,107,84,20,1905,1656,249,464,0,1745,33,127,1753,1753,1568,98,66,41,21,21,185,162,238,197,3766,0,111,367,181,0,225,3206,4079,1905,168,0,3094.75,8,4,Brown Dog Networks -- Charter Communications Inc -- Optimum -- Everstream -- T-Mobile US -- Bluebird Network LLC -- Verizon -- AT&T Inc,0,0,1,1
29189215004,3341,1871,833,12,340,0,160,46.0,66592,41,343,52,837,634,89,84,232,1795,784,1011,306,0,1668,74,53,1678,1668,1435,84,123,123,185,120,196,156,103,81,2797,0,0,301,243,0,244,2678,3221,1795,156,0,3394.17,7,4,Brown Dog Networks -- Charter Communications Inc -- Everstream -- T-Mobile US -- Bluebird Network LLC -- Verizon -- AT&T Inc,0,0,1,1
29189215005,5896,3799,962,0,1106,0,144,40.9,86138,0,529,65,1119,1151,191,300,75,2669,1511,1158,705,0,2436,61,172,2436,2436,2114,200,146,79,84,70,392,284,224,197,4690,0,37,427,742,0,493,4276,5422,2669,228,0,5413.76,7,4,Brown Dog Networks -- Charter Communications Inc -- T-Mobile US -- Everstream -- Bluebird Network LLC -- Verizon -- AT&T Inc,0,0,1,1
29189215102,5983,4039,1149,47,552,0,176,35.6,72318,28,560,108,1022,698,219,147,316,2832,1501,1331,800,0,2548,214,70,2548,2548,2301,70,51,42,130,84,350,193,385,324,5161,0,23,213,586,43,263,4242,5482,2832,182,0,3971.37,9,5,Xfinity -- Brown Dog Networks -- Charter Communications Inc -- MCC_Georgia_LLC -- Optimum -- T-Mobile US -- Everstream -- Verizon -- AT&T Inc,0,0,1,1
29189215103,2190,1562,138,0,325,0,24,49.0,105508,3,147,16,683,327,40,38,30,1045,773,272,247,0,1026,19,0,1026,1026,963,19,13,13,19,19,83,83,104,93,1701,0,39,255,195,42,175,1660,2118,1045,91,0,2277.65,7,4,Brown Dog Networks -- Charter Communications Inc -- Cable America -- Everstream -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
29189215105,2272,1737,81,0,206,0,78,40.1,76844,0,99,0,721,300,18,71,35,1189,791,398,210,0,1107,43,39,1116,1116,998,73,33,10,59,59,210,180,69,61,2090,0,11,59,112,3,50,1590,2208,1189,40,0,350.2,7,5,Brown Dog Networks -- Charter Communications Inc -- Everstream -- T-Mobile US -- Verizon -- AT&T Inc -- Wisper ISP LLC,0,0,1,1
29189215141,3970,3198,216,0,482,1,92,52.5,88087,0,351,39,988,738,60,62,45,1933,1822,111,348,8,1690,30,205,1714,1706,1572,206,39,39,43,29,128,97,298,132,3408,0,45,312,205,15,311,3178,3785,1933,164,0,1526.69,9,5,Brown Dog Networks -- Charter Communications Inc -- Cable America -- T-Mobile US -- Bluebird Network LLC -- Everstream -- Verizon -- AT&T Inc -- Wisper ISP LLC,0,0,1,1
29189215143,2579,2236,177,0,95,0,12,40.3,86250,19,401,97,477,286,33,78,56,1170,1018,152,258,4,1042,35,89,1046,1042,885,98,38,20,60,16,81,41,140,131,2441,0,0,77,61,0,23,1986,2432,1170,127,0,500.17,9,5,Brown Dog Networks -- Charter Communications Inc -- Cable America -- Fusion -- Everstream -- T-Mobile US -- Verizon -- AT&T Inc -- Wisper ISP LLC,0,0,1,1
29189215144,5605,4130,708,6,388,0,161,40.9,79650,0,921,64,917,658,61,186,33,2631,2057,574,696,0,2574,38,19,2574,2574,2324,19,17,17,202,202,230,230,209,190,4727,0,55,727,96,88,143,4163,5318,2631,283,0,2469.43,8,5,Brown Dog Networks -- Charter Communications Inc -- Cable America -- T-Mobile US -- Everstream -- Verizon -- AT&T Inc -- Wisper ISP LLC,0,0,1,1
29189215145,4989,3103,786,0,884,0,92,35.3,72795,0,535,16,1640,446,52,363,48,2523,1207,1316,612,0,2326,138,59,2342,2342,2012,124,216,144,53,53,291,237,249,220,4034,0,0,215,740,0,65,3538,4620,2523,212,0,3953.05,8,4,Brown Dog Networks -- Charter Communications Inc -- Cable America -- Everstream -- T-Mobile US -- Bluebird Network LLC -- Verizon -- AT&T Inc,0,0,1,1
29189215146,2637,801,670,0,1071,0,46,27.0,83068,0,164,11,598,552,64,101,63,1303,115,1188,348,0,1297,6,0,1297,1297,1145,0,15,15,70,70,20,20,103,103,1652,0,23,165,797,0,252,1748,2390,1303,119,0,7208.35,7,4,Brown Dog Networks -- Charter Communications Inc -- Cable America -- Everstream -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
29189215201,6715,5000,585,10,635,0,140,44.3,123566,50,505,27,1795,683,552,502,34,2838,1660,1178,604,0,2547,193,98,2547,2547,2407,246,182,146,242,70,257,228,167,146,5812,0,18,443,442,20,52,4827,6546,2838,88,0,1493.8,6,4,Brown Dog Networks -- Charter Communications Inc -- Everstream -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
