Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
19023070100,3039,2920,22,0,4,0,60,44.2,71063,23,829,67,293,45,18,61,130,1202,945,257,362,0,1026,34,142,1051,1051,649,131,51,22,53,32,141,123,131,113,2944,0,8,45,42,15,0,2161,2906,1202,36,1,17.48,15,6,Butler-Bremer Mutual Telephone Company -- Verizon -- OmniTel-Farmers Mutual -- BTWI -- CNS INTERNET SERVICES -- Rockwell Cooperative Telephone -- MCC_Georgia_LLC -- TDS Telecom -- T-Mobile US -- LTD Broadband -- Dumont Telephone Company -- GigFire -- Aureon Communications L.L.C. -- Rise Broadband -- Windstream Buffalo Valley Inc.,0,0,1,1
19023070200,1865,1796,1,0,0,0,122,42.3,55078,12,474,48,83,23,5,153,173,773,638,135,206,7,625,52,89,633,626,420,132,50,49,59,28,134,101,122,100,1815,5,0,23,22,0,0,1256,1756,773,32,1,11.63,15,7,Verizon -- OmniTel-Farmers Mutual -- BTWI -- Iowa Connect Inc. -- CNS INTERNET SERVICES -- Rockwell Cooperative Telephone -- TDS Telecom -- T-Mobile US -- GigFire -- LTD Broadband -- Dumont Telephone Company -- Nextlink -- Aureon Communications L.L.C. -- Rise Broadband -- Windstream Buffalo Valley Inc.,0,0,1,1
19023070300,2794,2645,25,0,74,0,28,49.0,61212,3,686,109,357,51,19,129,221,1258,951,307,259,23,952,75,208,1026,1003,817,205,80,42,82,50,106,56,217,187,2716,0,0,3,75,0,74,2124,2701,1258,50,1,32.0,9,5,OmniTel-Farmers Mutual -- Rockwell Cooperative Telephone -- TDS Telecom -- T-Mobile US -- GigFire -- LTD Broadband -- Verizon -- Dumont Telephone Company -- Windstream Buffalo Valley Inc.,0,0,1,1
19023070400,3512,3389,4,6,46,0,22,42.5,65406,24,719,66,477,112,15,217,210,1415,1151,264,428,7,1137,105,166,1148,1141,773,212,37,13,136,89,165,118,142,100,3467,0,4,29,12,10,13,2464,3286,1415,76,1,44.23,13,7,BTWI -- CNS INTERNET SERVICES -- MCC_Georgia_LLC -- TDS Telecom -- T-Mobile US -- LTD Broadband -- Dumont Telephone Company -- Verizon -- GigFire -- Rise Broadband -- Nextlink -- Windstream Buffalo Valley Inc. -- CenturyLink,0,0,1,1
19023070500,3166,3070,22,12,28,0,3,40.7,74375,11,715,51,332,100,16,148,227,1191,1006,185,378,2,1008,84,97,1018,1016,670,145,66,56,56,44,114,79,121,119,3129,0,6,27,4,14,7,2154,2984,1191,36,1,41.29,12,6,Butler-Bremer Mutual Telephone Company -- Verizon -- BTWI -- Cedar Falls Utilties -- MCC_Georgia_LLC -- TDS Telecom -- T-Mobile US -- LTD Broadband -- GigFire -- Dumont Telephone Company -- Rise Broadband -- Windstream Buffalo Valley Inc.,0,0,1,1
19025950100,2388,2324,11,0,11,0,0,48.0,80208,6,449,24,389,124,30,63,55,1070,840,230,266,3,974,40,53,980,977,777,67,47,37,73,60,125,101,113,84,2361,0,5,9,13,0,0,1692,2266,1070,83,1,36.65,8,4,Northwest Communications Inc. -- MCC_Georgia_LLC -- UFTC -- TDS Telecom -- Nextlink -- Verizon -- Webster-Calhoun Cooperative Telephone Association -- Windstream Buffalo Valley Inc.,0,0,1,1
19025950200,2929,2797,8,2,19,0,44,41.5,54803,11,674,72,305,57,18,204,139,1176,905,271,341,9,977,104,86,993,984,710,146,62,43,116,86,217,164,124,102,2903,0,5,18,3,16,5,1963,2740,1176,90,1,19.62,9,5,Northwest Communications Inc. -- MCC_Georgia_LLC -- UFTC -- TDS Telecom -- Nextlink -- Verizon -- Rise Broadband -- Webster-Calhoun Cooperative Telephone Association -- Windstream Buffalo Valley Inc.,0,0,1,1
19025950300,2243,1968,93,9,3,0,63,39.0,58125,0,444,233,191,52,4,91,83,732,603,129,209,7,614,28,83,665,625,433,62,33,13,66,52,117,72,86,69,2222,0,2,10,9,7,0,1734,2144,732,52,1,10.75,8,5,Northwest Communications Inc. -- MCC_Georgia_LLC -- TDS Telecom -- T-Mobile US -- Nextlink -- Rise Broadband -- Webster-Calhoun Cooperative Telephone Association -- Windstream Buffalo Valley Inc.,0,0,1,1
19025950400,2333,2186,2,0,0,0,109,44.6,73068,0,639,58,189,121,30,73,124,874,684,190,239,0,723,69,82,738,738,498,119,26,13,57,27,117,100,85,56,2323,0,5,0,5,8,0,1689,2189,874,80,1,15.91,10,6,Northwest Communications Inc. -- MCC_Georgia_LLC -- UFTC -- TDS Telecom -- Nextlink -- T-Mobile US -- Verizon -- Rise Broadband -- Webster-Calhoun Cooperative Telephone Association -- Windstream Buffalo Valley Inc.,0,0,1,1
19027960100,3282,3078,8,21,21,0,137,44.1,86638,38,894,56,335,46,3,124,104,1240,1053,187,411,5,1042,108,85,1061,1056,673,161,60,50,65,42,118,87,95,83,3238,0,0,10,34,3,21,2190,3137,1240,98,1,12.68,11,6,Western Iowa Wireless -- Northwest Communications Inc. -- MCC_Georgia_LLC -- TDS Telecom -- BTC Inc. -- T-Mobile US -- Verizon -- Rise Broadband -- Windstream Buffalo Valley Inc. -- Panora Telecommunications Inc -- CenturyLink,0,0,1,1
