Data Month,metdiv23,Net New Enrollments Alternative Verification Process,Net New Enrollments Verified by School,Net New Enrollments Lifeline,Net New Enrollments National Verifier Application,Net New Enrollments Total,Total Alternative Verification Process,Total Verified by School,Total Lifeline,Total National Verifier Application,Total Subscribers
2022-01-01,11244,1301,2,814,2203,4320,18438,9,32219,18300,68966
2022-02-01,11244,2261,0,1498,379,4138,20699,9,33717,18679,73104
2022-03-01,11244,2584,0,2781,1997,7362,23283,9,36498,20676,80466
2022-04-01,11244,2668,0,2031,2378,7077,25951,9,38529,23054,87543
2022-05-01,11244,3247,0,1191,3556,7994,29198,9,39720,26610,95537
2022-06-01,11244,3704,0,-2071,2838,4471,32902,9,37648,29448,100007
2022-07-01,11244,4180,-4,-1568,2122,4730,37082,5,36080,31570,104737
2022-08-01,11244,3805,0,-4642,3004,2167,40887,5,31438,34574,106904
2022-09-01,11244,3305,0,1072,2633,7010,44192,5,32510,37207,113914
2022-10-01,11244,2723,0,646,2546,5915,46915,5,33156,39753,119829
2022-11-01,11244,2438,0,-1966,1842,2314,49353,5,31190,41595,122143
2022-12-01,11244,2631,0,-1232,1863,3262,51984,5,29958,43458,125405
2023-01-01,11244,488,0,2434,2821,5743,52472,5,32392,46279,131148
2023-02-01,11244,2772,0,482,3394,6648,55244,5,32874,49673,137796
2023-03-01,11244,2584,0,607,6508,9699,57828,5,33481,56181,147495
2023-04-01,11244,2592,0,-216,6253,8629,60420,5,33265,62434,156124
2023-05-01,11244,2765,0,449,324,3538,63185,5,33714,62758,159662
2023-06-01,11244,3180,0,-642,5288,7826,66365,5,33072,68046,167488
2023-07-01,11244,1892,0,54,4859,6805,68257,5,33126,72905,174293
2023-08-01,11244,2318,0,400,5319,8037,70575,5,33526,78224,182330
2023-09-23,11244,2157,0,599,4399,7155,72732,5,34125,82623,189485
2023-10-01,11244,1387,-3,939,4551,6874,74119,2,35064,87174,196359
2023-11-01,11244,384,0,-114,3734,4004,74503,2,34950,90908,200363
2023-12-01,11244,45,0,-1953,4040,2132,74548,2,32997,94948,202495
2022-01-01,11694,516,2,612,1179,2309,4816,11,9730,8967,23524
2022-02-01,11694,539,0,364,659,1562,5355,11,10094,9626,25086
2022-03-01,11694,338,0,888,1336,2562,5693,11,10982,10962,27648
2022-04-01,11694,215,0,305,1301,1821,5908,11,11290,12263,29472
2022-05-01,11694,279,0,97,964,1340,6187,11,11387,13227,30812
2022-06-01,11694,289,0,146,1430,1865,6476,11,11533,14657,32677
2022-07-01,11694,252,-4,321,1419,1988,6728,7,11854,16076,34665
2022-08-01,11694,317,-1,-345,1445,1416,7045,6,11509,17521,36081
2022-09-01,11694,293,0,673,1317,2283,7338,6,12182,18838,38364
2022-10-01,11694,344,0,349,1526,2219,7682,6,12531,20364,40583
2022-11-01,11694,154,0,339,1490,1983,7836,6,12870,21854,42566
2022-12-01,11694,-786,-1,299,2491,2003,7050,5,13169,24345,44569
2023-01-01,11694,-128,0,824,1753,2449,6922,5,13993,26098,47018
2023-02-01,11694,310,0,317,2414,3041,7232,5,14310,28512,50059
2023-03-01,11694,297,0,-85,3048,3260,7529,5,14225,31560,53319
2023-04-01,11694,202,0,-15,3093,3280,7731,5,14210,34653,56599
2023-05-01,11694,576,0,35,3140,3751,8307,5,14245,37793,60350
2023-06-01,11694,490,0,292,1721,2503,8797,5,14537,39514,62853
2023-07-01,11694,482,0,264,1752,2498,9279,5,14801,41266,65351
2023-08-01,11694,456,0,288,2341,3085,9735,5,15089,43606,68435
2023-09-23,11694,443,0,238,1578,2259,10178,5,15327,45184,70694
2023-10-01,11694,-1,-1,-190,1272,1080,10177,4,15138,46456,71775
2023-11-01,11694,360,0,-815,2175,1720,10537,4,14323,48631,73495
2023-12-01,11694,338,0,-463,5301,5176,10875,4,13860,53932,78671
2022-01-01,12054,2173,-1,5450,3298,10920,20218,17,94291,32203,146729
2022-02-01,12054,1258,0,7030,2532,10820,21476,17,101321,34735,157549
2022-03-01,12054,1072,0,9518,4519,15109,22548,17,110839,39254,172658
2022-04-01,12054,25,0,2213,5052,7290,22573,17,113053,44306,179949
