Data Month,state,Net New Enrollments Alternative Verification Process,Net New Enrollments Verified by School,Net New Enrollments Lifeline,Net New Enrollments National Verifier Application,Net New Enrollments Total,Total Alternative Verification Process,Total Verified by School,Total Lifeline,Total National Verifier Application,Total Subscribers
2022-10-01,21,3587,-5,128,6691,10401,94484,1088,110825,95255,301654
2022-11-01,21,2926,-7,1433,5241,9592,97410,1081,112232,100478,311203
2022-12-01,21,4245,-3,-503,4765,8504,101655,1078,111750,105258,319743
2023-01-01,21,2951,9,1480,6168,10608,104606,1087,113231,111425,330350
2023-02-01,21,4948,-12,-386,6321,10871,109554,1075,112845,117747,341223
2023-03-01,21,4409,-7,-1611,9388,12178,113962,1068,111234,127135,353403
2023-04-01,21,3503,-9,-195,9477,12777,117465,1059,111040,136612,366177
2023-05-01,21,3810,5,-892,11602,14527,121275,1064,110148,148213,380704
2023-06-01,21,4570,2,-379,12126,16319,125849,1075,110004,160614,397545
2023-07-01,21,2653,-6,-174,8711,11184,128496,1060,109561,169006,408125
2023-08-01,21,3255,-2,-375,9962,12840,131751,1058,109187,178967,420964
2023-09-23,21,3267,-4,-2958,3271,3575,135018,1054,106228,182239,424540
2023-10-01,21,1151,0,-1286,7609,7473,136175,1064,105187,190203,432630
2023-11-01,21,56,6,-3354,9435,6142,136226,1060,101587,199263,438136
2023-12-01,21,-828,2,-1557,10222,7839,135398,1062,100030,209484,445975
2022-01-01,22,1603,-4,11106,3315,16020,38424,179,152096,40551,231251
2022-02-01,22,4288,-8,7886,3314,15481,42712,171,159983,43865,246731
2022-03-01,22,4020,-15,9975,5337,19317,46732,156,169957,49203,266048
2022-04-01,22,3484,-5,-12312,5743,-3090,50216,151,157632,54943,262943
2022-05-01,22,4079,-6,1453,9396,14922,54295,145,159086,64340,277865
2022-06-01,22,4897,-7,-1219,9559,13229,59192,138,157865,73898,291094
2022-07-01,22,5127,-58,-6616,6607,5061,64319,80,151247,80506,296152
2022-08-01,22,5327,-5,-2553,8466,11235,69646,75,148695,88972,307388
2022-09-01,22,5030,-2,31,9448,14507,74676,73,148726,98420,321895
2022-10-01,22,3797,-5,1485,10347,15624,78473,68,150211,108766,337518
2022-11-01,22,3355,-2,2128,9003,14485,81828,66,152340,117769,352003
2022-12-01,22,2263,-1,55,10329,12646,84091,65,152395,128098,364649
2023-01-01,22,886,-2,6386,8816,16086,84977,63,158781,136914,380735
2023-02-01,22,4256,-7,810,8660,13719,89233,56,159591,145574,394454
2023-03-01,22,4065,-1,-2663,14510,15911,93298,55,156928,160082,410363
2023-04-01,22,3707,-1,-4715,16088,15079,97005,54,152213,176170,425442
2023-05-01,22,5985,-9,-3503,16461,18934,102990,45,148710,192631,444376
2023-06-01,22,5802,-2,-537,15398,20661,108861,43,148249,208147,465299
2023-07-01,22,5142,0,-1128,13691,17705,113936,43,147047,221715,482740
2023-08-01,22,5182,-2,508,13073,18761,119118,41,147555,234788,501502
2023-09-23,22,3878,-2,-2236,4563,6203,122996,39,145319,239351,507704
2023-10-01,22,3382,-3,-1122,10668,12926,126466,36,144280,250157,520939
2023-11-01,22,3130,-2,-4729,14113,12512,129496,34,139466,264124,533120
2023-12-01,22,2065,0,-5903,18343,14505,131561,34,133563,282468,547625
2022-01-01,23,926,0,149,675,1750,13844,2,9612,5776,29234
2022-02-01,23,1096,0,677,529,2302,14940,2,10289,6305,31536
2022-03-01,23,1457,-1,943,716,3115,16397,1,11232,7021,34651
2022-04-01,23,1571,0,-1129,627,1069,17969,1,10108,7648,35726
2022-05-01,23,1994,0,279,1226,3499,19963,1,10387,8874,39225
2022-06-01,23,2158,0,250,1924,4332,22121,1,10635,10798,43555
2022-07-01,23,2661,-1,54,2166,4880,24782,0,10689,12964,48435
2022-08-01,23,2213,0,154,1600,3967,26995,0,10843,14564,52402
2022-09-01,23,2048,0,235,1401,3684,29043,0,11078,15965,56086
2022-10-01,23,1503,0,496,1319,3318,30546,0,11573,17284,59403
2022-11-01,23,1431,0,370,955,2756,31977,0,11943,18239,62159
2022-12-01,23,1942,0,397,849,3188,33919,0,12340,19088,65347
2023-01-01,23,1344,0,345,1260,2949,35263,0,12685,20346,68294
2023-02-01,23,2054,0,25,1059,3138,37317,0,12709,21408,71434
2023-03-01,23,1932,0,-370,1711,3273,39249,0,12339,23119,74707
2023-04-01,23,1862,0,-52,1911,3721,41111,0,12287,25030,78428
2023-05-01,23,1631,0,-307,2644,3968,42742,0,11980,27674,82396
2023-06-01,23,1682,0,-284,1991,3389,44425,0,11700,29676,85801
2023-07-01,23,1203,0,-98,1365,2470,45627,0,11598,31030,88255
2023-08-01,23,1430,0,-82,1490,2838,47057,0,11516,32520,91093
2023-09-23,23,1173,0,-198,774,1749,48230,0,11318,33294,92842
2023-10-01,23,299,0,-187,1679,1791,48530,0,11134,34987,94651
2023-11-01,23,-624,0,-441,2326,1261,47905,0,10691,37299,95895
2023-12-01,23,-411,0,-529,2285,1345,47494,0,10162,39584,97240
2022-01-01,24,2365,-2,1250,4883,8497,16974,28,87480,34755,139237
2022-02-01,24,660,-1,2137,2932,5728,17634,27,89617,37687,144965
2022-03-01,24,378,-3,4467,4521,9363,18012,24,94083,42208,154327
2022-04-01,24,-971,-2,-2751,3467,-257,17041,22,91333,45675,154071
2022-05-01,24,-662,-1,978,3444,3759,16379,21,92311,49119,157830
2022-06-01,24,-612,0,347,1201,935,15766,21,92657,50318,158763
2022-07-01,24,-617,-8,-2129,2845,91,15149,13,90528,53163,158853
2022-08-01,24,-1017,0,-62,4028,2949,14132,13,90465,57192,161802
2022-09-01,24,-606,-1,2760,4834,6987,13526,12,93225,62024,168787
2022-10-01,24,-513,-1,876,6117,6480,13013,11,94100,68142,175266
2022-11-01,24,-600,0,642,3426,3468,12413,11,94743,71567,178734
2022-12-01,24,-7224,0,-1614,7978,-859,5189,11,93129,79546,177874
2023-01-01,24,-165,0,1290,6556,7681,5024,11,94417,86101,185553
2023-02-01,24,-181,0,66,6167,6052,4843,11,94487,92270,191611
2023-03-01,24,-150,0,-647,8422,7625,4693,11,93840,100692,199236
2023-04-01,24,-156,0,25,8226,8095,4537,11,93864,108918,207329
2023-05-01,24,-197,0,-215,13656,13244,4340,11,93649,122574,220573
2023-06-01,24,-146,0,2022,10027,11903,4194,11,95675,132609,232488
2023-07-01,24,-133,-1,1017,9202,10085,4061,10,96689,141803,242561
2023-08-01,24,-150,-1,1235,9922,11006,3910,9,97924,151725,253567
2023-09-23,24,-2366,0,-503,5839,2969,1544,9,97421,157563,256536
2023-10-01,24,-137,0,-1661,9732,7934,1407,9,95763,167308,264486
2023-11-01,24,0,0,-5246,10780,5534,1407,9,90513,178076,270004
2023-12-01,24,-18,0,-5458,12065,6588,1389,9,85055,190140,276593
2022-01-01,25,2955,0,5413,7041,15409,25856,45,60161,50163,136225
2022-02-01,25,2001,-1,4800,7207,14007,27857,44,64961,57370,150232
2022-03-01,25,2081,0,7352,9159,18592,29938,44,72313,66529,168824
2022-04-01,25,832,-3,3645,8573,13047,30770,41,75958,75102,181871
2022-05-01,25,1495,-2,720,8837,11050,32265,39,76678,83939,192921
2022-06-01,25,1261,-2,-1137,9390,9512,33526,37,75541,93329,202433
2022-07-01,25,1657,-18,-1371,7864,8132,35184,19,74170,101193,210566
2022-08-01,25,1442,0,-4356,8121,5207,36626,19,69813,109315,215773
2022-09-01,25,1274,-1,-13,10529,11789,37900,18,69800,119844,227562
2022-10-01,25,821,0,462,7460,8743,38721,18,70262,127304,236304
2022-11-01,25,597,0,-2164,5741,4174,39318,18,68097,133045,240478
2022-12-01,25,-4351,-2,-567,8314,3394,34967,16,67529,141358,243871
2023-01-01,25,664,0,-119,8364,8909,35631,16,67410,149720,252778
2023-02-01,25,1143,-1,-523,7285,7904,36774,15,66887,157006,260683
2023-03-01,25,1084,0,-1324,10445,10205,37859,15,65563,167451,270888
2023-04-01,25,647,0,-1037,13090,12700,38506,15,64526,180541,283589
2023-05-01,25,731,-1,1384,13050,15164,39236,14,65910,193592,298752
2023-06-01,25,937,0,3078,10510,14525,40173,14,68990,204111,313288
2023-07-01,25,651,0,2407,8281,11339,40824,14,71395,212380,324614
2023-08-01,25,1055,-1,3512,10285,14851,41879,13,74907,222665,339465
2023-09-23,25,-1526,0,791,257,-478,40354,13,75698,222922,338987
2023-10-01,25,39,0,1498,8822,10359,40394,13,77200,231755,349362
2023-11-01,25,-263,0,-5177,9543,4103,40131,13,72020,241287,353452
2023-12-01,25,-458,-1,-5586,10828,4783,39673,12,66434,252115,358235
2022-01-01,26,6675,2,6201,8131,21009,66048,46,179429,97224,342747
2022-02-01,26,5022,0,10606,8605,24233,71070,46,190035,105829,366980
2022-03-01,26,5269,0,15822,9783,30874,76339,46,205856,115612,397853
2022-04-01,26,2749,0,-3293,5225,4681,79081,46,202561,120835,402523
2022-05-01,26,4084,-1,3094,9207,16384,83165,45,205655,130042,418907
2022-06-01,26,5101,0,847,10793,16741,88266,45,206501,140835,435647
2022-07-01,26,5584,-15,5150,9051,19770,93850,30,211648,149886,455414
2022-08-01,26,4251,-1,-137,9765,13878,98101,29,211511,159652,469293
2022-09-01,26,4236,-3,6121,12045,22399,102337,26,217632,171697,491692
2022-10-01,26,2942,1,5578,12507,21028,105279,27,223210,184204,512720
2022-11-01,26,2777,-1,3838,12594,19208,108056,26,227048,196798,531928
2022-12-01,26,-3599,0,-3147,14891,8145,104457,26,223901,211689,540073
2023-01-01,26,3356,0,5996,13779,23131,107813,26,229896,225467,563202
2023-02-01,26,4906,-1,359,14309,19573,112719,25,230256,239780,582781
2023-03-01,26,4297,1,-1596,21513,24215,117016,26,228660,261293,606995
2023-04-01,26,3616,-2,462,23925,28001,120632,24,229121,285218,634995
2023-05-01,26,3662,-2,2601,26400,32661,124294,22,231722,311617,667655
2023-06-01,26,4331,2,2173,21161,27667,129635,25,234095,333170,696925
2023-07-01,26,3075,0,5529,18802,27406,131637,24,239435,351557,722653
2023-08-01,26,3867,-1,4609,25928,34403,135504,23,244044,377484,757055
2023-09-23,26,1055,-1,1696,25269,28019,136559,22,245740,402753,785075
2023-10-01,26,712,-4,1094,37238,39040,138505,19,247021,440493,826038
2023-11-01,26,-510,0,-10513,34974,23951,136768,18,236330,474912,848028
2023-12-01,26,-1010,0,-10956,48966,37000,135758,18,225374,523878,885028
2022-01-01,27,2507,0,1110,2093,5710,23716,33,44224,23712,91684
2022-02-01,27,2007,0,3212,2211,7429,25723,33,47435,25922,99114
2022-03-01,27,2034,-1,3271,2704,8008,27757,32,50702,28626,107117
2022-04-01,27,957,-1,-3207,3026,774,28718,31,47513,31653,107914
2022-05-01,27,755,0,828,3898,5481,29473,31,48341,35552,113395
2022-06-01,27,1506,-1,701,4774,6980,30979,30,49042,40325,120376
2022-07-01,27,1722,-8,-76,8868,10506,32701,22,48964,49191,130878
2022-08-01,27,1049,-1,757,10766,12571,33750,21,49721,59958,143448
2022-09-01,27,1208,-1,959,7313,9479,34958,20,50680,67269,152925
2022-10-01,27,819,0,355,5676,6850,35777,20,51035,72944,159774
2022-11-01,27,730,0,-623,3069,3176,36507,20,50383,75972,162881
2022-12-01,27,-1475,0,-123,5337,3740,35032,20,50291,81349,166693
2023-01-01,27,474,0,790,7240,8504,35506,20,51080,88588,175194
2023-02-01,27,1229,0,-137,4556,5648,36735,20,50946,93147,180847
2023-03-01,27,986,0,-605,5646,6028,37721,20,50342,98792,186875
2023-04-01,27,991,0,-390,6190,6791,38712,20,49952,104980,193664
2023-05-01,27,828,0,-763,7771,7836,39540,20,49187,112751,201498
2023-06-01,27,1010,-1,20,7603,8632,40551,19,49212,120361,210142
2023-07-01,27,795,1,541,7001,8337,41346,20,49746,127355,218466
2023-08-01,27,1141,0,928,7692,9761,42487,20,50674,135045,228226
2023-09-23,27,404,-1,-320,1756,1839,42891,19,50354,136802,230065
2023-10-01,27,358,-4,-632,4197,3920,43249,15,49727,141008,234000
2023-11-01,27,108,0,-2043,4144,2210,43357,15,47676,145143,236193
2023-12-01,27,-313,0,-1051,4814,3450,43044,15,46626,149957,239643
2022-01-01,28,558,5,5220,6505,12288,8962,137,68955,54607,132660
2022-02-01,28,-404,-2,2470,3785,5849,8558,135,71424,58392,138509
2022-03-01,28,-159,-6,5025,6109,10969,8399,129,76449,64499,149476
2022-04-01,28,-702,-8,-166,4077,3201,7697,121,76283,68579,152680
2022-05-01,28,-488,-6,1218,4244,4968,7209,115,77501,72823,157648
2022-06-01,28,-339,-5,1989,3527,5172,6870,110,79489,76350,162819
2022-07-01,28,-315,-52,1499,-5627,-4495,6555,58,80988,70723,158322
2022-08-01,28,-523,-5,-549,963,-114,6032,53,80439,71685,158209
2022-09-01,28,-246,-2,-150,3159,2761,5786,51,80289,74844,160970
2022-10-01,28,-183,-1,1793,3002,4611,5603,50,82082,77846,165581
2022-11-01,28,-185,0,2848,854,3517,5418,50,84930,78700,169098
2022-12-01,28,-2286,-1,698,4170,2581,3132,49,85628,82869,171678
2023-01-01,28,-73,-3,1880,4777,6582,3059,46,87509,87645,178259
2023-02-01,28,27,-7,33,4973,5026,3086,39,87540,92618,183284
2023-03-01,28,-32,-2,-1592,7593,5967,3054,37,85947,100212,189250
2023-04-01,28,-15,-1,-1439,7993,6538,3039,36,84507,108205,195787
2023-05-01,28,-5,0,-941,10345,9399,3034,36,83566,118550,205186
2023-06-01,28,33,-1,452,8466,8950,3067,35,84040,127065,214207
2023-07-01,28,-18,-1,-45,7794,7730,3049,34,83971,134812,221866
2023-08-01,28,-31,0,-810,7575,6734,3018,34,83161,142387,228600
2023-09-23,28,-611,0,-2649,-2004,-5265,2407,34,80512,140383,223335
2023-10-01,28,34,-2,-1329,7488,6191,2441,32,79205,147918,229595
2023-11-01,28,-37,0,-4267,7849,3545,2404,32,74917,155715,233068
2023-12-01,28,-14,-1,-2197,8360,6148,2390,31,72720,164074,239216
2022-01-01,29,3912,5,1046,2114,7077,51281,113,73918,32246,157557
2022-02-01,29,4619,-1,3342,403,8363,55900,112,77260,32649,165920
2022-03-01,29,5199,-6,4621,3303,13117,61098,106,81875,35952,179031
2022-04-01,29,3743,-4,-5629,3700,1810,64842,102,76239,39650,180832
2022-05-01,29,5189,-2,1128,4295,10610,70031,100,77367,43945,191442
2022-06-01,29,5089,0,1585,4545,11219,75120,100,78950,48489,202659
2022-07-01,29,5893,-41,100,3490,9442,81013,59,79049,51979,212100
2022-08-01,29,4491,-3,43,4677,9208,85504,56,79092,56656,221309
2022-09-01,29,3979,-2,1163,4452,9592,89483,54,80255,61106,230899
2022-10-01,29,3340,-1,2699,5095,11133,92823,53,82954,66202,242033
2022-11-01,29,2803,-2,1737,2851,7389,95626,51,84691,69053,249422
2022-12-01,29,3610,0,-171,5557,8996,99236,51,84520,74608,258417
2023-01-01,29,2393,1,2609,6439,11442,101628,52,87129,81047,269858
2023-02-01,29,4369,-4,1384,5970,11719,105997,48,88514,87019,281578
2023-03-01,29,3868,-4,-142,8222,11944,109865,44,88372,95239,293521
2023-04-01,29,3242,1,-96,8939,12086,113107,45,88276,104179,305608
2023-05-01,29,3107,0,189,9418,12714,116214,45,88465,113596,318320
2023-06-01,29,3978,-1,732,8517,13225,120223,44,89249,122167,331684
2023-07-01,29,2279,0,1168,7014,10461,122470,44,90360,129117,341990
2023-08-01,29,3206,0,3514,7869,14589,125676,44,93871,136987,356579
2023-09-23,29,2488,-2,538,3218,6242,128164,42,94410,140205,362821
2023-10-01,29,912,-10,20,8120,9042,129107,32,94499,148402,372042
2023-11-01,29,-17,0,-5180,10716,5519,129058,32,89254,159028,377373
2023-12-01,29,-953,1,-4047,14107,9108,128105,33,85207,173133,386480
2022-01-01,30,673,0,29,970,1672,8349,12,596,8223,17178
2022-02-01,30,932,0,42,980,1954,9281,12,638,9201,19132
2022-03-01,30,1046,-1,41,923,2009,10327,11,679,10123,21140
2022-04-01,30,942,0,10,527,1479,11268,11,688,10655,22624
2022-05-01,30,1065,-1,-24,-881,159,12333,10,664,9774,22783
2022-06-01,30,1194,0,3,416,1613,13527,10,667,10189,24394
2022-07-01,30,1556,-1,40,487,2082,15083,9,707,10672,26471
2022-08-01,30,1353,0,-5,601,1949,16436,9,702,11274,28420
2022-09-01,30,1128,0,0,332,1460,17564,9,702,11603,29877
2022-10-01,30,849,0,53,649,1551,18413,9,755,12251,31427
2022-11-01,30,724,1,101,468,1294,19137,10,855,12719,32721
2022-12-01,30,1039,0,75,813,1927,20176,10,930,13532,34648
2023-01-01,30,423,-1,77,1178,1677,20599,9,1007,14705,36319
2023-02-01,30,954,2,67,1251,2274,21552,11,1074,15963,38602
2023-03-01,30,733,0,93,1195,2021,22285,11,1167,17158,40622
2023-04-01,30,884,0,55,769,1708,23169,11,1222,17926,42329
2023-05-01,30,619,0,59,1797,2475,23788,11,1281,19722,44802
2023-06-01,30,951,-1,133,1576,2659,24739,10,1415,21298,47462
2023-07-01,30,548,0,43,930,1521,25287,10,1456,22224,48978
2023-08-01,30,944,0,-5,475,1414,26231,10,1451,22698,50389
2023-09-23,30,718,0,3,191,912,26949,10,1454,22888,51301
2023-10-01,30,256,-2,43,1340,1637,27205,8,1498,24232,52945
2023-11-01,30,-300,0,-29,887,558,26905,8,1468,25113,53494
2023-12-01,30,-213,0,1,824,612,26692,8,1469,25937,54107
2022-01-01,31,733,0,149,1359,2241,13026,32,1826,16581,31464
2022-02-01,31,1523,1,212,1462,3198,14549,33,2037,18043,34661
2022-03-01,31,1606,1,211,1604,3422,16155,34,2248,19646,38082
2022-04-01,31,1582,0,156,1215,2953,17737,34,2404,20860,41034
2022-05-01,31,1828,0,-21,269,2076,19565,34,2383,21128,43110
2022-06-01,31,2299,2,-22,981,3260,21864,36,2361,22107,46367
2022-07-01,31,1854,4,-5,589,2442,23718,40,2355,22691,48803
2022-08-01,31,2255,7,70,1419,3751,25973,47,2424,24110,52554
2022-09-01,31,1761,7,-68,1317,3017,27734,54,2356,25422,55566
2022-10-01,31,1589,3,-102,1231,2721,29323,57,2253,26649,58282
2022-11-01,31,1436,3,8,618,2065,30759,60,2261,27268,60348
2022-12-01,31,1669,0,98,1275,3042,32428,60,2358,28540,63386
2023-01-01,31,476,1,70,1509,2056,32904,61,2425,30042,65433
2023-02-01,31,1862,-1,90,1016,2967,34766,60,2515,31073,68415
2023-03-01,31,1757,2,86,1135,2980,36523,62,2599,32207,71391
2023-04-01,31,1676,0,13,822,2511,38199,62,2612,33029,73902
2023-05-01,31,2280,-4,-23,1698,3951,40479,58,2588,34725,77850
2023-06-01,31,2294,-3,68,1494,3853,42773,56,2656,36233,81718
2023-07-01,31,1999,0,41,1572,3612,44772,55,2697,37790,85314
2023-08-01,31,2138,2,78,1324,3542,46910,57,2775,39114,88856
2023-09-23,31,1728,1,-68,-1124,537,48638,58,2707,37990,89391
2023-10-01,31,1470,-1,50,706,2225,50108,58,2757,38719,91642
2023-11-01,31,1294,-4,-81,627,1836,51402,54,2676,39323,93453
2023-12-01,31,985,-6,26,961,1966,52387,48,2702,40283,95418
2022-01-01,32,1061,0,3404,1151,5615,27962,9,64896,17796,110660
2022-02-01,32,3354,0,2277,287,5917,31316,9,67172,18083,116578
2022-03-01,32,2949,-2,3555,2368,8870,34265,7,70727,20451,125448
2022-04-01,32,3504,0,-1418,1993,4079,37769,7,69309,22441,129525
2022-05-01,32,3866,0,78,2117,6061,41635,7,69387,24558,135586
2022-06-01,32,4794,0,-1211,2057,5639,46429,7,68175,26616,141224
2022-07-01,32,4610,-4,-3047,1330,2889,51038,3,65126,27945,144111
2022-08-01,32,4104,0,-874,1657,4888,55142,3,64252,29602,149000
2022-09-01,32,3933,0,-645,2998,6286,59075,3,63606,32597,155283
2022-10-01,32,3286,0,613,2424,6323,62361,3,64219,35022,161605
2022-11-01,32,2861,0,643,1082,4586,65222,3,64862,36104,166191
2022-12-01,32,2576,0,251,2961,5788,67798,3,65113,39065,171979
2023-01-01,32,-1275,0,3403,2171,4299,66523,3,68514,41236,176276
2023-02-01,32,3193,-1,975,3761,7928,69716,2,69490,44997,184205
2023-03-01,32,3057,0,-770,7432,9720,72773,2,68720,52429,193924
2023-04-01,32,3101,0,-969,5534,7664,75874,2,67752,57963,201588
2023-05-01,32,5636,0,-1498,5645,9782,81509,2,66254,63605,211370
2023-06-01,32,5101,0,-961,4320,8460,86612,2,65297,67950,219862
2023-07-01,32,4756,0,-427,2992,7321,91366,2,64866,70916,227150
2023-08-01,32,4562,0,1469,3999,10031,95928,2,66334,74915,237179
2023-09-23,32,4392,0,18,1063,5472,100320,2,66352,75977,242651
2023-10-01,32,3874,0,928,3994,8796,104197,2,67284,80002,251485
2023-11-01,32,3023,1,-1757,7784,9051,107216,3,65526,87749,260495
2023-12-01,32,2841,0,-2014,8489,9314,110057,3,63511,96237,269808
2022-01-01,33,320,0,315,876,1511,3263,6,4572,6896,14737
2022-02-01,33,214,0,120,1051,1385,3477,6,4692,7947,16122
2022-03-01,33,283,0,431,956,1670,3760,6,5123,8903,17792
2022-04-01,33,185,0,175,746,1106,3945,6,5298,9649,18898
2022-05-01,33,246,0,-60,418,604,4191,6,5238,10067,19502
2022-06-01,33,267,0,87,759,1113,4458,6,5324,10825,20613
2022-07-01,33,298,-4,173,1121,1588,4756,2,5496,11945,22199
2022-08-01,33,270,0,142,963,1375,5026,2,5638,12908,23574
2022-09-01,33,249,0,321,904,1474,5275,2,5959,13812,25048
2022-10-01,33,165,0,86,574,825,5440,2,6045,14385,25872
2022-11-01,33,150,0,61,492,703,5590,2,6106,14877,26575
2022-12-01,33,-482,0,16,876,410,5108,2,6122,15752,26984
2023-01-01,33,125,0,135,998,1258,5233,2,6257,16750,28242
2023-02-01,33,234,0,-13,829,1050,5467,2,6243,17578,29290
2023-03-01,33,233,-1,-206,1031,1057,5700,1,6037,18609,30347
2023-04-01,33,178,0,-95,992,1075,5878,1,5942,19601,31422
2023-05-01,33,249,0,-18,1201,1432,6127,1,5924,20802,32854
2023-06-01,33,216,0,-59,1028,1185,6343,1,5865,21831,34040
2023-07-01,33,132,0,79,754,965,6475,1,5944,22584,35004
2023-08-01,33,243,0,28,1045,1316,6718,1,5972,23629,36320
2023-09-23,33,-96,0,-190,-356,-642,6622,1,5782,23273,35678
2023-10-01,33,14,0,-162,1093,945,6636,1,5620,24367,36624
2023-11-01,33,-116,0,-334,1117,667,6520,1,5286,25482,37289
2023-12-01,33,-68,0,-301,1084,715,6452,1,4985,26566,38004
2022-01-01,34,1513,15,4517,5411,11456,11451,85,55398,49533,116467
2022-02-01,34,508,17,4410,2985,7920,11959,102,59808,52518,124387
2022-03-01,34,277,4,6731,5693,12705,12236,106,66539,58211,137092
2022-04-01,34,-309,9,2416,4418,6534,11927,115,68955,62629,143626
2022-05-01,34,-122,13,4113,5013,9017,11805,128,73068,67642,152643
2022-06-01,34,-25,9,3487,3808,7279,11780,137,76555,71450,159922
2022-07-01,34,5,1,1932,4099,6037,11785,138,78487,75549,165959
2022-08-01,34,-191,6,676,6105,6596,11594,144,79163,81654,172555
2022-09-01,34,51,-4,2369,7714,10130,11645,140,81532,89368,182685
2022-10-01,34,-36,-2,1399,6396,7757,11609,138,82931,95764,190442
2022-11-01,34,-179,-2,-3496,4884,1207,11430,136,79435,100648,191649
2022-12-01,34,-4095,-3,419,8808,5129,7335,133,79854,109456,196778
2023-01-01,34,38,-4,855,9131,10020,7373,129,80709,118584,206795
2023-02-01,34,38,-4,545,10511,11090,7411,125,81254,129097,217887
2023-03-01,34,47,-4,-289,11480,11234,7458,121,80965,140577,229121
2023-04-01,34,54,-5,-669,10972,10352,7512,116,80296,151549,239473
2023-05-01,34,44,-4,178,12814,13032,7556,112,80474,164363,252505
2023-06-01,34,103,-9,1929,11391,13414,7660,103,82406,175766,265935
2023-07-01,34,4,-1,1795,9081,10879,7663,102,84198,184834,276797
2023-08-01,34,123,-3,2453,10733,13306,7786,99,86651,195567,290103
2023-09-23,34,-1458,1,-2270,647,-3080,6328,100,84381,196214,287023
2023-10-01,34,30,-1,-585,10877,10321,6359,99,83799,207113,297370
2023-11-01,34,-15,-2,-6016,15903,9870,6344,97,77780,222989,307210
2023-12-01,34,-64,-3,-4194,19807,15546,6280,94,73586,242796,322756
2022-01-01,35,1242,-3,2871,4138,8249,11551,161,48602,33137,93450
2022-02-01,35,650,-8,1180,4363,6184,12201,153,49781,37500,99636
2022-03-01,35,220,-8,2202,5341,7755,12421,145,51983,42843,107390
2022-04-01,35,-361,-1,581,3907,4126,12046,89,52112,46561,110808
2022-05-01,35,-300,0,-844,3775,2631,11746,89,51269,50337,113440
2022-06-01,35,-361,-3,-1083,8655,7209,11386,86,50184,58991,120646
2022-07-01,35,-336,-4,-2559,8431,5532,11050,82,47624,67421,126178
2022-08-01,35,-519,-1,-2126,6521,3875,10531,81,45499,73943,130055
2022-09-01,35,-257,2,644,5132,5521,10274,83,46142,79075,135576
2022-10-01,35,-271,-1,511,5312,5552,10003,82,46654,84387,141126
2022-11-01,35,-331,1,268,2670,2608,9653,82,46237,86932,142903
2022-12-01,35,-3995,-4,-208,2741,-1465,5677,79,46711,89813,142278
2023-01-01,35,-33,1,1151,4567,5687,5644,80,47862,94380,147966
2023-02-01,35,-38,0,-88,4783,4657,5606,80,47776,99161,152621
2023-03-01,35,-70,-2,-495,5674,5106,5536,78,47280,104834,157728
2023-04-01,35,-46,-1,-1360,4053,2645,5490,77,45919,108887,160374
2023-05-01,35,-55,0,-861,4752,3836,5435,77,45057,113640,164209
2023-06-01,35,-31,-1,-874,3110,2204,5433,117,44875,117322,167748
2023-07-01,35,-55,-1,-641,2245,1548,5349,74,43565,118987,167976
2023-08-01,35,-42,3,740,3027,3728,5307,77,44305,122013,171704
2023-09-23,35,-1472,-1,29,-279,-1723,3836,76,44334,121735,169981
2023-10-01,35,-112,9,-600,2574,1871,3757,125,44376,124893,173151
2023-11-01,35,-64,11,-2083,4752,2615,3660,97,41644,129054,174457
2023-12-01,35,-42,-1,-1923,4815,2846,3618,96,39720,133869,177304
2022-01-01,36,10757,7,19222,15856,45842,138642,205,352192,162783,653822
2022-02-01,36,13626,3,15103,7227,35959,152268,208,367295,170010,689781
2022-03-01,36,18623,-3,29697,17977,66294,170891,205,396988,187986,756070
2022-04-01,36,17525,-4,8461,16691,42673,188417,201,405458,204679,798755
2022-05-01,36,20328,-2,9902,25667,55895,208745,199,415360,230346,854650
2022-06-01,36,19529,0,4680,26573,50782,228274,199,420039,256918,905430
2022-07-01,36,24356,-16,-31913,17688,10115,252630,183,388124,274606,915543
2022-08-01,36,21130,-2,-7920,27227,40435,273760,181,380204,301833,955978
2022-09-01,36,20161,-3,1284,28827,50269,293921,178,381488,330660,1006247
2022-10-01,36,14379,-2,1990,23020,39387,308300,176,383475,353678,1045629
2022-11-01,36,11505,-5,-2342,16405,25563,319805,171,381133,370083,1071192
2022-12-01,36,15361,-3,-6100,23939,33197,335166,168,375033,394020,1104387
2023-01-01,36,10196,-2,5830,24496,40520,345361,166,380863,418511,1144901
2023-02-01,36,17634,0,2286,21840,41760,362996,166,383150,440361,1186673
2023-03-01,36,15410,-6,-1820,35653,49237,378406,160,381330,476014,1235910
2023-04-01,36,13422,-1,-2160,37093,48354,391828,159,379170,513107,1284264
2023-05-01,36,10578,0,10305,36373,57256,402404,159,389473,549479,1341515
2023-06-01,36,13862,-3,20552,32540,66951,416906,159,410978,583738,1411781
2023-07-01,36,7329,-2,13673,30863,51863,423574,154,423635,612809,1460172
2023-08-01,36,11614,0,9784,38780,60178,435188,154,433417,651589,1520348
2023-09-23,36,13268,0,467,27984,41719,448456,154,433884,679573,1562067
2023-10-01,36,4728,-1,3077,34041,41845,453874,156,437961,715684,1607675
2023-11-01,36,-561,-5,-17176,65968,48226,452646,148,419777,779680,1652251
