Data Month,county,Net New Enrollments Alternative Verification Process,Net New Enrollments Verified by School,Net New Enrollments Lifeline,Net New Enrollments National Verifier Application,Net New Enrollments Total,Total Alternative Verification Process,Total Verified by School,Total Lifeline,Total National Verifier Application,Total Subscribers
2022-01-01,01001,46,-1,16,57,120,658,1,456,903,2015
2022-02-01,01001,66,0,35,79,179,723,1,492,980,2195
2022-03-01,01001,73,0,25,29,126,797,1,516,1009,2323
2022-04-01,01001,79,0,-2,3,78,874,1,515,1011,2402
2022-05-01,01001,78,0,-10,-35,31,953,1,504,977,2435
2022-06-01,01001,86,0,-3,18,100,1039,1,501,995,2537
2022-07-01,01001,98,0,30,57,183,1136,1,531,1051,2719
2022-08-01,01001,77,0,15,23,117,1214,1,548,1074,2837
2022-09-01,01001,68,0,32,-9,91,1282,1,578,1066,2928
2022-10-01,01001,41,0,11,1,54,1324,1,588,1065,2981
2022-11-01,01001,72,0,13,16,99,1396,1,602,1082,3082
2022-12-01,01001,23,0,3,57,82,1418,1,604,1140,3166
2023-01-01,01001,-14,0,9,59,55,1405,1,615,1199,3219
2023-02-01,01001,56,0,-3,74,127,1461,1,612,1273,3346
2023-03-01,01001,61,0,-34,86,111,1522,1,577,1359,3459
2023-04-01,01001,57,0,-34,97,120,1577,1,544,1456,3580
2023-05-01,01001,40,0,-8,94,128,1619,1,536,1552,3705
2023-06-01,01001,79,0,-8,82,155,1698,1,526,1634,3859
2023-07-01,01001,62,0,-14,70,118,1760,1,514,1704,3978
2023-08-01,01001,65,0,-11,95,149,1826,1,501,1798,4127
2023-09-23,01001,98,0,-18,63,142,1924,1,483,1860,4269
2023-10-01,01001,46,0,-10,88,126,1969,1,474,1951,4396
2023-11-01,01001,42,0,-41,110,108,2010,1,433,2059,4503
2023-12-01,01001,-11,0,-28,111,73,1999,1,408,2171,4576
2022-01-01,01003,-13,0,80,112,179,524,5,967,1282,2778
2022-02-01,01003,-20,1,40,110,131,504,6,1008,1393,2909
2022-03-01,01003,-449,-1,114,193,-143,55,5,1122,1585,2767
2022-04-01,01003,-2,-1,6,165,168,53,4,1128,1750,2935
2022-05-01,01003,1,0,-12,73,62,54,4,1116,1824,2997
2022-06-01,01003,0,0,-4,157,154,54,4,1112,1981,3152
2022-07-01,01003,6,0,17,171,193,60,4,1129,2152,3344
2022-08-01,01003,4,0,-23,124,105,64,4,1106,2275,3449
2022-09-01,01003,1,0,24,126,151,65,4,1130,2401,3599
2022-10-01,01003,-1,0,16,141,156,64,4,1146,2542,3756
2022-11-01,01003,5,0,11,174,189,69,4,1156,2716,3946
2022-12-01,01003,6,0,108,367,482,75,4,1265,3083,4427
2023-01-01,01003,-1,0,39,317,355,74,4,1303,3401,4781
2023-02-01,01003,4,-1,-2,277,278,78,3,1301,3678,5060
2023-03-01,01003,-3,0,-31,283,248,75,3,1271,3961,5309
2023-04-01,01003,-3,0,-57,197,137,72,3,1213,4158,5446
2023-05-01,01003,6,0,-21,217,202,78,3,1191,4375,5648
2023-06-01,01003,-1,0,-17,194,176,77,3,1175,4569,5824
2023-07-01,01003,8,-2,0,276,281,85,1,1174,4845,6104
2023-08-01,01003,1,0,-3,322,318,86,1,1171,5166,6423
2023-09-23,01003,2,0,-42,-26,-66,88,1,1129,5140,6358
2023-10-01,01003,0,0,-17,201,183,88,1,1111,5341,6541
2023-11-01,01003,-1,0,-34,253,218,87,1,1078,5594,6759
2023-12-01,01003,-4,0,-62,261,195,83,1,1015,5855,6953
2022-01-01,01005,42,0,56,27,123,877,1,460,421,1756
2022-02-01,01005,29,0,12,165,204,906,1,470,585,1960
2022-03-01,01005,29,0,44,166,237,934,1,514,751,2199
2022-04-01,01005,44,0,71,103,219,979,1,585,852,2416
2022-05-01,01005,62,0,-12,-16,35,1041,1,573,836,2453
2022-06-01,01005,72,0,24,-12,84,1113,1,598,825,2536
2022-07-01,01005,42,0,38,-48,32,1155,1,635,777,2569
2022-08-01,01005,18,0,20,52,92,1173,1,655,829,2660
2022-09-01,01005,33,0,109,-45,98,1206,1,764,785,2758
2022-10-01,01005,61,0,46,-34,73,1267,1,810,752,2833
2022-11-01,01005,-2,0,31,-16,13,1265,1,843,738,2846
2022-12-01,01005,19,0,20,65,106,1283,1,863,802,2951
2023-01-01,01005,-35,0,-7,63,21,1248,1,857,866,2972
2023-02-01,01005,39,0,-20,48,66,1287,1,837,913,3039
2023-03-01,01005,44,0,-63,40,21,1332,1,774,953,3059
2023-04-01,01005,27,0,-54,20,-8,1358,1,719,973,3053
2023-05-01,01005,44,0,-33,43,55,1402,1,687,1016,3107
2023-06-01,01005,76,0,-27,32,81,1478,1,659,1048,3188
2023-07-01,01005,35,0,-13,34,55,1512,1,645,1082,3243
2023-08-01,01005,-9,0,62,34,87,1505,1,708,1117,3329
