puma22,cd118,stab,PUMA22name,pop20,afact
0102801,0101,AL,Mobile County (Outer)--Prichard & Saraland Cities,139133,1 
0102802,0101,AL,Mobile City (West) & Tillmans Corner CDP,129797,1 
0102803,0101,AL,Mobile City (East),145879,1 
0200101,0200,AK,Anchorage Municipality (North),131989,1 
0200102,0200,AK,Anchorage Municipality (South),159258,1 
0200200,0200,AK,Matanuska-Susitna & Kenai Peninsula Boroughs,165880,1 
0200300,0200,AK,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",163324,1 
0200400,0200,AK,Subsistence Alaska,112940,1 
0400101,0401,AZ,Maricopa County--Mesa City (East),4699,0.0253 
0400101,0404,AZ,Maricopa County--Mesa City (East),24637,0.1325 
0400101,0405,AZ,Maricopa County--Mesa City (East),156545,0.8422 
0400102,0401,AZ,Maricopa County--Mesa City (North Central),75,0.0005 
0400102,0404,AZ,Maricopa County--Mesa City (North Central),143987,0.9995 
0400103,0404,AZ,Maricopa County--Mesa City (West),120951,1 
0400104,0404,AZ,Maricopa County--Mesa City (South Central),106201,0.9958 
0400104,0405,AZ,Maricopa County--Mesa City (South Central),452,0.0042 
0400105,0405,AZ,Maricopa County--Gilbert Town (North),165935,1 
0400106,0404,AZ,Maricopa County--Chandler City (Northeast),100037,0.8152 
0400106,0405,AZ,Maricopa County--Chandler City (Northeast),22673,0.1848 
0400107,0404,AZ,Maricopa County--Chandler City (South),3332,0.026 
0400107,0405,AZ,Maricopa County--Chandler City (South),124771,0.974 
0400108,0403,AZ,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,5322,0.0493 
0400108,0404,AZ,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,102676,0.9507 
0400109,0401,AZ,Maricopa County--Tempe City (North),1,0 
0400109,0403,AZ,Maricopa County--Tempe City (North),35,0.0003 
0400109,0404,AZ,Maricopa County--Tempe City (North),108480,0.9997 
0400110,0401,AZ,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,128498,1 
0400111,0401,AZ,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,111602,1 
0400112,0401,AZ,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",119895,0.9171 
0400112,0408,AZ,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",10832,0.0829 
0400113,0401,AZ,Phoenix City (Northeast),104693,1 
0400114,0401,AZ,Phoenix City (Northeast Central),111355,1 
0400115,0401,AZ,Phoenix City (Northwest Central),76493,0.6976 
0400115,0408,AZ,Phoenix City (Northwest Central),33162,0.3024 
0400116,0401,AZ,Phoenix City (Uptown),43728,0.3952 
0400116,0403,AZ,Phoenix City (Uptown),50530,0.4567 
0400116,0408,AZ,Phoenix City (Uptown),16390,0.1481 
0400117,0401,AZ,Phoenix City (East),79987,0.7275 
0400117,0403,AZ,Phoenix City (East),29959,0.2725 
0400118,0401,AZ,Phoenix City--Downtown & Sky Harbor International Airport,2084,0.0179 
0400118,0403,AZ,Phoenix City--Downtown & Sky Harbor International Airport,110317,0.9498 
0400118,0404,AZ,Phoenix City--Downtown & Sky Harbor International Airport,3745,0.0322 
0400119,0403,AZ,Phoenix City (South),117231,1 
0400120,0403,AZ,Phoenix City--Ahwatukee & South Mountain,28135,0.2588 
0400120,0404,AZ,Phoenix City--Ahwatukee & South Mountain,80565,0.7412 
0400121,0403,AZ,Phoenix (Southwest) & Tolleson Cities,147085,0.8819 
0400121,0407,AZ,Phoenix (Southwest) & Tolleson Cities,19694,0.1181 
0400122,0403,AZ,Phoenix City--Maryvale (East),102202,1 
0400123,0403,AZ,Phoenix City--Maryvale (West),115847,1 
0400124,0403,AZ,Maricopa County--Glendale City (South),45671,0.3991 
0400124,0408,AZ,Maricopa County--Glendale City (South),21748,0.19 
0400124,0409,AZ,Maricopa County--Glendale City (South),47026,0.4109 
0400125,0403,AZ,Phoenix City (West),23694,0.2069 
0400125,0408,AZ,Phoenix City (West),90852,0.7931 
0400126,0408,AZ,Maricopa County--Glendale City (North),129933,1 
0400127,0408,AZ,Maricopa County--Peoria City (South & Central),121259,1 
0400128,0408,AZ,Phoenix City (North),110257,1 
0400129,0401,AZ,Phoenix (Far North) & Peoria (Northwest) Cities,11501,0.0818 
0400129,0408,AZ,Phoenix (Far North) & Peoria (Northwest) Cities,129072,0.9182 
0400130,0408,AZ,Maricopa County--El Mirage & Sun City,78023,0.6162 
0400130,0409,AZ,Maricopa County--El Mirage & Sun City,48604,0.3838 
0400131,0408,AZ,Maricopa County--Surprise City (Central),28679,0.2324 
0400131,0409,AZ,Maricopa County--Surprise City (Central),94720,0.7676 
0400132,0407,AZ,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",26,0.0002 
0400132,0409,AZ,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",146725,0.9998 
0400133,0403,AZ,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,18584,0.1512 
0400133,0407,AZ,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,91983,0.7485 
0400133,0409,AZ,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,12316,0.1002 
0400134,0402,AZ,Maricopa County (West) & Gila River Indian Community (Northwest),3583,0.0212 
0400134,0407,AZ,Maricopa County (West) & Gila River Indian Community (Northwest),2775,0.0165 
0400134,0408,AZ,Maricopa County (West) & Gila River Indian Community (Northwest),24403,0.1447 
0400134,0409,AZ,Maricopa County (West) & Gila River Indian Community (Northwest),137925,0.8176 
0400135,0405,AZ,Maricopa County--Gilbert (South) & Queen Creek Towns,166371,1 
0400400,0402,AZ,"Gila, Graham, Greenlee Counties",57992,0.5721 
0400400,0406,AZ,"Gila, Graham, Greenlee Counties",43376,0.4279 
0400500,0402,AZ,Coconino County,145101,1 
0400601,0402,AZ,Mohave County North--City of Kingman & Bullhead City,1526,0.0137 
0400601,0409,AZ,Mohave County North--City of Kingman & Bullhead City,109673,0.9863 
0400602,0409,AZ,Mohave County South--Lake Havasu City,102068,1 
0400701,0407,AZ,"La Paz & Yuma Counties--Parker, Quartzsite, Wellton Somerton & San Luis Cities",55883,0.5236 
0400701,0409,AZ,"La Paz & Yuma Counties--Parker, Quartzsite, Wellton Somerton & San Luis Cities",50849,0.4764 
0400803,0402,AZ,Pinal County (North)--Apache Junction City,17245,0.1169 
0400803,0405,AZ,Pinal County (North)--Apache Junction City,130332,0.8831 
0400805,0402,AZ,"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",66569,0.5426 
0400805,0405,AZ,"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",27533,0.2244 
0400805,0406,AZ,"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",28584,0.233 
0400807,0402,AZ,"Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",93649,0.6495 
0400807,0406,AZ,"Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",44277,0.3071 
0400807,0407,AZ,"Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",6265,0.0434 
0400900,0406,AZ,Cochise & Santa Cruz Counties--Sierra Vista City,95946,0.5542 
0400900,0407,AZ,Cochise & Santa Cruz Counties--Sierra Vista City,77170,0.4458 
0401000,0402,AZ,Navajo & Apache Counties,172738,1 
0401101,0407,AZ,Yuma County--Yuma City,69000,0.6068 
0401101,0409,AZ,Yuma County--Yuma City,44706,0.3932 
0401901,0406,AZ,Pima County (West),8040,0.0722 
0401901,0407,AZ,Pima County (West),103320,0.9278 
0401902,0406,AZ,Tucson City (West) & Marana Town,67755,0.4932 
0401902,0407,AZ,Tucson City (West) & Marana Town,69616,0.5068 
0401903,0406,AZ,Pima County (North Central)--Oro Valley Town,116541,1 
0401904,0406,AZ,Pima County (Northeast),109666,1 
0401905,0406,AZ,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,73389,0.6604 
0401905,0407,AZ,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,37732,0.3396 
0401906,0406,AZ,Tucson City (Northeast),95790,0.8433 
0401906,0407,AZ,Tucson City (Northeast),17801,0.1567 
0401907,0406,AZ,Tucson City (Northwest),31043,0.2663 
0401907,0407,AZ,Tucson City (Northwest),85546,0.7337 
0401908,0406,AZ,Tucson City (South),5334,0.0464 
0401908,0407,AZ,Tucson City (South),109681,0.9536 
0401909,0406,AZ,Tucson City (Southeast),74870,0.6088 
0401909,0407,AZ,Tucson City (Southeast),48119,0.3912 
0402502,0402,AZ,Yavapai Urban,135474,1 
0402503,0402,AZ,Yavapai Rural,100735,1 
0500101,0503,AR,Benton County (Outer),171025,1 
0500102,0503,AR,Benton County (Central)--Bentonville & Rogers Cities,113308,1 
0500201,0503,AR,Washington County (Outer)--Springdale City,140215,1 
0500202,0503,AR,Washington County (Central)--Fayetteville City,105656,1 
0500300,0501,AR,"Baxter, Boone & Carroll Counties",103654,0.6659 
0500300,0503,AR,"Baxter, Boone & Carroll Counties",44781,0.2877 
0500300,0504,AR,"Baxter, Boone & Carroll Counties",7225,0.0464 
0500400,0501,AR,"Independence, Cleburne & Van Buren Counties",75949,0.6522 
0500400,0502,AR,"Independence, Cleburne & Van Buren Counties",40507,0.3478 
0500500,0501,AR,Northeast Arkansas,112346,1 
0500600,0501,AR,East Arkansas,153939,1 
0500700,0501,AR,Craighead & Poinsett Counties,134196,1 
0500800,0501,AR,"White, Lonoke & Woodruff Counties",38105,0.3316 
0500800,0502,AR,"White, Lonoke & Woodruff Counties",76822,0.6684 
0500900,0501,AR,Faulkner & Lonoke Counties,74015,0.3747 
0500900,0502,AR,Faulkner & Lonoke Counties,123498,0.6253 
0501000,0502,AR,"Pope, Johnson & Conway Counties",20715,0.1592 
0501000,0504,AR,"Pope, Johnson & Conway Counties",109393,0.8408 
0501100,0503,AR,"Sebastian, Crawford & Franklin Counties",178234,0.8693 
0501100,0504,AR,"Sebastian, Crawford & Franklin Counties",26795,0.1307 
0501200,0504,AR,West Arkansas,133438,1 
0501300,0504,AR,West Central Arkansas,173321,1 
0501400,0502,AR,"Saline, Grant & Perry Counties",133435,0.8814 
0501400,0504,AR,"Saline, Grant & Perry Counties",17958,0.1186 
0501501,0501,AR,"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities",8612,0.0429 
0501501,0502,AR,"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities",180403,0.8985 
0501501,0504,AR,"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities",11759,0.0586 
0501502,0502,AR,Pulaski County (Central)--Little Rock City,177330,0.894 
0501502,0504,AR,Pulaski County (Central)--Little Rock City,21021,0.106 
0501600,0501,AR,Southeast Arkansas,51693,0.298 
0501600,0504,AR,Southeast Arkansas,121767,0.702 
0501700,0504,AR,Southwest Arkansas,130409,1 
0600101,0612,CA,Alameda County (North)--Berkeley & Albany Cities,144592,1 
0600111,0612,CA,Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland),106433,1 
0600112,0612,CA,Alameda County (Northwest)--Oakland City (Oakland Hills),106896,1 
0600113,0612,CA,Alameda County (West)--Oakland City (Elmhurst/Central/East Oakland),125840,1 
0600114,0612,CA,"Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",173319,0.8895 
0600114,0614,CA,"Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",21533,0.1105 
0600115,0614,CA,Alameda County (Northwest)--Castro Valley & Ashland,107913,1 
0600116,0614,CA,Alameda County (Central)--Hayward City (East),102035,1 
0600117,0614,CA,"Alameda County (South)--Newark, Union City (West) & Fremont (West) Cities",55782,0.5276 
0600117,0617,CA,"Alameda County (South)--Newark, Union City (West) & Fremont (West) Cities",49939,0.4724 
0600118,0614,CA,Alameda County (South)--Fremont (Northeast) & Union City (East) Cities,125765,1 
0600119,0610,CA,Alameda County (Central)--Pleasanton & Dublin (West) Cities,27623,0.2189 
0600119,0614,CA,Alameda County (Central)--Pleasanton & Dublin (West) Cities,98555,0.7811 
0600120,0610,CA,Alameda County (East)--Livermore & Dublin (East) Cities,28396,0.2393 
0600120,0614,CA,Alameda County (East)--Livermore & Dublin (East) Cities,90267,0.7607 
0600121,0614,CA,Alameda County (South)--Fremont City (Southeast),57256,0.4949 
0600121,0617,CA,Alameda County (South)--Fremont City (Southeast),58431,0.5051 
0600122,0614,CA,Alameda County (West)--Hayward City (West),100310,1 
0600123,0612,CA,Alameda County (Northwest)--Oakland City (San Antonio/Fruitvale),101468,1 
0600300,0603,CA,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",33415,0.1741 
0600300,0605,CA,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",158517,0.8259 
0600700,0601,CA,Butte County--Chico City,211632,1 
0601100,0601,CA,"Colusa, Glenn, Tehama & Trinity Counties",116585,0.8786 
0601100,0602,CA,"Colusa, Glenn, Tehama & Trinity Counties",16112,0.1214 
0601301,0608,CA,Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities,129420,1 
0601305,0610,CA,Contra Costa County (South)--San Ramon City & Danville Town,143688,1 
0601308,0608,CA,Contra Costa County (Northeast)--Antioch City,61948,0.5156 
0601308,0610,CA,Contra Costa County (Northeast)--Antioch City,58206,0.4844 
0601309,0609,CA,Contra Costa County (East)--Brentwood & Oakley Cities,17616,0.1402 
0601309,0610,CA,Contra Costa County (East)--Brentwood & Oakley Cities,108060,0.8598 
0601310,0608,CA,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cities P",140962,1 
0601311,0608,CA,"Contra Costa County (West)--Concord (West), Martinez & Pleasant Hill Cities",10373,0.0845 
0601311,0610,CA,"Contra Costa County (West)--Concord (West), Martinez & Pleasant Hill Cities",112328,0.9155 
0601312,0608,CA,"Contra Costa County (West)--Walnut Creek (West), Lafayette & Orinda Cities",7,0.0001 
0601312,0610,CA,"Contra Costa County (West)--Walnut Creek (West), Lafayette & Orinda Cities",103068,0.9999 
0601313,0610,CA,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities",177708,1 
0601314,0608,CA,Contra Costa County (North)--Pittsburg & Concord (North) Cities,101354,0.9884 
0601314,0610,CA,Contra Costa County (North)--Pittsburg & Concord (North) Cities,1189,0.0116 
0601500,0601,CA,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",85506,0.6427 
0601500,0602,CA,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",27743,0.2085 
0601500,0603,CA,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",19790,0.1488 
0601700,0603,CA,"El Dorado County--El Dorado Hills, South Lake Tahoe City & Placerville City",64177,0.3357 
0601700,0605,CA,"El Dorado County--El Dorado Hills, South Lake Tahoe City & Placerville City",127008,0.6643 
0601901,0613,CA,"Fresno County (West)--Selma, Kerman & Coalinga Cities",100022,0.6793 
0601901,0621,CA,"Fresno County (West)--Selma, Kerman & Coalinga Cities",47211,0.3207 
0601902,0605,CA,Fresno County (North Central)--Fresno City (North),117119,0.6132 
0601902,0620,CA,Fresno County (North Central)--Fresno City (North),14549,0.0762 
0601902,0621,CA,Fresno County (North Central)--Fresno City (North),59315,0.3106 
0601903,0620,CA,Fresno County (Central)--Fresno City (East Central),26662,0.2411 
0601903,0621,CA,Fresno County (Central)--Fresno City (East Central),83900,0.7589 
0601904,0605,CA,Fresno County (Central)--Fresno City (Southwest),370,0.0021 
0601904,0613,CA,Fresno County (Central)--Fresno City (Southwest),47,0.0003 
0601904,0621,CA,Fresno County (Central)--Fresno City (Southwest),179643,0.9977 
0601905,0620,CA,Fresno County (Central)--Fresno City (Southeast),591,0.0051 
0601905,0621,CA,Fresno County (Central)--Fresno City (Southeast),116006,0.9949 
0601906,0620,CA,Fresno County (Central)--Clovis City,129784,1 
0601907,0605,CA,"Fresno County (East)--Sanger, Reedley & Parlier Cities",4844,0.0363 
0601907,0620,CA,"Fresno County (East)--Sanger, Reedley & Parlier Cities",28067,0.2103 
0601907,0621,CA,"Fresno County (East)--Sanger, Reedley & Parlier Cities",100524,0.7534 
0602300,0602,CA,Humboldt County,136463,1 
0602500,0625,CA,Imperial County--El Centro City,179702,1 
0602903,0620,CA,Kern County (Central)--Bakersfield City (Northeast),20798,0.1236 
0602903,0622,CA,Kern County (Central)--Bakersfield City (Northeast),147527,0.8764 
0602904,0622,CA,Kern County (Central)--Bakersfield City (Southeast),113912,1 
0602905,0620,CA,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",148010,0.7682 
0602905,0622,CA,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",25360,0.1316 
0602905,0623,CA,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",19301,0.1002 
0602906,0620,CA,"Kern County (West)--Delano, Wasco & Shafter Cities",30123,0.1918 
0602906,0622,CA,"Kern County (West)--Delano, Wasco & Shafter Cities",126962,0.8082 
0602907,0620,CA,Kern County (Central)--Bakersfield City (Northwest) & Rosedale,107020,1 
0602908,0620,CA,Kern County (Central)--Bakersfield City (Southwest),82188,0.4828 
0602908,0622,CA,Kern County (Central)--Bakersfield City (Southwest),88034,0.5172 
0603100,0620,CA,Kings County--Hanford City,61891,0.4059 
0603100,0622,CA,Kings County--Hanford City,90595,0.5941 
0603300,0602,CA,Lake & Mendocino Counties,91601,0.5734 
0603300,0604,CA,Lake & Mendocino Counties,68163,0.4266 
0603703,0627,CA,Los Angeles County (North Central)--Lancaster City,180992,1 
0603704,0627,CA,Los Angeles County (North Central)--Palmdale City,187217,1 
0603705,0627,CA,Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch),25243,0.1407 
0603705,0632,CA,Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch),154169,0.8593 
0603706,0627,CA,Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar),42418,0.2966 
0603706,0629,CA,Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar),75782,0.5299 
0603706,0632,CA,Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar),24824,0.1736 
0603707,0629,CA,Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities,148835,0.9983 
0603707,0630,CA,Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities,255,0.0017 
0603708,0629,CA,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)",74753,0.5453 
0603708,0630,CA,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)",62331,0.4547 
0603709,0627,CA,Los Angeles County (Central)--San Gabriel Valley Region (North),60,0.0005 
0603709,0628,CA,Los Angeles County (Central)--San Gabriel Valley Region (North),104103,0.9334 
0603709,0629,CA,Los Angeles County (Central)--San Gabriel Valley Region (North),441,0.004 
0603709,0630,CA,Los Angeles County (Central)--San Gabriel Valley Region (North),118,0.0011 
0603709,0631,CA,Los Angeles County (Central)--San Gabriel Valley Region (North),6805,0.061 
0603710,0628,CA,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities",365,0.002 
0603710,0631,CA,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities",180721,0.998 
0603711,0628,CA,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities P",49085,0.2978 
0603711,0631,CA,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities P",115361,0.6999 
0603711,0635,CA,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities P",375,0.0023 
0603712,0635,CA,Los Angeles County (East Central)--Pomona City,149641,0.9849 
0603712,0638,CA,Los Angeles County (East Central)--Pomona City,2298,0.0151 
0603713,0631,CA,Los Angeles County (East Central)--Covina & Walnut Cities,84538,0.7334 
0603713,0635,CA,Los Angeles County (East Central)--Covina & Walnut Cities,2303,0.02 
0603713,0638,CA,Los Angeles County (East Central)--Covina & Walnut Cities,28430,0.2466 
0603714,0631,CA,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUM",4,0 
0603714,0638,CA,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUM",107374,1 
0603715,0631,CA,Los Angeles County (East Central)--West Covina City,120624,1 
0603716,0631,CA,Los Angeles County (East Central)--La Puente & Industry Cities,100985,0.9652 
0603716,0638,CA,Los Angeles County (East Central)--La Puente & Industry Cities,3637,0.0348 
0603717,0628,CA,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities",168733,0.8866 
0603717,0631,CA,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities",21571,0.1134 
0603718,0628,CA,Los Angeles County (Central)--Pasadena City,127721,0.9345 
0603718,0630,CA,Los Angeles County (Central)--Pasadena City,8954,0.0655 
0603719,0630,CA,Los Angeles County (Central)--Glendale City,196543,1 
0603720,0630,CA,Los Angeles County (Central)--Burbank City,122786,1 
0603721,0629,CA,Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village),135948,1 
0603722,0629,CA,Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks),125694,0.756 
0603722,0632,CA,Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks),40575,0.244 
0603723,0629,CA,Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUM,131637,0.9217 
0603723,0632,CA,Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUM,11176,0.0783 
0603724,0629,CA,Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana),53256,0.3055 
0603724,0632,CA,Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana),121081,0.6945 
0603725,0632,CA,"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills)",182789,1 
0603728,0636,CA,Los Angeles County (Southwest)--Santa Monica City,106835,1 
0603730,0630,CA,Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire),67403,0.4024 
0603730,0634,CA,Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire),28351,0.1692 
0603730,0636,CA,Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire),129,0.0008 
0603730,0637,CA,Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire),71627,0.4276 
0603731,0630,CA,Los Angeles County (Central)--West Hollywood & Beverly Hills Cities,69963,0.6405 
0603731,0632,CA,Los Angeles County (Central)--West Hollywood & Beverly Hills Cities,6568,0.0601 
0603731,0636,CA,Los Angeles County (Central)--West Hollywood & Beverly Hills Cities,32701,0.2994 
0603732,0630,CA,Los Angeles County (Central)--LA City (East Central & Hollywood),157118,0.9124 
0603732,0634,CA,Los Angeles County (Central)--LA City (East Central & Hollywood),15094,0.0876 
0603733,0634,CA,Los Angeles County (Central)--LA City (Central/Koreatown),113324,1 
