puma22,cd118,stab,PUMA22name,pop20,afact
0100100,0104,AL,"Lauderdale, Colbert & Franklin Counties",132873,0.7265 
0100100,0105,AL,"Lauderdale, Colbert & Franklin Counties",50031,0.2735 
0100200,0105,AL,Limestone County,103570,1 
0100300,0104,AL,Morgan & Lawrence Counties--Decatur City,33073,0.2113 
0100300,0105,AL,Morgan & Lawrence Counties--Decatur City,123421,0.7887 
0100401,0105,AL,Madison County (North & East)--Huntsville City (East),113502,1 
0100402,0105,AL,"Huntsville (North & Far West), Madison (East) & Triana Cities",153097,1 
0100403,0105,AL,Huntsville City (Central & South),107983,1 
0100501,0104,AL,Marshall & Madison (Far Southeast) Counties,97612,0.8779 
0100501,0105,AL,Marshall & Madison (Far Southeast) Counties,13571,0.1221 
0100600,0104,AL,DeKalb & Jackson Counties,71608,0.5766 
0100600,0105,AL,DeKalb & Jackson Counties,52579,0.4234 
0100700,0103,AL,Etowah & Cherokee Counties,24971,0.1945 
0100700,0104,AL,Etowah & Cherokee Counties,103436,0.8055 
0100800,0103,AL,Calhoun County,116441,1 
0100900,0103,AL,St. Clair & Blount Counties,91103,0.6064 
0100900,0106,AL,St. Clair & Blount Counties,59134,0.3936 
0101000,0104,AL,"Cullman, Marion & Winston Counties",140747,1 
0101100,0104,AL,West Alabama,30293,0.2406 
0101100,0106,AL,West Alabama,22293,0.1771 
0101100,0107,AL,West Alabama,73306,0.5823 
0101201,0104,AL,Tuscaloosa County (Outer)--Northport City (North & West),32964,0.3263 
0101201,0107,AL,Tuscaloosa County (Outer)--Northport City (North & West),68048,0.6737 
0101202,0104,AL,Tuscaloosa & Northport (Southeast) Cities,9806,0.0778 
0101202,0107,AL,Tuscaloosa & Northport (Southeast) Cities,116218,0.9222 
0101301,0104,AL,"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",65342,0.5642 
0101301,0106,AL,"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",44620,0.3853 
0101301,0107,AL,"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",5855,0.0506 
0101401,0106,AL,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",9259,0.0782 
0101401,0107,AL,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",109150,0.9218 
0101402,0106,AL,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",129105,0.9665 
0101402,0107,AL,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",4476,0.0335 
0101403,0106,AL,Birmingham City,41473,0.2216 
0101403,0107,AL,Birmingham City,145693,0.7784 
0101404,0106,AL,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",156237,0.8441 
0101404,0107,AL,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",28853,0.1559 
0101501,0106,AL,"Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities",137436,1 
0101502,0103,AL,Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities,12405,0.095 
0101502,0106,AL,Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities,118197,0.905 
0101600,0103,AL,"Talladega, Randolph, Cleburne & Clay Counties",133408,1 
0101700,0102,AL,"Autauga, Dallas, Lowndes & Perry Counties",58805,0.5066 
0101700,0107,AL,"Autauga, Dallas, Lowndes & Perry Counties",57284,0.4934 
0101801,0102,AL,Montgomery City (West),48189,0.4404 
0101801,0107,AL,Montgomery City (West),61220,0.5596 
0101802,0102,AL,Montgomery City (East) & Pike Road Town (Northwest),104172,0.9877 
0101802,0107,AL,Montgomery City (East) & Pike Road Town (Northwest),1299,0.0123 
0101901,0102,AL,Elmore & Montgomery (South & Far East) Counties,102051,1 
0102000,0102,AL,"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",10357,0.089 
0102000,0103,AL,"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",106002,0.911 
0102101,0103,AL,Lee County (West)--Auburn & Opelika Cities,127904,1 
0102201,0103,AL,Lee (East) & Russell Counties--Phenix City & Smiths Station Cities,105520,1 
0102300,0102,AL,"Houston, Geneva & Henry Counties--Dothan City",151007,1 
0102400,0102,AL,Coffee & Dale Counties,102791,1 
0102500,0102,AL,"Covington, Pike, Barbour, Butler & Crenshaw Counties",128047,1 
0102600,0101,AL,Southwest Alabama,71178,0.5481 
0102600,0102,AL,Southwest Alabama,12336,0.095 
0102600,0107,AL,Southwest Alabama,46352,0.3569 
0102701,0101,AL,"Baldwin County (North)--Daphne, Fairhope & Spanish Fort Cities",118618,1 
0102702,0101,AL,"Baldwin County (South)--Foley, Gulf Shores & Robertsdale Cities",113149,1 
