state,puma22,stab,PUMA22name,pop20,afact
04,0400134,AZ,Maricopa County (West) & Gila River Indian Community (Northwest),168686,1 
04,0400135,AZ,Maricopa County--Gilbert (South) & Queen Creek Towns,166371,1 
04,0400400,AZ,"Gila, Graham, Greenlee Counties",101368,1 
04,0400500,AZ,Coconino County,145101,1 
04,0400601,AZ,Mohave County North--City of Kingman & Bullhead City,111199,1 
04,0400602,AZ,Mohave County South--Lake Havasu City,102068,1 
04,0400701,AZ,"La Paz & Yuma Counties--Parker, Quartzsite, Wellton Somerton & San Luis Cities",106732,1 
04,0400803,AZ,Pinal County (North)--Apache Junction City,147577,1 
04,0400805,AZ,"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",122686,1 
04,0400807,AZ,"Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",144191,1 
04,0400900,AZ,Cochise & Santa Cruz Counties--Sierra Vista City,173116,1 
04,0401000,AZ,Navajo & Apache Counties,172738,1 
04,0401101,AZ,Yuma County--Yuma City,113706,1 
04,0401901,AZ,Pima County (West),111360,1 
04,0401902,AZ,Tucson City (West) & Marana Town,137371,1 
04,0401903,AZ,Pima County (North Central)--Oro Valley Town,116541,1 
04,0401904,AZ,Pima County (Northeast),109666,1 
04,0401905,AZ,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,111121,1 
04,0401906,AZ,Tucson City (Northeast),113591,1 
04,0401907,AZ,Tucson City (Northwest),116589,1 
04,0401908,AZ,Tucson City (South),115015,1 
04,0401909,AZ,Tucson City (Southeast),122989,1 
04,0402502,AZ,Yavapai Urban,135474,1 
04,0402503,AZ,Yavapai Rural,100735,1 
05,0500101,AR,Benton County (Outer),171025,1 
05,0500102,AR,Benton County (Central)--Bentonville & Rogers Cities,113308,1 
05,0500201,AR,Washington County (Outer)--Springdale City,140215,1 
05,0500202,AR,Washington County (Central)--Fayetteville City,105656,1 
05,0500300,AR,"Baxter, Boone & Carroll Counties",155660,1 
05,0500400,AR,"Independence, Cleburne & Van Buren Counties",116456,1 
05,0500500,AR,Northeast Arkansas,112346,1 
05,0500600,AR,East Arkansas,153939,1 
05,0500700,AR,Craighead & Poinsett Counties,134196,1 
05,0500800,AR,"White, Lonoke & Woodruff Counties",114927,1 
05,0500900,AR,Faulkner & Lonoke Counties,197513,1 
05,0501000,AR,"Pope, Johnson & Conway Counties",130108,1 
05,0501100,AR,"Sebastian, Crawford & Franklin Counties",205029,1 
05,0501200,AR,West Arkansas,133438,1 
05,0501300,AR,West Central Arkansas,173321,1 
05,0501400,AR,"Saline, Grant & Perry Counties",151393,1 
05,0501501,AR,"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities",200774,1 
05,0501502,AR,Pulaski County (Central)--Little Rock City,198351,1 
05,0501600,AR,Southeast Arkansas,173460,1 
05,0501700,AR,Southwest Arkansas,130409,1 
06,0600101,CA,Alameda County (North)--Berkeley & Albany Cities,144592,1 
06,0600111,CA,Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland),106433,1 
06,0600112,CA,Alameda County (Northwest)--Oakland City (Oakland Hills),106896,1 
06,0600113,CA,Alameda County (West)--Oakland City (Elmhurst/Central/East Oakland),125840,1 
06,0600114,CA,"Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",194852,1 
06,0600115,CA,Alameda County (Northwest)--Castro Valley & Ashland,107913,1 
06,0600116,CA,Alameda County (Central)--Hayward City (East),102035,1 
06,0600117,CA,"Alameda County (South)--Newark, Union City (West) & Fremont (West) Cities",105721,1 
06,0600118,CA,Alameda County (South)--Fremont (Northeast) & Union City (East) Cities,125765,1 
06,0600119,CA,Alameda County (Central)--Pleasanton & Dublin (West) Cities,126178,1 
06,0600120,CA,Alameda County (East)--Livermore & Dublin (East) Cities,118663,1 
06,0600121,CA,Alameda County (South)--Fremont City (Southeast),115687,1 
06,0600122,CA,Alameda County (West)--Hayward City (West),100310,1 
06,0600123,CA,Alameda County (Northwest)--Oakland City (San Antonio/Fruitvale),101468,1 
06,0600300,CA,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",191932,1 
06,0600700,CA,Butte County--Chico City,211632,1 
06,0601100,CA,"Colusa, Glenn, Tehama & Trinity Counties",132697,1 
06,0601301,CA,Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities,129420,1 
06,0601305,CA,Contra Costa County (South)--San Ramon City & Danville Town,143688,1 
06,0601308,CA,Contra Costa County (Northeast)--Antioch City,120154,1 
06,0601309,CA,Contra Costa County (East)--Brentwood & Oakley Cities,125676,1 
06,0601310,CA,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cities P",140962,1 
06,0601311,CA,"Contra Costa County (West)--Concord (West), Martinez & Pleasant Hill Cities",122701,1 
06,0601312,CA,"Contra Costa County (West)--Walnut Creek (West), Lafayette & Orinda Cities",103075,1 
06,0601313,CA,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities",177708,1 
06,0601314,CA,Contra Costa County (North)--Pittsburg & Concord (North) Cities,102543,1 
06,0601500,CA,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",133039,1 
06,0601700,CA,"El Dorado County--El Dorado Hills, South Lake Tahoe City & Placerville City",191185,1 
06,0601901,CA,"Fresno County (West)--Selma, Kerman & Coalinga Cities",147233,1 
06,0601902,CA,Fresno County (North Central)--Fresno City (North),190983,1 
06,0601903,CA,Fresno County (Central)--Fresno City (East Central),110562,1 
06,0601904,CA,Fresno County (Central)--Fresno City (Southwest),180060,1 
06,0601905,CA,Fresno County (Central)--Fresno City (Southeast),116597,1 
06,0601906,CA,Fresno County (Central)--Clovis City,129784,1 
06,0601907,CA,"Fresno County (East)--Sanger, Reedley & Parlier Cities",133435,1 
06,0602300,CA,Humboldt County,136463,1 
06,0602500,CA,Imperial County--El Centro City,179702,1 
06,0602903,CA,Kern County (Central)--Bakersfield City (Northeast),168325,1 
06,0602904,CA,Kern County (Central)--Bakersfield City (Southeast),113912,1 
06,0602905,CA,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",192671,1 
06,0602906,CA,"Kern County (West)--Delano, Wasco & Shafter Cities",157085,1 
06,0602907,CA,Kern County (Central)--Bakersfield City (Northwest) & Rosedale,107020,1 
06,0602908,CA,Kern County (Central)--Bakersfield City (Southwest),170222,1 
06,0603100,CA,Kings County--Hanford City,152486,1 
06,0603300,CA,Lake & Mendocino Counties,159764,1 
06,0603703,CA,Los Angeles County (North Central)--Lancaster City,180992,1 
06,0603704,CA,Los Angeles County (North Central)--Palmdale City,187217,1 
06,0603705,CA,Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch),179412,1 
06,0603706,CA,Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar),143024,1 
06,0603707,CA,Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities,149090,1 
06,0603708,CA,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)",137084,1 
06,0603709,CA,Los Angeles County (Central)--San Gabriel Valley Region (North),111527,1 
06,0603710,CA,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities",181086,1 
06,0603711,CA,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities P",164821,1 
06,0603712,CA,Los Angeles County (East Central)--Pomona City,151939,1 
06,0603713,CA,Los Angeles County (East Central)--Covina & Walnut Cities,115271,1 
06,0603714,CA,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUM",107378,1 
06,0603715,CA,Los Angeles County (East Central)--West Covina City,120624,1 
06,0603716,CA,Los Angeles County (East Central)--La Puente & Industry Cities,104622,1 
06,0603717,CA,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities",190304,1 
06,0603718,CA,Los Angeles County (Central)--Pasadena City,136675,1 
06,0603719,CA,Los Angeles County (Central)--Glendale City,196543,1 
06,0603720,CA,Los Angeles County (Central)--Burbank City,122786,1 
06,0603721,CA,Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village),135948,1 
06,0603722,CA,Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks),166269,1 
06,0603723,CA,Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUM,142813,1 
06,0603724,CA,Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana),174337,1 
06,0603725,CA,"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills)",182789,1 
06,0603728,CA,Los Angeles County (Southwest)--Santa Monica City,106835,1 
06,0603730,CA,Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire),167510,1 
06,0603731,CA,Los Angeles County (Central)--West Hollywood & Beverly Hills Cities,109232,1 
06,0603732,CA,Los Angeles County (Central)--LA City (East Central & Hollywood),172212,1 
06,0603733,CA,Los Angeles County (Central)--LA City (Central/Koreatown),113324,1 
06,0603734,CA,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)",192514,1 
06,0603735,CA,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park)",183205,1 
06,0603736,CA,Los Angeles County (Central)--Alhambra & South Pasadena Cities,115745,1 
06,0603737,CA,Los Angeles County (Central)--Monterey Park & Rosemead Cities,126123,1 
06,0603738,CA,Los Angeles County (Central)--El Monte & South El Monte Cities,127671,1 
06,0603739,CA,Los Angeles County (Southeast)--Whittier City & Hacienda Heights,171513,1 
06,0603740,CA,Los Angeles County (Central)--Pico Rivera & Montebello Cities,127928,1 
06,0603741,CA,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities P",133387,1 
06,0603742,CA,"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUM",128584,1 
06,0603743,CA,Los Angeles County (Central)--East Los Angeles,116045,1 
06,0603744,CA,Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUM,190188,1 
06,0603745,CA,Los Angeles County (Central)--LA City (Southeast/East Vernon),121879,1 
06,0603746,CA,Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park),109171,1 
06,0603747,CA,Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills),164789,1 
06,0603748,CA,Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities,189044,1 
06,0603750,CA,Los Angeles County (South Central)--LA City (South Central/Westmont),178716,1 
06,0603751,CA,Los Angeles County (South Central)--LA City (South Central/Watts),158065,1 
06,0603752,CA,Los Angeles County (South)--South Gate & Lynwood Cities,166850,1 
06,0603753,CA,Los Angeles County (South)--Downey City,112920,1 
06,0603754,CA,Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities,135779,1 
06,0603757,CA,Los Angeles County (South Central)--Compton City & West Rancho Dominquez,158642,1 
06,0603758,CA,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens",157965,1 
06,0603759,CA,Los Angeles County (South Central)--Hawthorne City,115060,1 
06,0603760,CA,"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities",144082,1 
06,0603761,CA,Los Angeles County (South Central)--Torrance City,127249,1 
06,0603762,CA,Los Angeles County (South Central)--Carson City,119407,1 
06,0603763,CA,Los Angeles County (South Central)--Long Beach City (North),145286,1 
06,0603764,CA,"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUM",162735,1 
06,0603766,CA,Los Angeles County (South)--Long Beach City (Southwest & Port),102364,1 
06,0603767,CA,Los Angeles County (South)--LA City (South/San Pedro),179879,1 
06,0603768,CA,Los Angeles County (Southwest)--Palos Verdes Peninsula,112382,1 
06,0603770,CA,"Los Angeles County (West Central)--LA City (West Los Angeles, Century City & Palms) P",101081,1 
06,0603771,CA,Los Angeles County (Northwest)--Santa Clarita City (South),109406,1 
06,0603772,CA,Los Angeles County (North/Unincorporated)--Castaic,103912,1 
06,0603773,CA,Los Angeles County (Northwest)--Santa Clarita City (North),127759,1 
06,0603774,CA,"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities",141081,1 
06,0603775,CA,Los Angeles County (Central)--LA City (Central),116054,1 
06,0603776,CA,Los Angeles County (West Central)--LA City (Central/Westwood & West Los Angeles),106278,1 
06,0603778,CA,Los Angeles County (Central)--Inglewood City,111631,1 
06,0603779,CA,Los Angeles County (Southeast)--Long Beach City (East),118467,1 
06,0603780,CA,Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities,113902,1 
06,0603781,CA,Los Angeles County (Southeast)--Norwalk City,104684,1 
06,0603782,CA,Los Angeles County (Southeast)--Bellflower & Paramount Cities,132923,1 
06,0603900,CA,Madera County--Madera City,156255,1 
06,0604103,CA,Marin County (North & West)--Novato & San Rafael (North) Cities,103006,1 
06,0604104,CA,"Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities",159315,1 
06,0604701,CA,Merced County (West & South)--Los Banos & Livingston Cities,116427,1 
06,0604702,CA,Merced County (Northeast)--Merced & Atwater Cities,164775,1 
06,0605301,CA,"Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities PUM",183635,1 
06,0605302,CA,Monterey County (Northeast)--Salinas City,177254,1 
06,0605303,CA,Monterey (South & East) & San Benito Counties,142355,1 
06,0605500,CA,"Napa County--Napa, American Canyon & St. Helena Cities",138019,1 
06,0605700,CA,Nevada & Sierra Counties,105477,1 
06,0605906,CA,"Orange County (North)--Yorba Linda, La Habra & Brea Cities",191861,1 
06,0605907,CA,Orange County (North Central)--Fullerton & Placentia Cities,197785,1 
06,0605908,CA,"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities",185233,1 
06,0605909,CA,Orange County (North Central)--Anaheim City (West),147609,1 
06,0605912,CA,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities",170318,1 
06,0605913,CA,Orange County (Northwest)--Garden Grove City (East),160453,1 
06,0605914,CA,Orange County (Northwest)--Huntington Beach City,196817,1 
06,0605916,CA,Orange County (Central)--Santa Ana City (West),145406,1 
06,0605917,CA,Orange County (Central)--Santa Ana City (East),156226,1 
06,0605918,CA,Orange County (Central)--Costa Mesa & Fountain Valley Cities,180550,1 
06,0605919,CA,Orange County (North Central)--Anaheim City (East),195610,1 
06,0605920,CA,Orange County (Central)--Orange & Villa Park Cities,146112,1 
06,0605921,CA,"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado",141087,1 
06,0605922,CA,Orange County (Central)--Irvine (Northwest) & Tustin Cities,126879,1 
06,0605923,CA,Orange County (Central)--Irvine City (Central),142279,1 
06,0605924,CA,Orange County (Central)--Irvine City (South),108296,1 
06,0605925,CA,"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Woods Cities",179661,1 
06,0605926,CA,Orange County (South Central)--Mission Viejo and Laguna Hills Cities,117535,1 
06,0605927,CA,Orange County (Southeast)--Rancho Santa Margarita City & Ladera Ranch,109926,1 
06,0605928,CA,"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities P",187346,1 
06,0606101,CA,Placer County (Southwest)--Roseville City,153933,1 
06,0606102,CA,"Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town",134491,1 
06,0606103,CA,Placer County (East/High Country Region)--Auburn & Colfax Cities,116315,1 
06,0606501,CA,"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities",186546,1 
06,0606502,CA,"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities",131953,1 
06,0606507,CA,"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PU",174601,1 
06,0606509,CA,"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley",133883,1 
06,0606511,CA,Riverside County (Northwest)--Riverside City (West),170401,1 
06,0606514,CA,Riverside County (Northwest)--Jurupa Valley & Eastvale Cities,174806,1 
06,0606515,CA,"Riverside County (Central)--Palm Desert, La Quinta (West) & Desert Hot Springs Cities",159907,1 
06,0606516,CA,Riverside County (Southwest)--Lake Elsinore & Canyon Lake Cities,105256,1 
06,0606517,CA,Riverside County (Southwest)--Menifee City,117025,1 
06,0606518,CA,Riverside County (Northwest)--Moreno Valley City (North),104737,1 
06,0606519,CA,Riverside County (Northwest)--Moreno Valley City (South),103154,1 
06,0606520,CA,Riverside County (Northwest)--Riverside City (East),151005,1 
06,0606521,CA,"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens",108390,1 
06,0606522,CA,Riverside County (West Central)--Corona (Northwest) & Norco Cities,137302,1 
06,0606523,CA,Riverside County (Southwest)--Temecula City,140891,1 
06,0606524,CA,Riverside County (Southwest)--Murrieta & Wildomar Cities,185773,1 
06,0606525,CA,Riverside County (Southwest)--Hemet City & East Hemet,132555,1 
06,0606701,CA,Sacramento County (North Central)--Citrus Heights City,111579,1 
06,0606703,CA,"Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West)",119575,1 
06,0606704,CA,"Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park P",137958,1 
06,0606705,CA,Sacramento County (Northwest)--Sacramento City (Northwest/Natomas),123062,1 
06,0606706,CA,"Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda",126366,1 
06,0606707,CA,Sacramento County (West)--Sacramento City (Central/Downtown & Midtown),133374,1 
06,0606709,CA,"Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna)",147629,1 
06,0606712,CA,"Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East)",118728,1 
06,0606713,CA,Sacramento County (Central)--Rancho Cordova City,105450,1 
06,0606714,CA,"Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park)",141800,1 
06,0606715,CA,Sacramento County (Central)--Elk Grove City (West),106336,1 
06,0606716,CA,Sacramento County (Central)--Elk Grove City (East),109195,1 
06,0606717,CA,"Sacramento County--Galt, Isleton Cities, Delta Region & Rural",104003,1 
06,0607101,CA,San Bernardino County (Northeast)--Twentynine Palms & Barstow Cities,141621,1 
06,0607102,CA,San Bernardino County (West Central)--Victorville & Adelanto Cities,188899,1 
06,0607103,CA,San Bernardino County (West Central)--Hesperia City & Apple Valley Town,183441,1 
06,0607104,CA,"San Bernardino County (Southwest)--Phelan, Lake Arrowhead & Big Bear City",120206,1 
06,0607105,CA,San Bernardino County (Southwest)--Redlands & Yucaipa Cities,147345,1 
06,0607107,CA,San Bernardino County (Southwest)--San Bernardino City (East),113673,1 
06,0607108,CA,San Bernardino County (Southwest)--San Bernardino City (West),177845,1 
06,0607110,CA,San Bernardino County (Southwest)--Fontana City (East),110688,1 
06,0607111,CA,San Bernardino County (Southwest)--Rancho Cucamonga City,174456,1 
06,0607112,CA,San Bernardino County (Southwest)--Upland & Montclair Cities,127336,1 
06,0607115,CA,San Bernardino County (Southwest)--Fontana City (West),122576,1 
06,0607116,CA,"San Bernardino County (Southwest)--Colton, Loma Linda & Grand Terrace Cities",112249,1 
06,0607117,CA,San Bernardino County (Southwest)--Rialto City,110645,1 
06,0607118,CA,San Bernardino County (Southwest)--Ontario City,180848,1 
06,0607119,CA,San Bernardino County (Southwest)--Chino & Chino Hills Cities,169826,1 
06,0607301,CA,San Diego County (Northwest)--Oceanside City & Camp Pendleton,196491,1 
06,0607302,CA,"San Diego County (North & East)--Fallbrook, Alpine & Valley Center",125831,1 
06,0607306,CA,San Diego County (Northwest)--Escondido City (East),144300,1 
06,0607307,CA,"San Diego County (Central)--Lakeside, Winter Gardens & Ramona",112315,1 
06,0607308,CA,San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities,128327,1 
06,0607310,CA,San Diego County (West)--San Diego City (Southwest/Central Coastal),165369,1 
06,0607311,CA,San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa),123938,1 
06,0607312,CA,San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights) P,123738,1 
06,0607313,CA,San Diego County (Central)--El Cajon & Santee Cities,189588,1 
06,0607314,CA,San Diego County (Central)--San Diego (East Central/Navajo) & La Mesa Cities,159220,1 
06,0607315,CA,San Diego County (West Central)--San Diego City (Central/Clairemont & Kearny Mesa) PU,166232,1 
06,0607316,CA,San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park),178604,1 
06,0607317,CA,San Diego County (South Central)--San Diego City (Central/Mid-City),164963,1 
06,0607322,CA,San Diego County (South)--San Diego City (South/Otay Mesa & South Bay),141103,1 
06,0607323,CA,San Diego County (Northwest)--Vista City,116522,1 
06,0607324,CA,San Diego County (Northwest)--Carlsbad City,131292,1 
06,0607325,CA,San Diego County (Northwest)--San Marcos & Escondido (West) Cities,126224,1 
06,0607326,CA,San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities,173372,1 
06,0607327,CA,San Diego County (South)--San Diego City (Southeast/Encanto & Skyline),149834,1 
06,0607328,CA,"San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley",132376,1 
06,0607329,CA,San Diego County (Southwest)--Sweetwater Region--Chula Vista City (East),168881,1 
06,0607330,CA,San Diego County (Southwest)--Chula Vista (West) & National City Cities,180114,1 
06,0607507,CA,San Francisco County (South Central)--Bayview & Hunters Point,115070,1 
06,0607508,CA,"San Francisco County (Northwest)--Richmond, Western Addition & Presidio",100221,1 
06,0607509,CA,"San Francisco County (Northeast)--Chinatown, North Beach & Russian Hill",115773,1 
06,0607510,CA,San Francisco County (Southeast)--South of Market & Mission,107058,1 
06,0607511,CA,San Francisco County (Southwest)--Central & Bernal Heights,128619,1 
06,0607512,CA,San Francisco County (Southwest)--Outer Sunset & Inner Sunset,100691,1 
06,0607513,CA,San Francisco County (Southwest)--Ingleside & South Central,104289,1 
06,0607514,CA,San Francisco County (Northwest)--Western Addition & Marina,102244,1 
06,0607705,CA,San Joaquin County (Central)--Stockton City (North),197729,1 
06,0607706,CA,San Joaquin County (Central)--Stockton City (South),170975,1 
06,0607707,CA,San Joaquin County (West)--Tracy City,126319,1 
06,0607708,CA,"San Joaquin County (East)--Lodi, Ripon & Escalon Cities",163651,1 
06,0607709,CA,San Joaquin County (South)--Lathrop & Manteca Cities,120559,1 
06,0607901,CA,San Luis Obispo County (West)--Coastal Region,168697,1 
