state,puma22,stab,PUMA22name,pop20,afact
01,0100100,AL,"Lauderdale, Colbert & Franklin Counties",182904,1 
01,0100200,AL,Limestone County,103570,1 
01,0100300,AL,Morgan & Lawrence Counties--Decatur City,156494,1 
01,0100401,AL,Madison County (North & East)--Huntsville City (East),113502,1 
01,0100402,AL,"Huntsville (North & Far West), Madison (East) & Triana Cities",153097,1 
01,0100403,AL,Huntsville City (Central & South),107983,1 
01,0100501,AL,Marshall & Madison (Far Southeast) Counties,111183,1 
01,0100600,AL,DeKalb & Jackson Counties,124187,1 
01,0100700,AL,Etowah & Cherokee Counties,128407,1 
01,0100800,AL,Calhoun County,116441,1 
01,0100900,AL,St. Clair & Blount Counties,150237,1 
01,0101000,AL,"Cullman, Marion & Winston Counties",140747,1 
01,0101100,AL,West Alabama,125892,1 
01,0101201,AL,Tuscaloosa County (Outer)--Northport City (North & West),101012,1 
01,0101202,AL,Tuscaloosa & Northport (Southeast) Cities,126024,1 
01,0101301,AL,"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",115817,1 
01,0101401,AL,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",118409,1 
01,0101402,AL,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",133581,1 
01,0101403,AL,Birmingham City,187166,1 
01,0101404,AL,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",185090,1 
01,0101501,AL,"Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities",137436,1 
01,0101502,AL,Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities,130602,1 
01,0101600,AL,"Talladega, Randolph, Cleburne & Clay Counties",133408,1 
01,0101700,AL,"Autauga, Dallas, Lowndes & Perry Counties",116089,1 
01,0101801,AL,Montgomery City (West),109409,1 
01,0101802,AL,Montgomery City (East) & Pike Road Town (Northwest),105471,1 
01,0101901,AL,Elmore & Montgomery (South & Far East) Counties,102051,1 
01,0102000,AL,"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",116359,1 
01,0102101,AL,Lee County (West)--Auburn & Opelika Cities,127904,1 
01,0102201,AL,Lee (East) & Russell Counties--Phenix City & Smiths Station Cities,105520,1 
01,0102300,AL,"Houston, Geneva & Henry Counties--Dothan City",151007,1 
01,0102400,AL,Coffee & Dale Counties,102791,1 
01,0102500,AL,"Covington, Pike, Barbour, Butler & Crenshaw Counties",128047,1 
01,0102600,AL,Southwest Alabama,129866,1 
01,0102701,AL,"Baldwin County (North)--Daphne, Fairhope & Spanish Fort Cities",118618,1 
01,0102702,AL,"Baldwin County (South)--Foley, Gulf Shores & Robertsdale Cities",113149,1 
01,0102801,AL,Mobile County (Outer)--Prichard & Saraland Cities,139133,1 
01,0102802,AL,Mobile City (West) & Tillmans Corner CDP,129797,1 
01,0102803,AL,Mobile City (East),145879,1 
02,0200101,AK,Anchorage Municipality (North),131989,1 
02,0200102,AK,Anchorage Municipality (South),159258,1 
02,0200200,AK,Matanuska-Susitna & Kenai Peninsula Boroughs,165880,1 
02,0200300,AK,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",163324,1 
02,0200400,AK,Subsistence Alaska,112940,1 
04,0400101,AZ,Maricopa County--Mesa City (East),185881,1 
04,0400102,AZ,Maricopa County--Mesa City (North Central),144062,1 
04,0400103,AZ,Maricopa County--Mesa City (West),120951,1 
04,0400104,AZ,Maricopa County--Mesa City (South Central),106653,1 
04,0400105,AZ,Maricopa County--Gilbert Town (North),165935,1 
04,0400106,AZ,Maricopa County--Chandler City (Northeast),122710,1 
04,0400107,AZ,Maricopa County--Chandler City (South),128103,1 
04,0400108,AZ,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,107998,1 
04,0400109,AZ,Maricopa County--Tempe City (North),108516,1 
04,0400110,AZ,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,128498,1 
04,0400111,AZ,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,111602,1 
04,0400112,AZ,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",130727,1 
04,0400113,AZ,Phoenix City (Northeast),104693,1 
04,0400114,AZ,Phoenix City (Northeast Central),111355,1 
04,0400115,AZ,Phoenix City (Northwest Central),109655,1 
04,0400116,AZ,Phoenix City (Uptown),110648,1 
04,0400117,AZ,Phoenix City (East),109946,1 
04,0400118,AZ,Phoenix City--Downtown & Sky Harbor International Airport,116146,1 
04,0400119,AZ,Phoenix City (South),117231,1 
04,0400120,AZ,Phoenix City--Ahwatukee & South Mountain,108700,1 
04,0400121,AZ,Phoenix (Southwest) & Tolleson Cities,166779,1 
04,0400122,AZ,Phoenix City--Maryvale (East),102202,1 
04,0400123,AZ,Phoenix City--Maryvale (West),115847,1 
04,0400124,AZ,Maricopa County--Glendale City (South),114445,1 
04,0400125,AZ,Phoenix City (West),114546,1 
04,0400126,AZ,Maricopa County--Glendale City (North),129933,1 
04,0400127,AZ,Maricopa County--Peoria City (South & Central),121259,1 
04,0400128,AZ,Phoenix City (North),110257,1 
04,0400129,AZ,Phoenix (Far North) & Peoria (Northwest) Cities,140573,1 
04,0400130,AZ,Maricopa County--El Mirage & Sun City,126627,1 
04,0400131,AZ,Maricopa County--Surprise City (Central),123399,1 
04,0400132,AZ,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",146751,1 
04,0400133,AZ,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,122883,1 
