puma22,metdiv20,stab,MetDivName,PUMA22name,pop20,afact
0100100,99999,AL,[not in any metro division],"Lauderdale, Colbert & Franklin Counties",182904,1 
0100200,99999,AL,[not in any metro division],Limestone County,103570,1 
0100300,99999,AL,[not in any metro division],Morgan & Lawrence Counties--Decatur City,156494,1 
0100401,99999,AL,[not in any metro division],Madison County (North & East)--Huntsville City (East),113502,1 
0100402,99999,AL,[not in any metro division],"Huntsville (North & Far West), Madison (East) & Triana Cities",153097,1 
0100403,99999,AL,[not in any metro division],Huntsville City (Central & South),107983,1 
0100501,99999,AL,[not in any metro division],Marshall & Madison (Far Southeast) Counties,111183,1 
0100600,99999,AL,[not in any metro division],DeKalb & Jackson Counties,124187,1 
0100700,99999,AL,[not in any metro division],Etowah & Cherokee Counties,128407,1 
0100800,99999,AL,[not in any metro division],Calhoun County,116441,1 
0100900,99999,AL,[not in any metro division],St. Clair & Blount Counties,150237,1 
0101000,99999,AL,[not in any metro division],"Cullman, Marion & Winston Counties",140747,1 
0101100,99999,AL,[not in any metro division],West Alabama,125892,1 
0101201,99999,AL,[not in any metro division],Tuscaloosa County (Outer)--Northport City (North & West),101012,1 
0101202,99999,AL,[not in any metro division],Tuscaloosa & Northport (Southeast) Cities,126024,1 
0101301,99999,AL,[not in any metro division],"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",115817,1 
0101401,99999,AL,[not in any metro division],"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",118409,1 
0101402,99999,AL,[not in any metro division],"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",133581,1 
0101403,99999,AL,[not in any metro division],Birmingham City,187166,1 
0101404,99999,AL,[not in any metro division],"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",185090,1 
0101501,99999,AL,[not in any metro division],"Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities",137436,1 
0101502,99999,AL,[not in any metro division],Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities,130602,1 
0101600,99999,AL,[not in any metro division],"Talladega, Randolph, Cleburne & Clay Counties",133408,1 
0101700,99999,AL,[not in any metro division],"Autauga, Dallas, Lowndes & Perry Counties",116089,1 
0101801,99999,AL,[not in any metro division],Montgomery City (West),109409,1 
0101802,99999,AL,[not in any metro division],Montgomery City (East) & Pike Road Town (Northwest),105471,1 
0101901,99999,AL,[not in any metro division],Elmore & Montgomery (South & Far East) Counties,102051,1 
