County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
26005,32638,36578,36830,36938,40365,42666
26007,8872,9688,10608,9911,11273,11170
26009,8002,6720,8768,8879,9908,10666
26015,18080,20607,20296,21139,20403,21822
26017,35614,35448,37698,39209,40001,38816
26021,47908,51655,47699,45276,57357,57745
26023,11948,12505,12459,14822,14128,14482
26025,40917,43412,44706,45238,46871,47356
26027,15168,16601,17286,17896,18655,19445
26029,9444,8920,9662,9603,11455,12199
26031,7582,9035,8663,8553,8866,10226
26033,10703,11021,11983,12157,11557,12623
26035,8217,9208,8377,9006,10107,10593
26037,24302,25063,25615,25982,27606,27572
26041,11460,12033,12392,12988,12977,14112
26043,8745,8793,8344,9947,10434,10919
26045,36498,37459,39091,38151,40684,40252
26047,11367,11412,12312,12266,13902,14300
26049,123460,127288,133698,138545,143614,149033
26051,7236,8230,8444,8308,9097,9785
26055,30523,34227,31662,33334,36359,36076
26057,9696,10989,13378,11153,11695,11918
26059,12784,13660,13965,14333,14516,14893
26061,8903,9019,11313,11398,11804,12959
26063,9651,10029,10149,10240,11135,11733
26065,90552,92458,93222,99777,103622,105528
26067,17612,19253,18803,19590,19463,20430
26069,8651,8820,9806,9122,10153,9323
26073,18103,19282,19865,20122,20567,22376
26075,46945,51817,51579,51653,55300,56902
26077,86766,90808,91524,90553,93973,94817
26081,205100,207121,211684,215091,229149,234556
26087,25717,28182,27751,29078,29489,30565
26089,7045,7368,7682,7956,8836,8947
26091,30441,32131,31399,32168,34947,33343
26093,61102,65242,65699,64683,69812,70854
26099,284835,299102,304203,315562,329541,332727
26101,7728,7382,6627,7405,8950,8709
26103,20155,21501,21249,22740,23113,24746
26105,9543,9524,9166,8900,10549,11667
26107,12219,11626,13301,12665,13861,13026
26109,7157,7656,8180,7462,8117,9259
26111,27663,29159,28099,29349,31795,31177
26115,47727,47501,51382,50399,53370,55496
26117,16127,17438,18718,19023,20012,20275
26121,50019,51205,55119,52644,60061,58354
26123,12552,14253,14369,15640,16113,16349
26125,440452,452822,450298,466175,496812,497046
26127,7770,7778,7606,7866,8190,8831
26129,5481,7043,7543,7299,7216,8059
26133,6428,6031,7453,7051,6859,7756
26137,7237,8233,9708,8391,10540,11380
26139,85921,91092,91047,91877,100447,103215
26143,8213,7773,8673,10177,10714,10631
26145,60405,64125,64284,66210,69405,71178
26147,51887,54672,55606,53874,59587,62179
26149,18268,17990,19382,19905,20513,20601
26151,11933,12178,12928,13302,14469,15592
26155,22047,22399,23400,21124,23525,24449
26157,15919,14299,15530,16657,18188,17837
26159,21303,24126,23286,25991,24666,27482
26161,123470,124147,130433,130002,139359,140225
26163,495427,517401,535280,558903,612247,613342
26165,9648,9678,10387,10170,11937,12214
