County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
31001,9584,9936,10877,10227,11296,10792
31019,15769,16406,16226,16579,17664,19408
31025,8302,8132,8909,8545,9584,10027
31043,5988,5011,5590,4789,6300,6442
31047,7792,7456,7484,8227,7432,7067
31053,11773,12746,12695,12276,11766,14079
31055,176184,186410,192783,198704,214946,217809
31067,7647,6785,7163,6567,8366,8343
31079,18121,19377,18907,20049,20962,21849
31109,104695,108172,111827,115226,119634,121837
31111,12240,12548,12039,12656,12683,13044
31119,10603,11633,11761,11692,12966,11473
31141,10231,10749,11036,10082,11372,11383
31153,57168,60751,60577,63645,67911,71958
31155,6176,6660,7585,7239,7790,8416
31157,10701,11499,12099,12304,12595,13259
31177,6477,6510,7157,7331,7780,7508
