County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
06001,497747,514194,523387,527894,544323,559621
06005,13166,12060,11124,13972,14512,13753
06007,70042,77970,77247,69048,73097,73479
06009,14650,14658,13861,14271,15871,15854
06011,5660,5753,5125,6547,4735,5953
06013,354650,359825,366087,375017,388241,394907
06015,7287,8045,8731,8555,7708,7807
06017,60198,58824,65325,67582,68985,69393
06019,239357,248319,249462,257160,272174,292162
06021,5955,8016,7827,9641,8939,9114
06023,43450,44979,48190,48726,49957,51010
06025,33259,34408,35417,40280,43008,44391
06029,213868,212336,227482,225209,254119,257567
06031,34135,34638,36458,37495,38546,38465
06033,17842,20878,21104,20885,22781,21649
06035,7128,7918,7770,7297,8330,8566
06037,2716680,2808968,2839783,2910085,3105604,3137105
06039,33198,36952,38547,38207,38450,40206
06041,96386,94267,98240,96892,97265,99157
06045,28163,26076,28375,28588,29656,31763
06047,62458,68863,69242,71777,71608,78024
06053,100338,109419,109291,113294,124378,122223
06055,42551,42296,42947,43031,46823,47647
06057,32529,35570,36189,34748,38477,41421
06059,928682,944942,952953,965595,1013708,1030059
06061,124425,126328,130702,134784,145166,149943
06065,605028,624708,639503,659749,704630,709245
06067,461107,482385,489254,504483,533584,533420
06069,15782,15864,17024,17221,19072,19894
06071,524842,538421,545085,565543,622969,626814
06073,979132,1015841,1037027,1042601,1096778,1104605
06075,311226,314800,321542,326022,323120,336779
06077,183136,188986,195383,199348,217914,223685
06079,90862,92925,92921,97456,98857,104962
06081,238448,239202,238585,245728,250363,250878
06083,121529,129193,131312,132331,137561,138451
06085,575642,582513,598900,598095,620514,623691
06087,84022,83999,83206,87071,90325,89643
06089,56345,59986,58228,60108,63165,63447
06093,15418,15620,16426,15163,16706,17332
06095,133656,137146,140315,137688,146033,146000
06097,162810,167704,172276,176115,179884,185079
06099,142437,149048,150982,151469,159966,162277
06101,25971,26155,27216,27125,30555,29325
06103,16390,18393,19470,22038,20049,21069
06107,105708,106577,108483,116216,122985,127603
06109,17418,17862,19306,20280,20209,19123
06111,230691,243113,242224,238110,260020,260261
06113,63321,64949,67374,68090,69390,70964
06115,21228,22510,19673,24009,25189,26936
