County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
16001,124491,140609,159970,169379,182885,189668
16005,25715,26213,26718,27893,28729,30560
16011,12537,13709,12245,14013,13849,14159
16013,6448,0,7234,0,0,0
16017,11918,13314,14130,13607,18500,18335
16019,34383,34739,36291,37139,39266,39505
16027,57773,58699,65528,70252,74646,80516
16031,6620,6972,7613,6392,7428,7213
16039,7170,8686,8920,9913,8954,10402
16051,7123,7637,8520,8165,9136,9678
16053,5903,6285,6671,6013,7569,7512
16055,48569,51424,54683,57332,60173,65926
16057,12255,13274,13277,13701,14327,14623
16065,7618,8196,8283,9905,10044,9973
16067,5523,6477,5852,5602,6329,6537
16069,12934,12431,12946,13817,14507,15297
16075,6615,7095,6821,8494,7765,9950
16083,25749,25550,26909,27033,29872,32833
