County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
36001,104195,103936,107180,110151,117273,120521
36003,13419,13452,13923,13203,15088,15374
36005,358222,381521,389784,409094,457740,437358
36007,62030,62392,63864,66222,74078,73595
36009,22458,23359,24076,24431,27107,26599
36011,23881,24142,24363,26245,27643,28291
36013,38012,39769,41739,43799,45940,48067
36015,26512,26887,27975,27606,30860,30028
36017,16011,16401,16889,16898,17657,18471
36019,23917,25457,26575,25907,29975,29288
36021,19853,19535,19050,20829,23300,23172
36023,12081,12136,12692,15347,16439,16263
36025,13485,13342,14970,15122,16897,17576
36027,93886,93475,95448,99317,108724,107449
36029,304234,316342,326751,339320,364202,368164
36031,11718,11711,11822,13346,14553,14634
36033,13817,13917,14719,14471,16947,16633
36035,17832,16689,16213,18576,19977,20635
36037,18195,19191,19461,21012,22710,21840
36039,11369,10649,12235,13888,14130,17017
36043,18883,19724,19581,21062,21800,21858
36045,33715,34964,37712,34985,43865,41670
36047,736506,764311,790232,811766,883065,900320
36049,7028,7070,8603,9086,8982,9590
36051,19778,21448,20381,20049,21479,22810
36053,20220,21257,22398,21054,22283,25243
36055,247337,251965,258843,261558,285612,281985
36057,14754,14788,14275,15168,15609,15531
36059,393045,397799,403884,402723,428069,429229
36061,619814,651425,651863,672872,668050,724493
36063,66239,69929,72431,77038,79613,82979
36065,68862,71617,74875,76228,79710,85804
36067,140274,145392,146259,150436,179414,182018
36069,38123,37468,38537,40450,43053,43196
36071,95394,105028,107403,114106,123960,122110
36073,12580,12872,14038,14294,13243,14937
36075,37345,39531,38780,40227,41304,43588
36077,17768,18411,18968,18367,18136,18992
36079,32449,31309,32386,32217,32978,33897
36081,616078,643103,671403,667536,739977,764118
36083,52070,55753,56808,56962,59571,59999
36085,128895,132676,138554,135953,149251,153137
36087,78146,83235,84365,86555,88102,89829
36089,32076,33720,33319,33508,36766,34921
36091,81121,86621,84010,85556,90923,93800
36093,40852,42789,46514,51323,57988,58619
36095,9058,8677,9952,9690,10743,11463
36099,10208,10920,10409,11076,11833,11033
36101,30199,30360,32423,32631,33932,34726
36103,406640,414248,446551,459089,477326,476995
36105,19314,20470,23324,24817,28994,28714
36107,15736,17141,17157,16956,18356,17515
36109,32658,33678,34835,34220,40144,38961
36111,57844,60744,60576,60108,68754,69321
36113,23152,22806,22270,25469,25889,27149
36115,17769,17967,19155,20582,20630,21674
36117,30473,29270,29922,30530,34664,31416
36119,290865,296345,308215,311140,343787,339978
36121,11905,11871,12428,13221,12947,14283
36123,5948,7450,7077,6579,7632,8147
