County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
23001,36044,36574,37408,39694,41416,41127
23003,18086,19729,20419,20570,25204,26091
23005,101183,101421,109537,110151,118257,123953
23007,8733,8444,9559,9327,10547,10415
23009,16089,18008,19782,20694,23444,25072
23011,38401,39132,44166,46444,48029,48364
23013,12844,13682,15492,14829,16732,15592
23015,11724,10701,13071,12217,13775,16229
23017,13334,17188,16982,19373,20210,21021
23019,48775,49156,51076,52861,58248,58758
23023,13590,12647,14496,13656,15490,15308
23025,14234,14367,17228,17041,20223,19938
23027,11642,13666,13176,15351,14874,15252
23029,8583,9084,10596,11331,11866,12908
23031,67624,71897,75782,74877,83676,85999
