County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
40001,4060,3609,3878.0,3646,4405,4735
40009,4493,6276,,6972,7713,7479
40013,10946,12724,13312.0,13050,14242,14873
40015,6495,6344,7457.0,8734,6761,7722
40017,36584,39359,41170.0,41514,52999,54283
40019,10389,11054,12954.0,15126,16314,15948
40021,9953,11769,13263.0,14110,15202,14931
40027,90871,95491,96380.0,96478,107122,108464
40031,36756,38207,37090.0,36342,40114,42000
40037,19502,21580,21086.0,22535,24478,24134
40039,7139,9774,9022.0,8735,9446,9794
40041,10609,11027,11874.0,12820,14239,14142
40047,19180,15980,19447.0,19819,19001,19765
40049,6660,7828,8377.0,8887,8798,8593
40051,13053,15578,16539.0,16903,17441,17851
40065,7479,7217,8097.0,8455,8312,9295
40071,12909,12142,12195.0,13211,14205,13540
40079,11965,12382,13172.0,12344,13784,14865
40081,7059,7929,9367.0,9886,9684,10702
40083,11642,13004,12563.0,13230,15755,16547
40087,12206,12744,12406.0,13441,14464,15272
40089,6737,7624,7973.0,8303,8797,9234
40091,4257,4394,5353.0,5195,5115,6793
40097,11807,12466,13440.0,12743,12662,13925
40101,18142,17174,19229.0,19598,19264,20746
40109,246062,247387,255036.0,263647,294728,296606
40111,8857,10080,10414.0,11832,11368,11565
40113,12499,13403,12883.0,14663,15185,15151
40115,7682,7951,8462.0,8823,9267,9892
40119,25233,24049,25266.0,26118,27481,29021
40121,14147,13271,13788.0,14395,14923,16203
40123,9581,9065,9406.0,10201,12823,13120
40125,17282,20438,21503.0,21288,23313,22142
40131,27114,28526,29061.0,29823,31521,33651
40133,5575,5433,5250.0,5409,6447,7269
40135,10017,11374,10848.0,12360,12041,13017
40137,12173,12822,13323.0,12308,15304,15974
40139,3676,5551,5812.0,6034,5810,6241
40143,210820,211409,215279.0,224321,242833,242629
40145,24456,24570,26636.0,25660,27335,30147
40147,15625,15507,16473.0,16650,17792,18135
40153,5277,6617,5338.0,5758,7716,7725
