County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
17001,20908,21644,21452,21574,23771,24282
17007,16843,16368,16865,16208,17130,17527
17011,10789,11115,10936,11074,11683,11852
17019,66274,69734,70421,68372,76093,75496
17021,10414,11054,11214,9973,10477,12035
17027,10773,11341,12134,11838,13138,13873
17029,15594,15670,17778,16720,16153,18520
17031,1567983,1577679,1652270,1679171,1839763,1885957
17037,32202,32464,34821,36124,35681,36228
17043,304682,309282,316315,316753,329505,330132
17049,10377,11743,11531,12434,12315,12908
17051,5151,6157,6080,6586,5777,7091
17055,10441,11486,12509,13149,13176,12758
17057,10750,10542,11592,10474,12484,12036
17063,16544,17341,17503,18233,18853,18616
17073,14640,15715,15319,15393,17692,17972
17075,9291,9103,10056,8970,10185,9362
17077,19097,18873,18644,19662,21102,19419
17081,11688,11779,12423,12321,12500,13041
17083,5490,5814,6118,6245,6671,6692
17085,7358,8637,7493,8827,8959,8796
17089,150843,160369,161931,161488,170002,170604
17091,30912,30524,31661,31452,35697,37143
17093,37350,37134,37045,38340,41934,43098
17095,14397,15171,15291,15361,18171,19022
17097,216417,223505,223259,225552,236593,243215
17099,35615,37920,36943,37073,37994,38508
17103,11366,10170,11241,11712,11488,12058
17105,11194,10986,12063,11086,12676,13485
17107,7982,8804,8068,7974,9867,9767
17109,8555,7817,8716,9466,10795,9705
17111,101364,105100,106618,105774,110785,111956
17113,54384,54353,55721,53871,60750,60916
17115,34935,34512,35846,32026,36426,39248
17117,14343,14669,15263,14580,14420,16002
17119,86807,87780,92916,93229,97376,98794
17121,12808,12710,11826,12706,13185,13293
17133,10404,11634,11472,12573,11682,12702
17135,8538,8817,8872,8621,9994,9454
17137,10748,10569,10202,9725,11161,11672
17141,17442,16886,17944,16921,16910,19348
17143,55711,55199,58415,61402,72041,68172
17145,6158,6440,6438,7327,7238,6902
17157,9305,9520,8981,9512,10210,10615
17161,49000,49043,50928,52023,52831,54740
17163,78076,80665,80071,87379,89101,91460
17165,6954,7004,7162,7868,7607,7641
17167,66769,68180,66306,66051,72872,76616
17173,6308,6684,7400,7046,7400,8270
17177,15389,15039,15356,16300,16655,16490
17179,45907,44581,45120,43237,47847,49978
17183,24020,22396,22663,24903,23744,27995
17195,17593,18384,19119,16863,18590,20338
17197,201588,204145,207241,207221,224855,227314
17199,19855,20780,20978,22560,22933,26117
17201,93062,95087,98615,99084,100508,102937
17203,11466,12646,12674,12290,12352,13348
