County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
35001,208583,221230,219773,225066,258832,257976
35005,15163,16151,16088,16945,15597,18472
35006,5542,4449,6081,4909,6448,7563
35009,15388,14503,16323,15950,15557,17328
35013,53585,53073,54923,61848,73475,76260
35015,16883,17444,15369,16826,19609,21523
35017,7413,8451,9829,9611,9790,9535
35025,15795,17563,18652,19054,20409,21940
35029,5054,6195,6156,7042,6532,7073
35031,9518,9351,9456,8463,11948,13710
35035,18017,18178,19282,20104,20988,21890
35039,6412,6341,7991,8583,11013,11574
35043,40178,42238,44985,45852,50915,51907
35045,26523,27352,31089,28372,22665,30544
35047,5089,6933,7679,8083,7777,9620
35049,46570,49109,51018,51167,62316,63831
35055,7387,6797,7899,9281,13686,12673
35061,16910,19097,21123,17229,22981,24636
