metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
99999,0,0,0,0,0,0,0,0,0,0,3025,0,0,3025,3025,0,0,55
99999,0,0,0,0,0,0,0,0,0,0,3136,0,0,0,0,0,0,112
99999,0,0,0,0,0,0,0,0,0,0,3136,0,0,0,3136,0,0,112
99999,0,0,0,0,0,0,0,0,0,0,3136,0,0,3136,3136,0,0,112
99999,0,0,0,0,0,0,0,0,0,0,3364,0,0,0,0,0,0,58
99999,0,0,0,0,0,0,0,0,0,0,3364,0,0,3364,0,0,0,58
99999,0,0,0,0,0,0,0,0,0,0,3481,0,0,0,0,0,-7192,59
99999,0,0,0,0,0,0,0,0,0,0,3481,0,0,3481,0,0,0,118
99999,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,3600,0,60
99999,0,0,0,0,0,0,0,0,0,0,3600,0,0,3600,0,0,0,120
99999,0,0,0,0,0,0,0,0,0,0,3600,0,0,3600,0,0,125,60
99999,0,0,0,0,0,0,0,0,0,0,3721,0,0,0,0,0,0,61
99999,0,0,0,0,0,0,0,0,0,0,3721,0,0,0,3721,0,0,61
99999,0,0,0,0,0,0,0,0,0,0,3721,0,0,3721,0,0,0,61
99999,0,0,0,0,0,0,0,0,0,0,3721,0,3721,3721,0,0,0,61
99999,0,0,0,0,0,0,0,0,0,0,3844,0,0,0,3844,0,39608,62
99999,0,0,0,0,0,0,0,0,0,0,3969,0,0,3969,0,0,0,63
99999,0,0,0,0,0,0,0,0,0,0,3969,0,0,3969,0,0,104,63
99999,0,0,0,0,0,0,0,0,0,0,4096,0,0,0,0,0,0,128
99999,0,0,0,0,0,0,0,0,0,0,4096,0,0,4096,4096,0,0,128
99999,0,0,0,0,0,0,0,0,0,0,4225,0,0,0,0,0,0,130
