puma22,metdiv23,stab,MetDivName,PUMA22name,hus20,afact
0100100,99999,AL,[not in any metro division],"Lauderdale, Colbert & Franklin Counties",86163,1 
0100200,99999,AL,[not in any metro division],Limestone County,42692,1 
0100300,99999,AL,[not in any metro division],Morgan & Lawrence Counties--Decatur City,68490,1 
0100401,99999,AL,[not in any metro division],Madison County (North & East)--Huntsville City (East),45150,1 
0100402,99999,AL,[not in any metro division],"Huntsville (North & Far West), Madison (East) & Triana Cities",67835,1 
0100403,99999,AL,[not in any metro division],Huntsville City (Central & South),51204,1 
0100501,99999,AL,[not in any metro division],Marshall & Madison (Far Southeast) Counties,46876,1 
0100600,99999,AL,[not in any metro division],DeKalb & Jackson Counties,55211,1 
0100700,99999,AL,[not in any metro division],Etowah & Cherokee Counties,61819,1 
0100800,99999,AL,[not in any metro division],Calhoun County,53052,1 
0100900,99999,AL,[not in any metro division],St. Clair & Blount Counties,62397,1 
0101000,99999,AL,[not in any metro division],"Cullman, Marion & Winston Counties",66233,1 
0101100,99999,AL,[not in any metro division],West Alabama,60139,1 
0101201,99999,AL,[not in any metro division],Tuscaloosa County (Outer)--Northport City (North & West),41750,1 
0101202,99999,AL,[not in any metro division],Tuscaloosa & Northport (Southeast) Cities,59710,1 
0101301,99999,AL,[not in any metro division],"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",51581,1 
0101401,99999,AL,[not in any metro division],"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",50981,1 
0101402,99999,AL,[not in any metro division],"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",55638,1 
0101403,99999,AL,[not in any metro division],Birmingham City,97657,1 
0101404,99999,AL,[not in any metro division],"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",82045,1 
0101501,99999,AL,[not in any metro division],"Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities",55264,1 
0101502,99999,AL,[not in any metro division],Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities,53234,1 
0101600,99999,AL,[not in any metro division],"Talladega, Randolph, Cleburne & Clay Counties",64184,1 
0101700,99999,AL,[not in any metro division],"Autauga, Dallas, Lowndes & Perry Counties",51942,1 
0101801,99999,AL,[not in any metro division],Montgomery City (West),51910,1 
0101802,99999,AL,[not in any metro division],Montgomery City (East) & Pike Road Town (Northwest),47653,1 
0101901,99999,AL,[not in any metro division],Elmore & Montgomery (South & Far East) Counties,42548,1 
0102000,99999,AL,[not in any metro division],"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",59178,1 
0102101,99999,AL,[not in any metro division],Lee County (West)--Auburn & Opelika Cities,55939,1 
0102201,99999,AL,[not in any metro division],Lee (East) & Russell Counties--Phenix City & Smiths Station Cities,46170,1 
0102300,99999,AL,[not in any metro division],"Houston, Geneva & Henry Counties--Dothan City",70792,1 
0102400,99999,AL,[not in any metro division],Coffee & Dale Counties,46866,1 
0102500,99999,AL,[not in any metro division],"Covington, Pike, Barbour, Butler & Crenshaw Counties",62513,1 
0102600,99999,AL,[not in any metro division],Southwest Alabama,64925,1 
0102701,99999,AL,[not in any metro division],"Baldwin County (North)--Daphne, Fairhope & Spanish Fort Cities",51511,1 
0102702,99999,AL,[not in any metro division],"Baldwin County (South)--Foley, Gulf Shores & Robertsdale Cities",72637,1 
0102801,99999,AL,[not in any metro division],Mobile County (Outer)--Prichard & Saraland Cities,56985,1 
0102802,99999,AL,[not in any metro division],Mobile City (West) & Tillmans Corner CDP,56709,1 
0102803,99999,AL,[not in any metro division],Mobile City (East),70747,1 
0200101,99999,AK,[not in any metro division],Anchorage Municipality (North),53497,1 
0200102,99999,AK,[not in any metro division],Anchorage Municipality (South),65143,1 
0200200,99999,AK,[not in any metro division],Matanuska-Susitna & Kenai Peninsula Boroughs,83699,1 
0200300,99999,AK,[not in any metro division],"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",76949,1 
0200400,99999,AK,[not in any metro division],Subsistence Alaska,46912,1 
0400101,99999,AZ,[not in any metro division],Maricopa County--Mesa City (East),83732,1 
0400102,99999,AZ,[not in any metro division],Maricopa County--Mesa City (North Central),59382,1 
0400103,99999,AZ,[not in any metro division],Maricopa County--Mesa City (West),49766,1 
0400104,99999,AZ,[not in any metro division],Maricopa County--Mesa City (South Central),55607,1 
0400105,99999,AZ,[not in any metro division],Maricopa County--Gilbert Town (North),59566,1 
0400106,99999,AZ,[not in any metro division],Maricopa County--Chandler City (Northeast),49100,1 
0400107,99999,AZ,[not in any metro division],Maricopa County--Chandler City (South),52869,1 
0400108,99999,AZ,[not in any metro division],Maricopa County--Tempe (South) & Chandler (Northwest) Cities,45334,1 
0400109,99999,AZ,[not in any metro division],Maricopa County--Tempe City (North),50800,1 
0400110,99999,AZ,[not in any metro division],Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,74353,1 
0400111,99999,AZ,[not in any metro division],Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,59433,1 
0400112,99999,AZ,[not in any metro division],"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",65624,1 
0400113,99999,AZ,[not in any metro division],Phoenix City (Northeast),48722,1 
0400114,99999,AZ,[not in any metro division],Phoenix City (Northeast Central),50696,1 
0400115,99999,AZ,[not in any metro division],Phoenix City (Northwest Central),47277,1 
0400116,99999,AZ,[not in any metro division],Phoenix City (Uptown),53568,1 
0400117,99999,AZ,[not in any metro division],Phoenix City (East),55045,1 
0400118,99999,AZ,[not in any metro division],Phoenix City--Downtown & Sky Harbor International Airport,54543,1 
0400119,99999,AZ,[not in any metro division],Phoenix City (South),36389,1 
0400120,99999,AZ,[not in any metro division],Phoenix City--Ahwatukee & South Mountain,44737,1 
0400121,99999,AZ,[not in any metro division],Phoenix (Southwest) & Tolleson Cities,47703,1 
0400122,99999,AZ,[not in any metro division],Phoenix City--Maryvale (East),28824,1 
0400123,99999,AZ,[not in any metro division],Phoenix City--Maryvale (West),33228,1 
0400124,99999,AZ,[not in any metro division],Maricopa County--Glendale City (South),39601,1 
0400125,99999,AZ,[not in any metro division],Phoenix City (West),40321,1 
0400126,99999,AZ,[not in any metro division],Maricopa County--Glendale City (North),50880,1 
0400127,99999,AZ,[not in any metro division],Maricopa County--Peoria City (South & Central),48209,1 
0400128,99999,AZ,[not in any metro division],Phoenix City (North),42808,1 
0400129,99999,AZ,[not in any metro division],Phoenix (Far North) & Peoria (Northwest) Cities,54490,1 
0400130,99999,AZ,[not in any metro division],Maricopa County--El Mirage & Sun City,70059,1 
0400131,99999,AZ,[not in any metro division],Maricopa County--Surprise City (Central),50946,1 
0400132,99999,AZ,[not in any metro division],"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",53237,1 
0400133,99999,AZ,[not in any metro division],Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,40753,1 
0400134,99999,AZ,[not in any metro division],Maricopa County (West) & Gila River Indian Community (Northwest),61926,1 
0400135,99999,AZ,[not in any metro division],Maricopa County--Gilbert (South) & Queen Creek Towns,53299,1 
0400400,99999,AZ,[not in any metro division],"Gila, Graham, Greenlee Counties",50466,1 
0400500,99999,AZ,[not in any metro division],Coconino County,69108,1 
0400601,99999,AZ,[not in any metro division],Mohave County North--City of Kingman & Bullhead City,57068,1 
0400602,99999,AZ,[not in any metro division],Mohave County South--Lake Havasu City,60582,1 
0400701,99999,AZ,[not in any metro division],"La Paz & Yuma Counties--Parker, Quartzsite, Wellton Somerton & San Luis Cities",55342,1 
0400803,99999,AZ,[not in any metro division],Pinal County (North)--Apache Junction City,65565,1 
0400805,99999,AZ,[not in any metro division],"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",43611,1 
0400807,99999,AZ,[not in any metro division],"Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",57436,1 
0400900,99999,AZ,[not in any metro division],Cochise & Santa Cruz Counties--Sierra Vista City,77377,1 
0401000,99999,AZ,[not in any metro division],Navajo & Apache Counties,84903,1 
0401101,99999,AZ,[not in any metro division],Yuma County--Yuma City,50163,1 
0401901,99999,AZ,[not in any metro division],Pima County (West),46183,1 
0401902,99999,AZ,[not in any metro division],Tucson City (West) & Marana Town,60851,1 
0401903,99999,AZ,[not in any metro division],Pima County (North Central)--Oro Valley Town,55229,1 
