state,puma22,stab,PUMA22name,hus20,afact
01,0100100,AL,"Lauderdale, Colbert & Franklin Counties",86163,1 
01,0100200,AL,Limestone County,42692,1 
01,0100300,AL,Morgan & Lawrence Counties--Decatur City,68490,1 
01,0100401,AL,Madison County (North & East)--Huntsville City (East),45150,1 
01,0100402,AL,"Huntsville (North & Far West), Madison (East) & Triana Cities",67835,1 
01,0100403,AL,Huntsville City (Central & South),51204,1 
01,0100501,AL,Marshall & Madison (Far Southeast) Counties,46876,1 
01,0100600,AL,DeKalb & Jackson Counties,55211,1 
01,0100700,AL,Etowah & Cherokee Counties,61819,1 
01,0100800,AL,Calhoun County,53052,1 
01,0100900,AL,St. Clair & Blount Counties,62397,1 
01,0101000,AL,"Cullman, Marion & Winston Counties",66233,1 
01,0101100,AL,West Alabama,60139,1 
01,0101201,AL,Tuscaloosa County (Outer)--Northport City (North & West),41750,1 
01,0101202,AL,Tuscaloosa & Northport (Southeast) Cities,59710,1 
01,0101301,AL,"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",51581,1 
01,0101401,AL,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",50981,1 
01,0101402,AL,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",55638,1 
01,0101403,AL,Birmingham City,97657,1 
01,0101404,AL,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",82045,1 
01,0101501,AL,"Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities",55264,1 
01,0101502,AL,Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities,53234,1 
01,0101600,AL,"Talladega, Randolph, Cleburne & Clay Counties",64184,1 
01,0101700,AL,"Autauga, Dallas, Lowndes & Perry Counties",51942,1 
01,0101801,AL,Montgomery City (West),51910,1 
01,0101802,AL,Montgomery City (East) & Pike Road Town (Northwest),47653,1 
01,0101901,AL,Elmore & Montgomery (South & Far East) Counties,42548,1 
01,0102000,AL,"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",59178,1 
01,0102101,AL,Lee County (West)--Auburn & Opelika Cities,55939,1 
01,0102201,AL,Lee (East) & Russell Counties--Phenix City & Smiths Station Cities,46170,1 
01,0102300,AL,"Houston, Geneva & Henry Counties--Dothan City",70792,1 
01,0102400,AL,Coffee & Dale Counties,46866,1 
01,0102500,AL,"Covington, Pike, Barbour, Butler & Crenshaw Counties",62513,1 
01,0102600,AL,Southwest Alabama,64925,1 
01,0102701,AL,"Baldwin County (North)--Daphne, Fairhope & Spanish Fort Cities",51511,1 
01,0102702,AL,"Baldwin County (South)--Foley, Gulf Shores & Robertsdale Cities",72637,1 
01,0102801,AL,Mobile County (Outer)--Prichard & Saraland Cities,56985,1 
01,0102802,AL,Mobile City (West) & Tillmans Corner CDP,56709,1 
01,0102803,AL,Mobile City (East),70747,1 
02,0200101,AK,Anchorage Municipality (North),53497,1 
02,0200102,AK,Anchorage Municipality (South),65143,1 
02,0200200,AK,Matanuska-Susitna & Kenai Peninsula Boroughs,83699,1 
02,0200300,AK,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",76949,1 
02,0200400,AK,Subsistence Alaska,46912,1 
04,0400101,AZ,Maricopa County--Mesa City (East),83732,1 
04,0400102,AZ,Maricopa County--Mesa City (North Central),59382,1 
04,0400103,AZ,Maricopa County--Mesa City (West),49766,1 
04,0400104,AZ,Maricopa County--Mesa City (South Central),55607,1 
04,0400105,AZ,Maricopa County--Gilbert Town (North),59566,1 
04,0400106,AZ,Maricopa County--Chandler City (Northeast),49100,1 
04,0400107,AZ,Maricopa County--Chandler City (South),52869,1 
04,0400108,AZ,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,45334,1 
04,0400109,AZ,Maricopa County--Tempe City (North),50800,1 
04,0400110,AZ,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,74353,1 
