geography_id,geography_desc,geography_desc_full,total_units,"Calculated percentage of units for broadband serviceable locations contained within the geography for which providers report residential fixed broadband service with Copper, Cable, Fiber to the Premises, or Licensed Fixed Wireless technology and speeds of at least 25 / 3 Mbps."
8109,Saguache County,"Saguache County, CO",4953,0.77509999
69120,Tinian Municipality,"Tinian Municipality, MP",858,0.77509999
26057,Gratiot County,"Gratiot County, MI",20678,0.77590001
28135,Tallahatchie County,"Tallahatchie County, MS",7139,0.77590001
21177,Muhlenberg County,"Muhlenberg County, KY",16340,0.77640003
16043,Fremont County,"Fremont County, ID",11300,0.77670002
23027,Waldo County,"Waldo County, ME",23751,0.77689999
46102,Oglala Lakota County,"Oglala Lakota County, SD",3810,0.77689999
42059,Greene County,"Greene County, PA",21928,0.77749997
37065,Edgecombe County,"Edgecombe County, NC",28485,0.77759999
13211,Morgan County,"Morgan County, GA",10768,0.77780002
51159,Richmond County,"Richmond County, VA",4590,0.77780002
20157,Republic County,"Republic County, KS",4167,0.778
32011,Eureka County,"Eureka County, NV",1302,0.778
5115,Pope County,"Pope County, AR",32132,0.77829999
16023,Butte County,"Butte County, ID",1692,0.7784
31093,Howard County,"Howard County, NE",3877,0.7784
28053,Humphreys County,"Humphreys County, MS",4909,0.77880001
72009,Aibonito Municipio,"Aibonito Municipio, PR",11741,0.7791
5009,Boone County,"Boone County, AR",21353,0.77920002
16057,Latah County,"Latah County, ID",21485,0.77920002
18007,Benton County,"Benton County, IN",5109,0.77920002
41013,Crook County,"Crook County, OR",13092,0.77939999
48109,Culberson County,"Culberson County, TX",1870,0.77969998
47035,Cumberland County,"Cumberland County, TN",36039,0.78009999
26127,Oceana County,"Oceana County, MI",18664,0.78030002
31037,Colfax County,"Colfax County, NE",5456,0.78060001
39009,Athens County,"Athens County, OH",32643,0.78079998
18165,Vermillion County,"Vermillion County, IN",9083,0.78100002
37131,Northampton County,"Northampton County, NC",12851,0.78100002
1011,Bullock County,"Bullock County, AL",6025,0.78119999
13275,Thomas County,"Thomas County, GA",25164,0.78119999
13023,Bleckley County,"Bleckley County, GA",6117,0.7816
17141,Ogle County,"Ogle County, IL",27874,0.7816
54059,Mingo County,"Mingo County, WV",15827,0.78200001
37039,Cherokee County,"Cherokee County, NC",22207,0.78210002
30065,Musselshell County,"Musselshell County, MT",3794,0.7823
48321,Matagorda County,"Matagorda County, TX",23897,0.78240001
48087,Collingsworth County,"Collingsworth County, TX",2621,0.78250003
21017,Bourbon County,"Bourbon County, KY",10766,0.78259999
4015,Mohave County,"Mohave County, AZ",143316,0.7827
48463,Uvalde County,"Uvalde County, TX",15157,0.78280002
21099,Hart County,"Hart County, KY",10877,0.78289998
22023,Cameron Parish,"Cameron Parish, LA",5290,0.78320003
20063,Gove County,"Gove County, KS",1998,0.78329998
22097,St. Landry Parish,"St. Landry Parish, LA",45038,0.78390002
55033,Dunn County,"Dunn County, WI",25450,0.7841
29211,Sullivan County,"Sullivan County, MO",4694,0.78420001
51155,Pulaski County,"Pulaski County, VA",20186,0.78420001
41061,Union County,"Union County, OR",13760,0.78430003
42015,Bradford County,"Bradford County, PA",33963,0.78430003
48333,Mills County,"Mills County, TX",5330,0.78439999
17153,Pulaski County,"Pulaski County, IL",4210,0.78460002
48211,Hemphill County,"Hemphill County, TX",2871,0.78469998
51171,Shenandoah County,"Shenandoah County, VA",25970,0.78479999
72109,Patillas Municipio,"Patillas Municipio, PR",8999,0.78479999
29055,Crawford County,"Crawford County, MO",12609,0.78509998
31017,Brown County,"Brown County, NE",2484,0.78539997
37163,Sampson County,"Sampson County, NC",33870,0.78539997
45061,Lee County,"Lee County, SC",11010,0.78549999
21039,Carlisle County,"Carlisle County, KY",2903,0.78570002
21173,Montgomery County,"Montgomery County, KY",14058,0.78600001
19115,Louisa County,"Louisa County, IA",6453,0.78609997
31063,Frontier County,"Frontier County, NE",2134,0.7863
37123,Montgomery County,"Montgomery County, NC",17956,0.7863
5047,Franklin County,"Franklin County, AR",10569,0.78640002
47007,Bledsoe County,"Bledsoe County, TN",7255,0.78659999
51193,Westmoreland County,"Westmoreland County, VA",12967,0.787
27071,Koochiching County,"Koochiching County, MN",9088,0.7877
47043,Dickson County,"Dickson County, TN",26879,0.78820002
17085,Jo Daviess County,"Jo Daviess County, IL",18062,0.78860003
56017,Hot Springs County,"Hot Springs County, WY",3044,0.7888
40093,Major County,"Major County, OK",5163,0.78890002
51071,Giles County,"Giles County, VA",10415,0.7895
35039,Rio Arriba County,"Rio Arriba County, NM",23351,0.78960001
1059,Franklin County,"Franklin County, AL",17515,0.78979999
6005,Amador County,"Amador County, CA",22600,0.78979999
39019,Carroll County,"Carroll County, OH",17081,0.7899
17121,Marion County,"Marion County, IL",22081,0.79040003
51091,Highland County,"Highland County, VA",2806,0.79040003
17009,Brown County,"Brown County, IL",3269,0.79049999
30023,Deer Lodge County,"Deer Lodge County, MT",6620,0.79049999
51023,Botetourt County,"Botetourt County, VA",17656,0.79089999
13175,Laurens County,"Laurens County, GA",25848,0.79110003
13269,Taylor County,"Taylor County, GA",4745,0.79110003
5103,Ouachita County,"Ouachita County, AR",14006,0.79119998
13055,Chattooga County,"Chattooga County, GA",12631,0.79119998
29175,Randolph County,"Randolph County, MO",13219,0.79149997
12107,Putnam County,"Putnam County, FL",41776,0.79180002
47051,Franklin County,"Franklin County, TN",23345,0.79189998
50005,Caledonia County,"Caledonia County, VT",18857,0.79210001
55019,Clark County,"Clark County, WI",18900,0.79210001
55021,Columbia County,"Columbia County, WI",33634,0.79229999
