county,total_population,area_land,pop_density
01001,58239,594.45611006,97.97022692578899
01003,227131,1589.83611681,142.86441073922603
01005,25259,885.00802758,28.540984050810458
01007,22412,622.4695707,36.00497286123805
01009,58884,644.8906627,91.30850143413001
01011,10386,622.81503855,16.675897910525812
01013,19181,776.83857032,24.691101514306695
01015,116425,605.88934532,192.15554935779608
01017,34834,596.56091652,58.39135457146927
01019,24975,553.5241224,45.11998481965345
01021,44857,692.83674095,64.74396830989826
01023,12792,913.479172,14.003603357472064
01025,23346,1238.42044157,18.851433016079135
01027,14184,603.962438,23.484904205251254
01029,15046,560.1054762,26.862797525349386
01031,53043,678.98612488,78.12088945024392
01033,56789,592.95344483,95.77311759489218
01035,11778,850.2793899,13.851917546049414
01037,10442,650.909174,16.04217672310761
01039,37490,1030.57067822,36.377902838020454
01041,13300,608.8648949999999,21.843926475675694
01043,87129,734.73930544,118.58491760941337
01045,49443,561.11308204,88.11592811246443
01047,39162,978.73797469,40.012752148912945
01049,71554,777.07707153,92.08095647336002
01051,87146,618.51472266,140.89559521755234
01053,36879,945.40790725,39.00855886352118
01055,103468,535.1054791,193.36000852397177
01057,16365,627.6836968800001,26.072048838204324
01059,32034,633.92020176,50.533174224550045
01061,26604,574.48468082,46.309328844115306
01063,7851,647.023083,12.134033864136498
01065,14819,643.9901112,23.011222908976865
01067,17165,561.7630773,30.555585964282457
01069,106355,579.82594139,183.4257359114327
01071,52548,1078.0145118,48.745169406169396
01073,672550,1111.531144856,605.06626657513
01075,13929,604.8463098999999,23.028990624581805
01077,93342,668.01485547,139.73042550726913
01079,33089,690.6844231,47.90755212269967
01081,172223,607.542124369,283.47499390083067
01083,101217,559.96300396,180.7565844246922
01085,10334,716.085106,14.431245550860544
01087,19490,608.66521967,32.020886638745175
01089,382149,801.60130661,476.73200735677625
01091,19397,976.89840807,19.85569823818374
01093,29392,742.3432269,39.5935450542736
01095,97179,565.8450319,171.7413682571205
01097,414620,1229.37409684,337.26105102242263
01099,20115,1025.6687483599999,19.611594905434156
01101,229072,785.3547380699999,291.6796562059863
01103,122608,579.66891642,211.51384269009898
01105,8702,719.6698293000001,12.091655986835184
01107,19240,881.407571,21.82872105145555
01109,33176,672.06695804,49.36412898017437
01111,21984,580.5503234,37.867518307888346
01113,58695,641.18152245,91.54193928689999
01115,90412,631.57038297,143.1542745478846
01117,220780,785.439604979,281.09099490329737
01119,12482,903.8261427799999,13.810178096428707
01121,81850,736.81676454,111.08596321244067
01123,41284,716.52765114,57.61675761475066
01125,223945,1320.848129431,169.54636571009257
01127,65194,791.02980426,82.41661647754006
01129,15574,1080.203041,14.417659836971335
01131,10686,887.8576142,12.035713642697733
01133,23650,612.9980062,38.5808758932306
02013,3409,2113.61981,1.612872846796416
02016,5251,1918.3735000000001,2.7372146247850067
02020,292545,1706.8858954,171.39107001141608
02050,18514,5193.67109571,3.564723229257367
02060,849,481.97745,1.7614931984888504
02063,7015,2682.3472225,2.6152468036788625
02066,2635,1658.29626,1.588980246509149
02068,2187,1658.29626,1.3188234531747662
02070,4899,987.36302,4.9617009152317655
02090,97149,4793.16283331,20.268245285735915
02100,2098,842.3834491,2.4905522565068163
02105,2327,2305.60913,1.0092777521227114
02110,32240,1624.1600046,19.85026100180327
02122,58711,6401.72313312,9.17112452056109
02130,13939,853.9756173100001,16.322480077250297
02150,13218,2492.40692068,5.303307373417881
02158,8354,3316.59252,2.51885028070919
02164,986,829.14813,1.1891723135165244
02170,106807,4435.1362221,24.082011160736744
02180,10070,1565.52070289,6.432364632042532
02185,10865,3414.407603,3.182103973308192
02188,7776,4401.59601696,1.7666319148867644
02195,3368,831.1372164300001,4.0522791344450155
02198,5886,2328.11708284,2.528223362727035
02220,8518,892.07277105,9.548548365593565
02230,1329,433.93292,3.0626853569902
02240,6849,3450.11454,1.98515148427507
02275,2162,832.0506199,2.5983996024903386
02282,562,829.14813,0.677804097562157
02290,5433,6633.18504,0.8190635369339855
04001,66473,10736.97764478,6.1910345908484965
04003,125092,5619.98002326,22.258442108738578
04005,144942,12825.275189387,11.301277973352217
04007,53211,4757.57808821,11.1844722279735
04009,38145,3363.64679753,11.340370227935558
04011,9542,1400.57791747,6.8129019321085975
04012,16845,4480.82597941,3.759351529696767
04013,4367186,8735.056338537,499.9608280410293
04015,211274,8696.194791330001,24.29499396800973
04017,106609,9949.4942535354,10.715016993162052
04019,1035063,7156.945242938,144.62357400614903
04021,420625,5366.6707926300005,78.37726893507991
04023,47463,1236.24249973,38.3929528473306
04025,233789,7891.45388477,29.625592877276745
04027,202944,3972.115627789,51.09216825920166
05001,17273,992.14060581,17.40983072242874
05003,19362,925.4916914,20.920771282896034
05005,41476,553.92559344,74.87648249365931
05007,278774,847.72093018,328.85114673387477
05009,37445,589.72294624,63.495918276106856
05011,10597,649.16711485,16.323993864736355
05013,4811,628.600536,7.653509223224716
05015,28154,629.9378302,44.69329932298452
05017,10405,636.97772893,16.334951015443504
05019,21569,865.97125929,24.907293133127972
05021,14661,639.2237846,22.935629670248034
05023,24848,553.95919058,44.855289744329234
05025,7632,597.913798,12.764381798059793
05027,22947,766.0648907,29.954381513336205
05029,20687,551.91702035,37.48208378658312
05031,109875,707.160447298,155.3749229327277
05033,60483,595.26865379,101.60622370237776
05035,48338,612.86485849,78.87220050289231
05037,16935,616.31760794,27.477715680725225
05039,6645,667.3229145,9.957697923469103
05041,11530,741.21406507,15.555560186126678
05043,17511,828.66225854,21.131649015670398
05045,123191,647.24637677,190.33092253798142
05047,17159,608.96297301,28.177411042228055
05049,12072,618.0358941,19.532846093962814
05051,99694,677.60905913,147.1261321801095
05053,17912,631.8846177,28.346947367065173
05055,45665,577.34022579,79.09547604709957
05057,20352,727.19972512,27.98680925882031
05059,33096,614.94389727,53.8195437777777
05061,12894,587.32649379,21.95371762781449
05063,37796,763.71155626,49.489888807093855
05065,13653,580.1773269,23.532460451273796
05067,16878,633.61086202,26.637800914889056
05069,68199,872.36682855,78.17697529072329
05071,25853,660.99548777,39.11221858294411
05073,6373,529.4724827,12.036508427220669
05075,16292,587.52797263,27.72974353386235
05077,8832,599.8072003,14.724731539705727
05079,13092,559.4615925,23.401070199470393
05081,12104,531.2546217,22.78380178842969
05083,21299,709.116055,30.035986140519693
05085,73824,771.44850714,95.6953047633582
05087,16496,834.2277492000001,19.773976609887622
05089,16750,596.6534573,28.073247200808602
05091,42875,624.04043558,68.70548374024965
05093,41061,902.0929595700001,45.517481945067516
05095,6903,607.4687939,11.363546686377365
05097,8525,780.4529655,10.923143836782565
05099,8340,617.7896603,13.499740341963763
05101,7343,821.071892,8.943187644767164
05103,22858,732.72094543,31.19605102401665
05105,10056,551.377265,18.23796634052367
05107,16923,690.3600146,24.513296891630258
05109,10234,600.3353440000001,17.0471389070839
05111,23212,758.2952063,30.61076979935011
05113,19476,856.83826119,22.730077404516468
05115,63234,811.12761554,77.95813974093659
05117,8306,647.5203176,12.827396722910182
05119,397931,758.30821713,524.7615560676181
05121,18442,651.91266348,28.289065442530372
05123,23623,634.78403056,37.214231711468905
05125,122308,723.53235072,169.0428905884984
05127,9928,892.8499372,11.119449737695518
05129,7872,665.833751,11.822771056855002
05131,127941,531.1818650600001,240.86100903604517
05133,16074,563.57437809,28.52152373299175
05135,17243,604.6243732,28.51853276893337
05137,12364,606.4403674,20.38782486233287
05139,39262,1039.06708783,37.785818124597924
05141,15851,709.5625411,22.339116119950432
05143,242793,941.470867705,257.8868962688675
05145,77075,1034.07868642,74.53494691669462
05147,6333,585.9652139899999,10.807808806391156
05149,20489,930.2106225599999,22.02619439413941
06001,1673133,737.461860066,2268.7722451846676
06003,1344,738.34033,1.8202987773944301
06005,40095,594.58414151,67.43368549685017
06007,217884,1636.489705073,133.14107588002253
06009,45349,1020.01913528,44.45896986780693
06011,21780,1150.71297302,18.927395893381878
06013,1161643,716.929382628,1620.3032378751768
06015,27655,1006.22781467,27.48383576443836
06017,190568,1707.8503932620001,111.58354429161355
06019,1003150,5505.07234341,182.22285510940625
06021,28675,1313.9676044,21.823216876868077
06023,137014,3568.188490698,38.39875621962944
06025,180051,2779.315409291,64.78249981923815
06027,18804,3433.1334376100003,5.477212098429397
06029,905644,8066.968234969,112.26572035751671
06031,151887,1390.9724437500001,109.19483033791768
06033,67749,1256.55129045,53.91662124332189
06035,32949,3424.3676857,9.621922358861605
06037,10019635,4059.2885237246,2468.322944141572
06039,156304,2136.9178369339998,73.14459980560665
06041,262387,520.423199789,504.180059817437
06043,17225,1448.8395113,11.888825412101392
06045,91534,3506.824122747,26.10167969538737
06047,279150,1938.003988625,144.03995122737334
06049,8723,3781.88793374,2.306519958504856
06051,13291,2728.24801689,4.871624543559919
06053,438953,3230.731317116,135.8679991971116
06055,138795,748.278735425,185.48569327066147
06057,102090,957.76016591,106.59244728872272
06059,3182923,792.851746189,4014.524802775997
06061,400330,1407.086424585,284.5098872431177
06063,19631,2553.0623246,7.68919732622496
06065,2409331,4317.180728485,558.0797171874458
06067,1571767,965.27316196,1628.3131676514306
06069,63329,1177.394800676,53.787395666805836
06071,2171071,12132.125185071,178.9522418274729
06073,3296317,4210.257039889,782.9253579460566
06075,865933,46.9141514485,18457.820791037386
06077,771406,1392.370341651,554.0235790179983
06079,282771,3119.416357226,90.6486879652896
06081,762488,448.62063364,1699.6275757834758
06083,447651,2404.652140371,186.16039820667555
06085,1932022,1291.084250865,1496.4337135284431
06087,272138,445.10769731700003,611.3980990227333
06089,181935,3775.5659062,48.1874782535878
06091,3079,953.168365,3.230279259215658
06093,44151,5985.270616180001,7.3766088170928255
06095,451432,821.829172163,549.3015036347041
06097,492498,1575.630789462,312.5719573988293
06099,550842,1496.0174868670001,368.2055890627242
06101,99080,602.696029363,164.39464534836804
06103,65345,2949.13693156,22.15732992955148
06105,15818,3177.6212857,4.977937449999
06107,470999,4080.5894073160002,115.42425688689877
06109,55243,2220.9111803299998,24.87402489990238
06111,845255,1752.809302706,482.22872773158446
06113,216703,1014.732823228,213.55670678971333
06115,80404,632.005977179,127.22031579335454
08001,514969,1166.739175762,441.3745682823006
08003,16377,722.64544776,22.662565786256796
08005,651621,797.856481722,816.7145532159086
08007,13267,1350.08814183,9.826765815465217
08009,3519,1347.7212319,2.6110740980454534
08011,5861,1038.19606464,5.645369116316514
08013,328713,726.383710034,452.5335514264408
08014,72697,32.967984758,2205.078670523207
08015,19436,1013.4084222,19.178841989300373
08017,1691,1320.60644,1.2804723260322735
08019,9427,395.0728989,23.861419060248277
08021,7579,1287.4283293,5.886929646888266
08023,3517,1227.5934670000001,2.8649549663984972
08025,6018,787.427558,7.642607804183557
08027,4720,738.625849,6.390244812566801
08029,31133,1142.12535114,27.258829312321048
08031,706799,153.074662851,4617.348076003831
08033,2288,1062.245836,2.153927012428411
08035,351929,840.166164697,418.88023439615745
08037,55693,1684.4689063600001,33.06264650521097
08039,25897,1850.8363467,13.992052860953253
08041,722736,2126.414095478,339.8848801543215
08043,49007,1533.83481859,31.950637321592687
08045,61221,2563.50855358,23.881722537848933
08047,5812,150.0226032,38.740828888643094
08049,15629,1581.8333806800001,9.880307364155756
08051,16851,3095.86094789,5.443073924713863
08053,858,829.14813,1.0347970030397342
08055,6787,1591.0329422,4.265782197202831
08057,1375,830.0578407600001,1.6565110676396375
08059,580130,764.380135237,758.9548357639196
08061,1414,860.611562,1.6430176660815068
08063,7071,2160.8215479,3.272366478792277
08065,7417,376.9190598,19.677964823364444
08067,55673,1689.68168214,32.94880958257744
08069,354670,2595.771876539,136.63373241907888
08071,14531,1980.01579343,7.338830350856854
08073,5630,1211.1529359,4.648463322112482
08075,21765,1838.5984105100001,11.837821612150044
08077,154685,2694.11309119,57.41592678712498
08079,794,829.14813,0.9576093478013391
08081,13240,1827.28166553,7.245735701156811
08083,25916,2029.3492189199999,12.770596484025674
08085,42328,2240.94611875,18.888450572658375
08087,28868,1280.48529055,22.54457760120031
08089,18665,1133.29968157,16.46960667468177
08091,4850,540.671477,8.97032709569031
08093,17384,2193.5104187,7.925196001714345
08095,4497,687.9278778600001,6.537022476817232
08097,17471,970.70140466,17.99832566031923
08099,11966,1558.82403864,7.676299379139525
08101,167453,2386.591300975,70.16408713615523
08103,6495,2491.2196708300003,2.6071566775305928
08105,11476,911.95638735,12.583935108286733
08107,24899,2362.01977994,10.541401986325655
08109,6369,1721.0191515000001,3.700714192778696
08111,698,387.51556,1.8012179949625764
08113,8084,1186.40395876,6.813868025566263
08115,2459,548.0407651,4.486892502515412
08117,31042,608.3283902200001,51.02835984487549
08119,24607,557.14088673,44.166566457587905
08121,4834,2006.0095854,2.4097591732275276
08123,322424,3984.950476398,80.91041580306899
08125,9944,2364.3986107,4.205720623840155
09001,956446,624.969703055,1530.3877857193163
09003,898636,734.933871548,1222.7440247204722
09005,185175,920.51513032,201.16453700834592
09007,164568,369.304316855,445.6162370412105
09009,864751,604.305203916,1430.9838710576496
09011,269131,665.065365606,404.66849413331107
09013,150120,410.3522732,365.83201752323083
09015,116503,512.92810576,227.13319603997672
10001,180078,586.061054,307.2683277124912
10003,567769,426.336702563,1331.7384982028389
10005,234045,936.156277422,250.006335100926
11001,683154,61.126200096,11176.124132157604
12001,276171,875.643237353,315.3921462750549
12003,28003,585.2301099700001,47.849554428147044
12005,181384,758.64212801,239.0903343000339
12007,27928,293.9660488,95.00416838612827
12009,601573,1014.971783929,592.6992351169455
12011,1934551,1202.8407822590002,1608.318431278002
12013,13863,567.3364526,24.435235804906217
12015,184837,681.1189536100001,271.3725686538967
12017,151888,581.91907917,261.01223595665596
12019,216308,604.5977415,357.77176319471914
12021,372797,1996.8502884910001,186.69251377964792
12023,69265,797.37709122,86.8660521636299
12027,34027,636.69476444,53.443191149731206
12029,16701,705.0339805,23.688219946726385
12031,983153,762.654222681,1289.120247107357
12033,318828,656.99404177,485.2829397676868
12035,113888,486.20120418,234.24047291712736
12037,12232,544.98283915,22.444743432798784
12039,44233,516.3750848,85.6606007958965
12041,17759,349.6948874,50.784271202930945
12043,12183,806.82203,15.09998431748325
12045,15205,553.45764411,27.47274369017116
