State FIPS,State Name,Census Block Group,High Cost Block Group
4,Arizona,040179400082,High Cost
4,Arizona,040179400131,High Cost
4,Arizona,040179601002,High Cost
4,Arizona,040179602003,High Cost
4,Arizona,040190040614,High Cost
4,Arizona,040190043163,High Cost
4,Arizona,040199800011,High Cost
4,Arizona,040199802001,High Cost
4,Arizona,040210008081,High Cost
4,Arizona,040210020051,High Cost
4,Arizona,040210023001,High Cost
4,Arizona,040210024003,High Cost
4,Arizona,040250012023,High Cost
4,Arizona,040250014034,High Cost
4,Arizona,040250015012,High Cost
4,Arizona,040250021002,High Cost
4,Arizona,040270121001,High Cost
4,Arizona,040279800031,High Cost
4,Arizona,040279800041,High Cost
5,Arkansas,050014801001,High Cost
5,Arkansas,050014808001,High Cost
5,Arkansas,050039601002,High Cost
5,Arkansas,050170801001,High Cost
5,Arkansas,050170801002,High Cost
5,Arkansas,050399701001,High Cost
5,Arkansas,050434901002,High Cost
5,Arkansas,050690001021,High Cost
5,Arkansas,050690023004,High Cost
5,Arkansas,050774701002,High Cost
5,Arkansas,050774704001,High Cost
5,Arkansas,050799603002,High Cost
5,Arkansas,050799606002,High Cost
5,Arkansas,051074806002,High Cost
5,Arkansas,051279503002,High Cost
5,Arkansas,051299701001,High Cost
5,Arkansas,051299703001,High Cost
6,California,060070017041,High Cost
6,California,060090003022,High Cost
6,California,060110003021,High Cost
6,California,060110004003,High Cost
6,California,060190064111,High Cost
6,California,060190078021,High Cost
6,California,060190082001,High Cost
6,California,060190082003,High Cost
6,California,060190082006,High Cost
6,California,060190083041,High Cost
6,California,060210103001,High Cost
6,California,060230101021,High Cost
6,California,060230101023,High Cost
6,California,060230101024,High Cost
6,California,060270008001,High Cost
6,California,060290043021,High Cost
6,California,060290045002,High Cost
6,California,060290052061,High Cost
6,California,060290055143,High Cost
6,California,060290057002,High Cost
6,California,060290060021,High Cost
6,California,060310016011,High Cost
6,California,060319801001,High Cost
6,California,060319818001,High Cost
6,California,060330001002,High Cost
6,California,060330001003,High Cost
6,California,060330007023,High Cost
6,California,060330011012,High Cost
6,California,060330013021,High Cost
6,California,060330013025,High Cost
6,California,060350401001,High Cost
6,California,060350401002,High Cost
6,California,060350401003,High Cost
6,California,060350406002,High Cost
6,California,060374303012,High Cost
6,California,060375991001,High Cost
6,California,060379001021,High Cost
6,California,060379012091,High Cost
6,California,060379110012,High Cost
6,California,060379304001,High Cost
6,California,060411330001,High Cost
6,California,060430002002,High Cost
6,California,060430002003,High Cost
6,California,060450101001,High Cost
6,California,060450108021,High Cost
6,California,060450111021,High Cost
6,California,060450112001,High Cost
6,California,060450112002,High Cost
6,California,060450118001,High Cost
6,California,060470019022,High Cost
6,California,060470020011,High Cost
6,California,060490003001,High Cost
6,California,060490003002,High Cost
6,California,060490003003,High Cost
6,California,060530111011,High Cost
6,California,060530113033,High Cost
6,California,060530113051,High Cost
6,California,060530114001,High Cost
6,California,060530114002,High Cost
6,California,060530115021,High Cost
6,California,060530141051,High Cost
6,California,060552014031,High Cost
6,California,060552018001,High Cost
6,California,060630002021,High Cost
6,California,060659810001,High Cost
6,California,060670087082,High Cost
6,California,060690008021,High Cost
6,California,060710103001,High Cost
6,California,060710103002,High Cost
6,California,060710116022,High Cost
6,California,060730209021,High Cost
6,California,060730209031,High Cost
6,California,060730209032,High Cost
6,California,060730210013,High Cost
6,California,060730211011,High Cost
6,California,060730211021,High Cost
6,California,060790109042,High Cost
6,California,060790114001,High Cost
6,California,060790115053,High Cost
6,California,060790127052,High Cost
6,California,060790127081,High Cost
6,California,060816138002,High Cost
6,California,060830018001,High Cost
