County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
31139,7301,7022,20,17,12,0,167,40.2,65603,103,1489,134,814,244,14,401,168,2876,2245,631,838,37,2453,122,264,2498,2461,1757,320,152,91,116,68,404,317,412,340,7207,0,3,13,78,81,6,4940,6774,2876,0,0,0,0,0,0,76,1,12.68,13,5,Pierce Telephone Co Inc -- Great Plains Broadband LLC -- Viaero Wireless -- Stealth Broadband -- Cable America -- TDS Telecom -- Nextlink -- T-Mobile US -- Plainview Telephone Company -- Verizon -- Rise Broadband -- Fastwyre Broadband -- CenturyLink,0.81349999,0,0,1,1
31141,34219,28746,227,40,152,11,7298,38.3,69943,313,5810,839,3926,1360,178,734,2040,13292,9937,3355,4185,42,11412,787,1051,11507,11465,9128,1453,212,165,1037,586,1416,1085,1801,1535,30016,49,296,1517,2341,2489,9,22403,31857,13292,10231,10749,11036,10082,11372,11383,1510,0,50.62,17,11,Verizon -- UPN -- Charter Communications Inc -- Great Plains Broadband LLC -- Viaero Wireless -- Stealth Broadband -- WIN LLC -- TDS Telecom -- Nextlink -- LTD Broadband -- GigFire -- Allo Communications LLC -- FRONTIER -- Rise Broadband -- T-Mobile US -- Vyve Broadband -- CenturyLink,0.8628,0,0,1,1
31143,5182,4792,8,8,0,0,321,43.4,67695,6,1155,140,487,141,36,157,236,2019,1638,381,588,11,1713,124,171,1738,1727,1118,257,68,41,108,66,176,124,303,240,4988,24,24,46,100,60,18,3598,4897,2019,0,0,0,0,0,0,129,1,11.91,16,10,UPN -- Vyve Broadband -- Viaero Wireless -- FRONTIER -- Stealth Broadband -- Big Red Communications -- T-Mobile US -- LTD Broadband -- GigFire -- Verizon -- Nextlink -- Rise Broadband -- TDS Telecom -- Northeast Nebraska Telephone Company -- Windstream Buffalo Valley Inc. -- CenturyLink,0.76429999,0,0,1,1
31145,10690,9717,114,74,0,0,628,41.5,58344,21,1937,335,1266,311,144,658,604,4315,3075,1240,976,14,3525,418,358,3586,3572,2640,555,203,115,432,250,516,209,773,723,10524,18,56,36,56,53,0,7380,10073,4315,0,0,0,0,0,0,111,1,14.96,11,3,Vistabeam -- Nex-Tech -- Great Plains Broadband LLC -- Viaero Wireless -- APPLIED COMMUNICATIONS TECHNOLOGY INC -- TDS Telecom -- BWTelcom -- T-Mobile US -- Pinpoint Communications Inc -- Verizon -- CenturyLink,0.98210001,0,0,1,1
31147,7850,7226,84,184,4,0,169,47.1,50321,62,2039,266,870,205,50,288,549,3587,2640,947,918,46,2843,156,542,2938,2892,2550,624,117,102,406,193,745,594,516,409,7738,0,15,39,58,11,22,5672,7437,3587,0,0,0,0,0,0,450,1,14.3,10,5,UPN -- Charter Communications Inc -- Viaero Wireless -- Southeast Nebraska Communications Inc. -- TDS Telecom -- Nextlink -- T-Mobile US -- Verizon -- KwiKom -- Windstream Buffalo Valley Inc.,0.94989997,0,0,1,1
31149,1312,1288,8,7,0,0,10,43.5,57566,1,309,12,211,52,2,43,70,577,446,131,165,7,459,63,48,466,459,307,69,25,15,14,7,107,74,116,76,1296,0,7,7,2,14,0,925,1226,577,0,0,0,0,0,0,5,1,1.57,7,4,NCTC -- Viaero Wireless -- TDS Telecom -- T-Mobile US -- Northeast Nebraska Telephone Company -- Verizon -- Fastwyre Broadband,0.69809997,0,0,1,1
31151,14275,11599,136,38,419,17,3865,38.6,71104,49,2167,430,1437,503,62,618,906,5137,3789,1348,2034,79,4203,494,361,4317,4238,2967,598,135,97,357,209,637,354,588,446,11968,47,23,842,1395,1407,194,9320,13313,5137,0,0,0,0,0,0,573,1,25.08,13,10,Verizon -- UPN -- Charter Communications Inc -- TDS Telecom -- Nextlink -- LTD Broadband -- Zito Media -- GigFire -- Glenwood Telephone Membership Corporation -- Diller Telephone Company -- T-Mobile US -- Rise Broadband -- Windstream Buffalo Valley Inc.,0.86269999,0,0,1,1
31153,191272,159141,7973,872,4835,233,20145,35.3,95911,299,22268,2870,32227,14889,2083,4791,5607,71142,49735,21407,26834,112,66725,2227,2078,67063,66951,59425,2710,1544,1161,2663,1875,5977,5191,6318,5546,176226,521,3461,6120,4944,2896,2075,123235,178369,71142,57168,60751,60577,63645,67911,71958,6251,0,791.53,17,11,Xfinity -- UPN -- Charter Communications Inc -- Great Plains Broadband LLC -- Western Iowa Wireless -- TPx Communications -- Fusion -- TDS Telecom -- Nextlink -- T-Mobile US -- Cox Communications -- Verizon -- GigFire -- LTD Broadband -- Rise Broadband -- Fastwyre Broadband -- CenturyLink,0.98549998,0,0,1,1
31155,22374,21258,74,29,127,6,541,40.4,84474,107,3906,606,3063,1085,176,865,606,8789,7082,1707,2875,20,7794,340,635,7882,7862,6082,764,304,167,545,291,590,469,775,671,21897,10,199,181,87,45,137,15336,20993,8789,6176,6660,7585,7239,7790,8416,678,1,29.39,16,11,UPN -- Charter Communications Inc -- Great Plains Broadband LLC -- Viaero Wireless -- TDS Telecom -- Nextlink -- LTD Broadband -- GigFire -- Verizon -- Northeast Nebraska Telephone Company -- Rise Broadband -- T-Mobile US -- Allo Communications LLC -- Zito Media -- Windstream Buffalo Valley Inc. -- CenturyLink,0.94309998,0,0,1,1
31157,36048,29563,204,662,202,66,8972,39.2,60137,300,5803,956,4153,1337,392,1544,2835,15119,10258,4861,4663,23,12303,1374,1419,12471,12448,10075,2016,658,381,1467,781,2356,1654,1949,1703,34092,20,177,842,917,1282,119,24201,33833,15119,10701,11499,12099,12304,12595,13259,2480,1,48.98,11,5,Vistabeam -- UPN -- Charter Communications Inc -- Great Plains Broadband LLC -- Viaero Wireless -- Allstream Business US LLC -- T-Mobile US -- Allo Communications LLC -- Verizon -- Visionary Broadband -- CenturyLink,0.98549998,0,0,1,1
31159,17644,16896,117,30,60,16,475,37.5,79677,77,2667,444,2472,748,47,345,759,6576,4785,1791,2092,42,5706,267,561,5807,5764,4468,549,175,135,265,164,685,506,602,538,17337,24,107,124,52,34,30,11099,16669,6576,0,0,0,0,0,0,412,1,30.81,18,12,Verizon -- UPN -- Charter Communications Inc -- Great Plains Broadband LLC -- Viaero Wireless -- Hamilton Telephone Company -- Big Red Communications -- Nextlink -- LTD Broadband -- Northeast Nebraska Telephone Company -- GigFire -- Allo Communications LLC -- Rise Broadband -- Zito Media -- TDS Telecom -- T-Mobile US -- Windstream Buffalo Valley Inc. -- Diller Telephone Company,0.9138,0,0,1,1
31161,5102,4101,69,466,63,0,313,45.8,53609,21,958,154,605,108,40,283,256,2101,1462,639,588,12,1700,153,236,1740,1728,1061,323,70,48,232,123,335,237,327,286,4981,29,11,55,26,0,39,3595,4758,2101,0,0,0,0,0,0,52,1,4.33,9,3,Telecom West Inc. -- Golden West Telecommunications -- Great Plains Broadband LLC -- Viaero Wireless -- Consolidated -- T-Mobile US -- Verizon -- Mobius Communications Company -- CenturyLink,0.53799999,0,0,1,1
31163,2970,2838,15,2,9,1,74,49.1,60194,46,725,58,284,98,18,119,199,1303,978,325,266,5,987,76,235,992,987,539,288,66,49,89,40,198,161,205,118,2930,0,1,27,12,16,1,2158,2810,1303,0,0,0,0,0,0,130,1,5.28,8,4,NCTC -- Charter Communications Inc -- Viaero Wireless -- Prairie Hills Wireless LLC -- TDS Telecom -- T-Mobile US -- Verizon -- CenturyLink,0.68120003,0,0,1,1
31165,1162,1086,4,0,1,0,55,41.3,50833,1,183,22,141,51,3,46,156,450,281,169,125,2,318,83,47,320,318,159,105,17,17,35,22,76,41,87,56,1122,0,2,18,20,35,0,783,1056,450,0,0,0,0,0,0,32,1,0.65,9,4,Vistabeam -- Charter Communications Inc -- Golden West Telecommunications -- Viaero Wireless -- T-Mobile US -- Mobius Communications Company -- Visionary Broadband -- WinDBreak Cable -- CenturyLink,0.47690001,0,0,1,1
31167,5828,5360,32,6,27,0,377,41.4,76035,90,1147,77,565,185,20,202,202,2237,1774,463,650,4,1835,220,178,1850,1845,1282,281,113,73,90,35,223,150,223,145,5677,0,10,80,61,41,4,3980,5507,2237,0,0,0,0,0,0,99,1,13.74,16,10,Pierce Telephone Co Inc -- Skywave Wireless Inc. -- Viaero Wireless -- Stealth Broadband -- Cable America -- TDS Telecom -- Nextlink -- LTD Broadband -- GigFire -- Verizon -- FRONTIER -- Rise Broadband -- T-Mobile US -- Northeast Nebraska Telephone Company -- Stanton Telecom Inc. -- CenturyLink,0.87720001,0,0,1,1
31169,5006,4744,11,17,1,0,148,45.9,60305,45,1027,143,554,175,27,212,256,2056,1592,464,513,5,1694,153,204,1714,1709,1182,298,115,90,121,73,355,216,206,168,4975,0,10,12,9,10,1,3514,4728,2056,0,0,0,0,0,0,97,1,8.81,14,8,UPN -- Superior iNET -- Great Plains Broadband LLC -- Viaero Wireless -- TDS Telecom -- Glenwood Telephone Membership Corporation -- LTD Broadband -- GigFire -- Verizon -- T-Mobile US -- Diller Telephone Company -- Nextlink -- Zito Media -- Windstream Buffalo Valley Inc.,0.74220002,0,0,1,1
31171,592,518,8,6,0,0,21,46.7,70069,0,99,10,95,16,11,13,26,306,207,99,34,10,268,7,21,278,268,192,25,18,18,14,4,19,16,54,44,581,0,0,11,0,21,0,496,572,306,0,0,0,0,0,0,4,1,0.79,4,3,Viaero Wireless -- Consolidated -- T-Mobile US -- Verizon,0.59740001,0,0,1,1
31173,6716,2442,12,3793,61,0,529,28.1,63459,39,1016,228,515,156,30,476,777,1993,1214,779,883,1,1495,299,198,1517,1516,1217,352,91,49,194,92,218,159,284,253,6563,0,23,66,64,69,25,3660,6083,1993,0,0,0,0,0,0,583,1,17.29,13,9,Skywave Wireless Inc. -- Great Plains Broadband LLC -- Viaero Wireless -- TDS Telecom -- Nextlink -- LTD Broadband -- GigFire -- Verizon -- Northeast Nebraska Telephone Company -- T-Mobile US -- Rise Broadband -- Fastwyre Broadband -- CenturyLink,0.8502,0,1,1,1
31175,4053,3976,7,29,11,0,84,46.3,62321,51,803,95,569,101,78,100,253,1750,1355,395,471,10,1338,186,216,1381,1371,1015,305,56,34,156,105,227,141,233,127,3996,0,4,41,12,8,25,2868,3832,1750,0,0,0,0,0,0,206,1,7.1,7,5,NCTC -- Charter Communications Inc -- Viaero Wireless -- TDS Telecom -- Verizon -- FRONTIER -- Rise Broadband,0.68519998,0,0,1,1
31177,20884,19916,90,54,65,39,616,41.6,89671,119,3492,260,3435,1073,187,572,1072,8234,6666,1568,2732,57,7397,403,377,7496,7422,6270,604,193,135,476,308,778,536,880,764,20292,58,95,251,188,77,35,14264,19728,8234,6477,6510,7157,7331,7780,7508,336,1,53.08,16,10,Verizon -- UPN -- Western Iowa Wireless -- Great Plains Broadband LLC -- Westel_Systems -- Stealth Broadband -- TDS Telecom -- Nextlink -- LTD Broadband -- GigFire -- Cox Communications -- T-Mobile US -- Rise Broadband -- Northeast Nebraska Telephone Company -- Fastwyre Broadband -- CenturyLink,0.94630003,0,0,1,1
31179,9701,8937,142,30,36,0,661,31.8,64951,4,1534,97,1151,421,61,543,838,3731,2564,1167,875,3,3189,168,371,3204,3201,2421,372,191,67,513,377,352,233,367,330,9118,20,94,141,328,159,0,5479,9237,3731,0,0,0,0,0,0,93,1,21.65,18,10,Verizon -- Skywave Wireless Inc. -- Pierce Telephone Co Inc -- UPN -- Great Plains Broadband LLC -- Viaero Wireless -- NetFortris -- Cable America -- TDS Telecom -- Nextlink -- LTD Broadband -- GigFire -- T-Mobile US -- Allo Communications LLC -- Northeast Nebraska Telephone Company -- Rise Broadband -- Fastwyre Broadband -- CenturyLink,0.90579998,0,0,1,1
31181,3410,3207,5,25,4,11,182,44.6,62571,35,709,84,345,135,20,108,154,1480,1210,270,433,18,1250,85,127,1284,1266,994,152,43,24,110,90,186,133,259,213,3382,2,9,13,4,7,1,2401,3227,1480,0,0,0,0,0,0,67,1,5.99,11,8,Great Plains Broadband LLC -- Viaero Wireless -- TDS Telecom -- Nextlink -- Glenwood Telephone Membership Corporation -- T-Mobile US -- Verizon -- LTD Broadband -- GigFire -- Vyve Broadband -- Windstream Buffalo Valley Inc.,0.8926,0,0,1,1
31183,771,761,0,0,1,0,4,57.8,59167,0,179,7,109,35,5,25,54,346,267,79,42,0,261,33,52,264,264,180,65,11,11,29,20,68,34,42,30,770,0,0,0,1,0,1,611,686,346,0,0,0,0,0,0,5,1,1.28,5,2,NCTC -- Great Plains Broadband LLC -- Viaero Wireless -- T-Mobile US -- Northeast Nebraska Telephone Company,0.6268,0,0,1,1
31185,14212,13111,160,77,93,0,749,39.5,72914,109,2327,422,1612,593,105,614,628,5592,4167,1425,1533,3,4981,191,417,5136,5133,4175,320,272,211,343,266,547,449,650,590,13794,3,123,134,158,88,57,9553,13282,5592,0,0,0,0,0,0,633,1,24.74,17,12,Verizon -- UPN -- Charter Communications Inc -- Mainstay Communications -- Viaero Wireless -- Hamilton Telephone Company -- Big Red Communications -- T-Mobile US -- Nextlink -- LTD Broadband -- GigFire -- Zito Media -- Rise Broadband -- Glenwood Telephone Membership Corporation -- TDS Telecom -- Allo Communications LLC -- Windstream Buffalo Valley Inc.,0.79509997,0,0,1,1
