County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
35039,40285,14240,255,6029,220,9,28711,41.7,52031,621,7660,1407,2941,1889,76,4619,4103,14076,11102,2974,3702,23,9179,1763,3111,9390,9367,5832,4277,1097,586,1869,808,2072,1056,1762,1106,37911,0,153,755,1466,2093,705,27682,38135,14076,6412,6341,7991,8583,11013,11574,2725,1,9.28,13,8,Cyber Mesa -- Kit Carson Internet -- UPN -- Jicarilla Apache Nation Power Authority -- NMSurf -- Taos Net LLC -- Stimulus Technologies of New Mexico LLC -- ALASKA COMMUNICATIONS -- Sacred Wind Communications Inc -- T-Mobile US -- Verizon -- Visionary Broadband -- Windstream Buffalo Valley Inc.,0.78960001,0,0,1,1
35041,19142,13580,374,200,134,32,8432,31.3,52644,91,3032,596,1453,714,51,1583,2114,6961,4183,2778,2023,1,5650,604,706,5734,5733,4258,1104,433,226,952,724,778,544,1160,887,17179,45,291,507,1120,771,30,11171,17937,6961,0,0,0,0,0,0,1488,1,9.73,6,4,Xfinity -- Yucca Telecom -- FIVEAREA Fiber -- Resound Networks -- Verizon -- ENMR Telephone Cooperative,0.88450003,0,0,1,1
35043,149460,90123,3391,18214,2369,357,60690,40.8,76424,612,21533,4372,20227,9759,1781,7611,7354,54911,44502,10409,17376,166,47745,3171,3829,48607,48433,37678,4995,2176,1492,3037,2046,4819,3321,6073,5123,139047,288,1920,4782,3423,5344,4324,103937,142022,54911,40178,42238,44985,45852,50915,51907,7332,0,44.05,11,5,Xfinity -- FastTrack Communications -- UPN -- NMSurf -- Cable America -- Allstream Business US LLC -- ALASKA COMMUNICATIONS -- T-Mobile US -- Verizon -- Windstream Buffalo Valley Inc. -- CenturyLink,0.8876,0,0,1,1
35045,121798,54808,909,48128,969,28,26373,36.8,50734,996,19879,3499,7345,3825,831,13906,15552,41049,28878,12171,14381,57,27273,9106,4613,27676,27619,21032,9851,3208,1529,4600,2070,6363,3332,6089,4085,117975,95,529,1256,1943,3668,10470,79736,114457,41049,26523,27352,31089,28372,22665,30544,13957,0,22.28,15,11,Xfinity -- Ting -- FastTrack Communications -- Charter Communications Inc -- Plains Internet  LLC -- Vero Broadband -- Smith Bagley Inc -- Fusion -- ALASKA COMMUNICATIONS -- T-Mobile US -- Sacred Wind Communications Inc -- Verizon -- Visionary Broadband -- FRONTIER -- CenturyLink,0.90570003,0,0,1,1
35047,27215,15331,372,763,191,0,21232,45.0,43490,419,3817,1105,2768,1557,136,2552,3540,11586,8297,3289,2883,48,8059,1431,2048,8297,8177,5110,2756,869,550,2106,1170,1991,1292,1862,1354,26174,17,131,390,503,1783,113,19765,26094,11586,5089,6933,7679,8083,7777,9620,2486,1,7.73,7,5,Xfinity -- DesertGate Internet -- NMSurf -- T-Mobile US -- CenturyLink -- Verizon -- ENMR Telephone Cooperative,0.71630001,0,0,1,1
35049,154481,104066,1592,4888,2119,125,78479,47.7,70522,929,20547,3907,24664,15429,4868,7572,11179,67866,48530,19336,15070,111,57430,4762,5563,58281,58170,45599,8032,3585,2429,4614,2735,8759,6995,7694,6388,133580,272,1952,7346,11331,11280,726,116573,148491,67866,46570,49109,51018,51167,62316,63831,7242,0,80.42,15,8,Xfinity -- ENMR Telephone Cooperative -- S-Net Communications -- Cyber Mesa -- UPN -- Pueblo of Nambe -- NMSurf -- Smith Bagley Inc -- Stimulus Technologies of New Mexico LLC -- La Canada Wireless Association -- ALASKA COMMUNICATIONS -- T-Mobile US -- Verizon -- Windstream Buffalo Valley Inc. -- CenturyLink,0.95590001,0,0,1,1
35051,11506,9020,30,354,31,0,3697,55.4,35256,105,2682,636,1075,599,78,1233,1601,5285,3870,1415,822,17,4031,452,785,4101,4084,2533,1110,457,375,980,507,1197,840,445,384,10908,44,72,182,300,252,39,9168,11019,5285,0,0,0,0,0,0,1319,1,4.73,6,4,TDS Telecom -- Sacred Wind Communications Inc -- T-Mobile US -- Verizon -- Windstream Buffalo Valley Inc. -- CenturyLink,0.84390002,0,0,1,1
35053,16453,10072,149,1988,326,0,8278,39.6,40699,218,4058,596,680,546,67,1484,3328,4953,3712,1241,1271,22,2667,772,1492,2714,2692,1825,1853,345,171,904,260,1026,351,528,247,15415,0,134,311,593,1006,492,10697,15642,4953,0,0,0,0,0,0,1583,1,7.11,8,5,ENMR Telephone Cooperative -- CentraCom -- TDS Telecom -- ALASKA COMMUNICATIONS -- T-Mobile US -- Verizon -- SDC Internet -- CenturyLink,0.38339999,0,0,1,1
35055,34475,22387,48,2063,236,3,19575,49.8,55145,77,5836,1138,5014,3220,561,1836,3251,13736,11060,2676,2510,119,11214,1066,1337,11431,11267,8600,1938,905,620,1846,1143,1991,1542,1571,1184,32164,20,496,527,1268,1954,120,26461,33234,13736,7387,6797,7899,9281,13686,12673,2117,1,15.58,7,5,Xfinity -- Kit Carson Internet -- Taos Net LLC -- ALASKA COMMUNICATIONS -- Verizon -- Windstream Buffalo Valley Inc. -- CenturyLink,0.61940002,0,0,1,1
35057,15203,10047,340,357,115,0,6800,43.0,50727,283,3157,707,958,482,45,1074,2145,5599,4658,941,1674,18,4138,845,598,4164,4146,2872,1191,325,154,559,257,1179,717,708,451,14295,20,32,352,504,478,0,10624,14470,5599,0,0,0,0,0,0,842,1,6.19,6,5,Xfinity -- ENMR Telephone Cooperative -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0.44940001,0,0,1,1
35059,4074,2851,50,136,0,0,1718,39.4,41714,3,1048,180,278,123,8,249,390,1463,952,511,424,3,1080,50,330,1165,1162,894,260,100,69,244,94,300,241,153,147,3928,0,46,14,86,191,22,2860,3811,1463,0,0,0,0,0,0,216,1,2.43,4,4,Panhandle Telephone -- T-Mobile US -- Baca Valley Telephone -- ENMR Telephone Cooperative,0.82340002,0,0,1,1
35061,76613,48321,1121,3121,589,30,46825,38.8,56246,540,12998,3082,5911,4126,537,6279,7013,26272,21715,4557,7614,18,20084,3297,2873,20277,20259,14743,4861,1606,1107,2862,1760,3791,2573,3372,2505,70132,57,715,2112,3597,4494,517,52270,72528,26272,16910,19097,21123,17229,22981,24636,6409,1,71.24,6,4,Xfinity -- ENMR Telephone Cooperative -- UPN -- T-Mobile US -- Verizon -- CenturyLink,0.82999998,0,0,1,1
