County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
39049,1318149,819022,302564,2647,71316,373,79457,34.6,71070,4121,185827,26491,226726,99691,25952,85941,101547,542366,289959,252407,160942,473,495119,24385,22389,499768,499272,442351,33246,25087,19234,39105,30074,58307,48916,66400,59089,1143862,3118,12371,78621,80177,21745,48001,884031,1229678,542366,432990,447267,454906,468745,508672,515821,127962,0,2467.23,24,9,Pavlov Media -- PCs For People -- ICS Advanced Technologies -- T-Mobile US -- Verizon -- BCI_Mississippi_Broadband_LLC -- AT&T Inc -- TPx Communications -- Consolidated Fiber Inc. -- Allstream Business US LLC -- Cogent Communication -- Xiber LLC -- US Signal Company -- Breezeline -- NetFortris -- Charter Communications Inc -- Bresco Broadband a 614 Gig Company -- altafiber Extended Territories -- Point Broadband Fiber Holding LLC -- MCC_Georgia_LLC -- Fusion -- Everstream,0.98470002,0,0,1,1
39051,42602,38861,213,167,214,7,3880,41.4,71453,142,11766,811,3401,1565,231,1470,2107,16869,13781,3088,5044,88,14698,855,1228,14899,14811,11650,1506,454,329,1133,667,1792,1395,1933,1602,41612,130,210,376,274,516,167,29212,40186,16869,12693,13776,13904,14038,15361,15366,2441,0,105.34,16,5,BCI_Mississippi_Broadband_LLC -- altafiber Extended Territories -- Rural Reach -- Charter Communications Inc -- Midwest Energy & Communications -- M2X Communications -- D & P Communictions -- MetaLINK Technologies Inc. -- bright.net north -- T-Mobile US -- Omni Fiber -- Verizon -- Windstream Buffalo Valley Inc. -- RTEC Communications -- Brightspeed,0.9461,0,0,1,1
39053,29276,27210,539,21,246,0,429,40.2,55533,451,7020,1109,2062,1209,197,1799,3117,11303,8578,2725,3181,20,8341,1181,1761,8579,8559,4728,2300,699,433,1154,570,1690,1113,1563,1096,28897,0,103,202,74,14,125,19986,27431,11303,7308,8477,8277,8002,9127,8517,2040,1,62.95,10,7,altafiber Extended Territories -- AT&T Inc -- Charter Communications Inc -- ArmstrongUtilitiesInc -- Optimum -- Verizon -- T-Mobile US -- JB-Nets  LLC,0.3193,0,0,1,1
39055,95455,90028,917,59,486,4,1640,44.6,97162,3383,15722,1207,16495,6750,1723,2230,3288,35321,30754,4567,10369,83,30263,1655,3320,30512,30424,26152,4202,984,752,1483,883,2526,1955,2759,1958,92330,121,446,1950,608,357,3002,66126,90481,35321,28234,29529,29326,27950,31554,31559,3009,0,238.34,13,6,altafiber Extended Territories -- Verizon -- AT&T Inc -- Fort Randall Telephone Company -- Charter Communications Inc -- Fusion -- T-Mobile US -- Optimum -- Zito Media -- Windstream Buffalo Valley Inc. -- Everstream,0.93099999,0,0,1,1
39057,167567,140082,10757,160,4912,131,5260,38.6,81243,812,21794,3875,24036,17121,2894,8467,8462,66856,44819,22037,19006,65,60736,2686,3369,61218,61142,52961,4268,2952,2168,3956,2753,6824,5740,6732,5842,157248,309,2343,4738,2929,602,1626,113708,158510,66856,54498,56534,58193,60429,61495,60600,13949,0,403.92,15,7,AT&T Inc -- altafiber Extended Territories -- Metronet Holdings -- Point Broadband Fiber Holding LLC -- Charter Communications Inc -- MCC_Georgia_LLC -- T-Mobile US -- TPx Communications -- BRIDGEWIRED LLC -- Everstream -- FRONTIER -- Cambium -- Verizon,0.9314,0,0,1,1
39059,38409,36110,714,21,154,0,471,42.6,53901,582,10200,1248,2603,1137,201,3414,3034,16165,11737,4428,4412,79,13078,1145,1863,13411,13298,9429,2389,1051,776,1492,1110,2649,1848,2382,1859,37875,45,116,289,84,35,227,26855,36168,16165,11454,11622,11868,12319,13576,13789,4300,1,73.8,10,4,altafiber Extended Territories -- Charter Communications Inc -- Smart Way Communications| LLC -- MCC_Georgia_LLC -- Optimum -- Verizon -- FRONTIER -- T-Mobile US -- Windstream Buffalo Valley Inc.,0.80669999,0,0,1,1
39061,827671,541412,210353,887,23056,536,31018,36.8,68249,2978,123687,20008,135727,62633,16506,60597,59860,348491,206192,142299,96624,675,308835,15984,22997,312650,311933,274108,28315,23316,17443,28676,20347,42492,34136,39681,34571,770688,2040,5963,22846,26134,8147,13168,560476,775554,348491,272215,287304,296562,304221,318440,320358,90154,0,2039.36,14,4,Xfinity -- BCI_Mississippi_Broadband_LLC -- altafiber Extended Territories -- Xiber LLC -- Charter Communications Inc -- MCC_Georgia_LLC -- Allstream Business US LLC -- Fusion -- Mobilcomm  Inc dba Heavenwire.net -- Optimum -- Verizon -- Cogent Communication -- T-Mobile US,0.98360002,0,0,1,1
39063,75072,68037,1322,59,1458,13,4514,39.4,67006,238,16665,1932,9236,4384,513,3362,4346,31343,21580,9763,8941,55,27745,1840,1703,27979,27924,23415,2715,980,744,2284,1651,4213,3216,4260,3673,72243,122,468,829,1410,497,678,51383,70520,31343,26062,27621,27628,27894,28515,29859,6409,0,141.42,20,8,T-Mobile US -- Verizon -- BCI_Mississippi_Broadband_LLC -- Stanfield Technologies LLC -- AT&T Inc -- Amplex Wireless -- TDS Telecom -- Charter Communications Inc -- Metronet Holdings -- Brightspeed -- Benton Ridge Telephone Company -- MetaLINK Technologies Inc. -- Speedwavz -- FRONTIER -- altafiber Extended Territories -- Fort Randall Telephone Company -- HDER LINK -- Bascom Communications,0.98430002,0,0,1,1
39065,30622,28818,363,20,260,11,654,35.6,55876,413,7727,1064,2148,992,160,2074,3060,11640,8660,2980,3425,14,9728,775,1123,9795,9781,7150,1556,942,690,693,558,1559,1151,1888,1415,29999,30,56,80,457,135,296,18602,28843,11640,8171,8772,9706,9932,9447,10118,2976,1,65.36,15,4,Stanfield Technologies LLC -- altafiber Extended Territories -- Fort Randall Telephone Company -- Charter Communications Inc -- Benton Ridge Telephone Company -- MetaLINK Technologies Inc. -- T-Mobile US -- HDER LINK -- Verizon -- NKTELCO -- Byhalia.net LLC -- Windstream Buffalo Valley Inc. -- Brightspeed -- Speedwavz,0.89709997,0,0,1,1
39067,14528,13748,418,43,0,0,189,46.1,54056,274,4795,322,792,287,53,753,1441,5799,4509,1290,1470,68,4532,258,941,4673,4605,2749,1078,318,232,624,364,954,738,862,668,14419,4,13,44,48,0,50,10528,13796,5799,0,0,0,0,0,0,1114,1,36.35,11,6,Xfinity -- altafiber Extended Territories -- MCTV -- Blue Devil Cable -- Charter Communications Inc -- T-Mobile US -- Verizon -- Smart Way Communications| LLC -- FRONTIER -- Windstream Buffalo Valley Inc.,0.70190001,0,0,1,1
39069,27601,25032,151,123,50,46,2196,41.8,71616,127,7549,631,2369,844,177,1086,1495,11179,8843,2336,3259,10,9733,551,885,9862,9841,7448,1081,299,198,811,577,1257,924,1405,1158,27068,59,48,279,147,311,61,19085,26004,11179,9397,9126,9917,9411,10308,9557,1739,1,66.39,16,4,BCI_Mississippi_Broadband_LLC -- altafiber Extended Territories -- Ayersville Telephone Company -- bright.net north -- Charter Communications Inc -- M2X Communications -- Amplex Wireless -- Independents Fiber Network -- Benton Ridge Telephone Company -- MetaLINK Technologies Inc. -- T-Mobile US -- Verizon -- Windstream Buffalo Valley Inc. -- RTEC Communications -- Brightspeed,0.9684,0,0,1,1
39071,43285,41206,740,55,47,0,589,40.8,60522,694,10662,1686,2916,1376,126,2121,4221,16688,12150,4538,5138,9,12842,1731,2106,13213,13204,8690,3080,794,473,1746,751,2178,1714,2198,1626,42822,36,134,147,146,81,537,29583,40599,16688,12634,12608,12117,13307,13888,13843,4673,1,78.04,11,9,altafiber Extended Territories -- AT&T Inc -- Point Broadband Fiber Holding LLC -- Charter Communications Inc -- Southern Ohio Communications Inc -- T-Mobile US -- Verizon -- TDS Telecom -- FRONTIER,0.64569998,0,0,1,1
39073,28104,26672,173,3,72,0,311,42.6,59007,454,7566,836,2113,602,113,2252,2346,11279,8899,2380,3565,40,9379,805,1055,9576,9527,7076,1365,592,404,920,585,1771,1274,1438,1250,27791,0,121,164,28,210,37,19886,26578,11279,7844,7836,8012,9681,10212,9171,2860,1,66.88,9,5,Horizon -- altafiber Extended Territories -- Point Broadband Fiber Holding LLC -- Charter Communications Inc -- Nelsonville TV Cable -- Verizon -- FRONTIER -- T-Mobile US,0.5948,0,0,1,1
39075,44273,43447,83,58,30,0,455,32.2,72987,8711,6874,1636,1941,764,141,1429,2459,13314,10389,2925,5334,18,8120,1017,4159,8224,8206,5296,4826,507,178,762,347,1383,615,1296,803,44001,25,131,89,27,26,7091,26321,40681,13314,6731,6137,7231,7534,8731,8039,1260,1,104.51,13,6,Xfinity -- altafiber Extended Territories -- MCTV -- Charter Communications Inc -- Smart Way Communications| LLC -- MechcomDotNet -- Everstream -- Benton Ridge Telephone Company -- T-Mobile US -- FRONTIER -- Brightspeed -- Verizon,0.68169999,0,0,1,1
39077,58518,54431,415,83,142,7,4069,40.1,64144,504,16015,2160,4155,1333,413,2580,3771,23096,16952,6144,7195,126,19469,1411,2090,19885,19759,14768,2677,1131,893,1656,1135,3006,2177,2980,2485,57208,99,349,279,583,600,423,39929,55061,23096,18425,18606,17103,19939,19198,20607,5529,1,119.01,17,5,BCI_Mississippi_Broadband_LLC -- altafiber Extended Territories -- Verizon -- Charter Communications Inc -- North Coast Wireless Communications -- Ncool.net -- ArmstrongUtilitiesInc -- MechcomDotNet -- Benton Ridge Telephone Company -- MCC_Georgia_LLC -- Fusion -- Everstream -- T-Mobile US -- Omni Fiber -- FRONTIER -- Amplex Wireless,0.95270002,0,0,1,1
39079,32563,31321,239,139,177,0,367,40.1,56549,656,9152,1103,2415,952,109,1866,3689,12453,9261,3192,3787,4,9971,1027,1451,10128,10120,7175,2108,822,559,1331,1002,1720,1163,1615,1098,32069,0,209,113,172,4,189,22338,30476,12453,8984,9624,10014,9768,9866,11220,4384,1,77.4,12,6,Horizon -- altafiber Extended Territories -- Willard Communications LLC -- Charter Communications Inc -- Southern Ohio Communications Inc -- T-Mobile US -- Verizon -- MCC_Georgia_LLC -- FRONTIER -- JB-Nets  LLC -- Minford Telephone Company,0.71139997,0,0,1,1
