County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
42021,133263,122895,4877,54,664,21,2464,45.6,54221,639,38771,3794,14836,4968,1158,7996,10244,55541,42088,13453,12874,189,44638,3228,7486,45332,45143,36645,9114,3236,2046,6039,3493,8581,5411,7824,6248,131378,274,239,889,483,528,355,95844,126934,55541,41531,43445,43357,45633,47057,46474,9300,1,194.98,8,5,Xfinity -- Crowsnest Broadband LLC -- In The Stix Broadband| LLC -- Breezeline -- T-Mobile US -- Verizon -- Telesystem -- Windstream Buffalo Valley Inc.,0.93959999,0,0,1,1
42023,4536,4311,2,12,4,0,91,51.8,46186,27,1604,200,302,68,8,201,473,2210,1577,633,484,12,1719,222,257,1734,1722,1520,417,104,55,304,140,441,317,373,295,4449,40,14,23,10,42,4,3476,4337,2210,0,0,0,0,0,0,353,1,11.6,4,3,T-Mobile US -- Windstream Buffalo Valley Inc. -- Zito Media -- Verizon,0.77340001,0,0,1,1
42025,65018,59656,1582,95,288,0,3889,46.3,64538,814,19099,2073,5999,2108,257,3758,3793,26662,20015,6647,6802,91,22764,1247,2560,23205,23114,19592,2920,1075,802,2323,1600,3510,2524,3552,2937,62150,302,257,1624,685,444,607,48059,62043,26662,20844,20760,20603,22387,24037,24563,3375,0,169.91,7,6,PenTeleData -- Breezeline -- Service Electric Cable TV -- T-Mobile US -- Verizon -- FRONTIER -- Windstream Buffalo Valley Inc.,0.97920001,0,0,1,1
42027,158665,136130,5157,220,9861,58,4948,33.3,70087,1483,24787,3131,21837,13999,2131,15747,7970,58285,36460,21825,12559,135,49052,5013,4085,49472,49335,42623,4844,4256,2974,4169,2601,6854,4946,6653,5261,143626,313,1507,4100,9119,497,4538,97184,152916,58285,48849,48203,49169,48662,49488,52663,3068,0,143.3,12,8,Xfinity -- Pavlov Media -- Crowsnest Broadband LLC -- Nittany Media Inc -- Breezeline -- Black Bear Fiber -- T-Mobile US -- Upward Broadband LLC -- Verizon -- Zito Media -- Windstream Buffalo Valley Inc. -- Brightspeed,0.92919999,0,0,1,1
42029,536474,431632,29302,354,33658,98,40883,40.7,118574,2455,63466,7613,120444,62297,12363,16049,15121,200622,149753,50869,64744,258,185421,6856,8087,187045,186787,170097,10599,4631,3656,6613,4673,12992,10654,13769,11512,476540,3338,4758,24732,27106,9377,9940,367451,507790,200622,161842,167035,172836,176697,189671,193190,9842,0,708.42,17,8,Xfinity -- PenTeleData -- NetCarrier Telecom Inc. -- Telesystem -- Hotwire Communications -- Service Electric Cable TV -- TPx Communications -- ArmstrongUtilitiesInc -- Allstream Business US LLC -- Fusion -- T-Mobile US -- Xtel Communications -- Upward Broadband LLC -- Verizon -- FRONTIER -- Windstream Buffalo Valley Inc. -- Netrix,0.9896,0,0,1,1
42031,37489,35716,607,7,185,0,421,41.5,58690,480,10628,1205,3634,1542,336,2284,2658,14808,10584,4224,4045,99,11869,990,1850,12193,12094,10118,2039,678,449,1517,900,2295,1650,1802,1397,36997,12,157,142,181,51,217,25480,35612,14808,11959,11431,12315,13027,11297,13048,1900,1,62.53,10,5,Xfinity -- Breezeline -- VenusTelephone -- Salsgiver Inc -- ArmstrongUtilitiesInc -- T-Mobile US -- Verizon -- FirstLight Fiber -- Windstream Buffalo Valley Inc. -- Brightspeed,0.7744,0,0,1,1
42033,79707,74333,1851,78,429,20,2314,45.2,56982,738,24777,3146,7564,2892,646,3738,6536,31741,24695,7046,8135,189,25004,2376,4172,25576,25387,19893,5346,1476,712,3306,1825,4845,3318,4116,3062,77867,152,119,356,1213,495,547,59485,76074,31741,20575,20852,24729,24051,25576,26891,4548,1,70.43,7,5,Xfinity -- In The Stix Broadband| LLC -- Breezeline -- T-Mobile US -- Zito Media -- Verizon -- Windstream Buffalo Valley Inc.,0.80589998,0,0,1,1
42035,37860,35945,493,57,270,7,654,39.8,59011,589,10520,999,3283,1361,164,1717,3054,14877,10622,4255,4106,78,11972,1006,1821,12219,12141,10014,2259,750,490,1472,866,2170,1571,1847,1489,37082,56,152,344,226,69,423,25001,35812,14877,11053,10317,11717,11743,11668,13367,1891,1,42.6,7,4,Xfinity -- River Valley Internet -- TDS Telecom -- T-Mobile US -- Verizon -- PTC -- Brightspeed,0.84299999,0,0,1,1
42037,64924,60451,1204,92,674,125,2219,41.3,59457,452,17852,1440,6764,3230,475,4555,4758,25878,18313,7565,6504,129,21640,1508,2601,22012,21880,17023,3294,1552,1103,2543,1588,3343,2302,3641,3021,63144,53,203,1158,366,261,283,43527,62111,25878,20395,21509,20825,20989,21682,22843,2600,1,134.54,10,8,PenTeleData -- Xfinity -- Breezeline -- Service Electric Cable TV -- SkyPacket -- T-Mobile US -- Verizon -- FRONTIER -- Susquehanna Broadband -- FirstLight Fiber,0.81029999,0,0,1,1
42039,83876,78993,1281,39,499,20,1250,43.6,58734,1381,25209,2743,7559,3404,706,3674,6530,33191,24485,8706,8711,153,27237,1947,3854,27735,27582,21539,4940,1230,794,3243,2127,5243,3829,4406,3602,82325,158,325,755,313,97,1629,58926,79413,33191,25663,26557,28073,28527,27397,29443,4975,1,83.46,6,4,Charter Communications Inc -- ArmstrongUtilitiesInc -- T-Mobile US -- Verizon -- FirstLight Fiber -- Windstream Buffalo Valley Inc.,0.81730002,0,0,1,1
42041,261269,221159,11297,188,12995,27,12076,40.3,82849,2174,50153,6766,43025,20208,4316,9397,9802,104053,73044,31009,28888,266,92586,3825,7376,93689,93397,82433,8181,3067,2240,5516,3655,9310,6909,10974,9261,239920,1062,2820,9953,7514,1735,5054,181984,247525,104053,80581,84136,87872,88628,95892,97721,8499,1,471.76,9,4,Xfinity -- Telesystem -- Allstream Business US LLC -- Fusion -- T-Mobile US -- Zito Media -- Verizon -- Shentel -- Brightspeed,0.9763,0,0,1,1
42043,286108,190327,52798,769,16319,335,29871,39.4,71046,1578,57064,6986,42075,16598,5034,18329,15927,117907,74682,43225,32887,189,101844,6390,9484,103402,103203,88648,11648,7255,5845,6832,4351,12171,9088,13461,10622,252963,6008,2299,13200,11638,7457,9287,198441,268900,117907,91686,89488,92363,95999,105887,110626,20724,0,541.47,17,7,Xfinity -- PenTeleData -- Patriot Cable System LLC -- Telesystem -- Charter Communications Inc -- TPx Communications -- Shentel -- DQE Communications LLC -- Allstream Business US LLC -- Fusion -- TDS Telecom -- T-Mobile US -- Xtel Communications -- Verizon -- FRONTIER -- FirstLight Fiber -- Brightspeed,0.98470002,0,0,1,1
42045,575312,378134,126608,725,34810,231,24939,39.0,86390,2002,97407,10865,91675,47495,11957,24339,29218,215833,148649,67184,67444,212,195024,9231,11366,196508,196290,171842,15457,9388,7021,11966,8953,21319,16720,21487,18159,506875,1855,4667,37716,24199,4810,21338,391672,542348,215833,173147,179016,181703,185820,202533,200046,29666,0,3122.13,7,3,Xfinity -- NetCarrier Telecom Inc. -- Hotwire Communications -- T-Mobile US -- Verizon -- Telesystem -- FirstLight Fiber,0.99830002,0,0,1,1
42047,30886,29653,220,8,128,9,259,48.2,61672,204,10287,1128,2889,1111,99,1212,1521,13485,10666,2819,2659,84,11080,745,1576,11360,11268,9470,1776,495,359,1132,638,1939,1341,1992,1577,30530,27,48,199,82,9,81,22721,29456,13485,10570,10374,11119,11515,10931,12369,1581,1,37.53,6,5,Xfinity -- SkyPacket -- T-Mobile US -- Zito Media -- Verizon -- Windstream Buffalo Valley Inc.,0.87769997,0,0,1,1
