County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
54023,11034,10574,159,0,29,26,48,46.2,52877,184,3726,582,681,342,6,678,602,4160,3341,819,995,26,3267,172,695,3385,3359,2440,759,274,175,389,234,739,489,592,480,10914,8,22,56,34,121,44,8164,10436,4160,0,0,0,0,0,0,527,1,23.17,7,5,Xfinity -- Micrologic -- Neubeam -- Hardy Telecommunications INC CLEC -- Shentel -- TDS Telecom -- FRONTIER,0.39309999,0,0,1,1
54025,32995,30687,691,65,261,0,675,46.6,45519,349,8146,1825,2975,1317,412,2884,3550,14724,11027,3697,3222,76,11678,777,2193,11930,11825,8901,2498,972,664,1977,1192,2523,1740,2531,2089,32278,42,151,292,232,103,108,24403,31243,14724,9937,12027,12586,11602,12429,13031,1824,1,32.66,8,4,Crystal Broadband Networks -- Shentel -- Countrymen Communications -- Optimum -- TDS Telecom -- T-Mobile US -- Verizon -- FRONTIER,0.653,0,0,1,1
54027,23275,22240,119,19,20,0,371,47.7,55222,299,7020,1117,1681,652,138,1067,2874,8066,6558,1508,1621,86,6212,556,1212,6357,6271,4633,1618,376,251,1065,514,1300,658,1043,872,22987,3,86,142,57,11,15,17297,22131,8066,7918,6339,7285,6003,5251,7037,1063,1,36.25,7,7,Hardy Telecommunications INC CLEC -- Breezeline -- SkyPacket -- TDS Telecom -- T-Mobile US -- Verizon -- FRONTIER,0.35980001,0,0,1,1
54029,28907,27022,612,0,113,107,468,47.1,57515,184,7341,1167,2859,870,304,1600,2214,12985,9545,3440,2894,60,11065,665,1195,11365,11305,9319,1359,475,394,1446,1055,2109,1650,1765,1486,28619,12,68,123,85,12,90,21485,27659,12985,9083,8645,10336,11263,11639,11212,1476,1,353.75,4,4,Xfinity -- FRONTIER -- T-Mobile US -- Verizon,0.90380001,0,0,1,1
54031,14249,12983,631,0,0,2,670,45.2,49205,152,4015,938,782,663,66,1303,1143,5740,4445,1295,1393,5,4748,297,690,4862,4857,3950,840,315,197,473,259,922,791,1202,987,13763,379,2,6,99,64,0,10431,13443,5740,0,0,0,0,0,0,639,1,24.5,4,4,FRONTIER -- TDS Telecom -- T-Mobile US -- Hardy Telecommunications INC CLEC,0.84320003,0,0,1,1
54033,65862,61644,862,69,468,18,1188,42.4,56184,477,15301,2933,6934,3480,794,3564,5266,25888,19074,6814,6716,39,20936,2170,2743,21268,21229,17201,4032,1423,937,2587,1499,3958,2602,3539,2934,64997,7,203,491,164,35,170,46803,62392,25888,22223,22767,20687,20375,22791,22532,6251,1,159.18,11,7,Micrologic -- West Side Telecommunications -- Charter Communications Inc -- Shentel -- Segra -- Optimum -- TDS Telecom -- T-Mobile US -- Citynet LLC -- Verizon -- FRONTIER,0.79479998,0,0,1,1
54035,27868,26933,42,55,106,0,312,43.3,55173,577,6476,1497,2400,889,100,1263,4152,11148,8549,2599,2789,53,8493,691,1911,8621,8568,6288,2418,701,369,1255,664,1766,1386,1610,850,27448,0,90,229,101,2,68,19840,26383,11148,7999,8056,8901,9402,8480,7849,1720,1,60.32,7,4,ArmstrongUtilitiesInc -- Optimum -- T-Mobile US -- Verizon -- FRONTIER -- Windstream Buffalo Valley Inc. -- COMMUNITY ANTENNA SERVICE INC.,0.60409999,0,0,1,1
54037,58043,48626,3182,75,782,6,3747,41.0,93744,257,9802,2152,8119,3608,769,2542,2611,21472,17092,4380,6812,39,19285,1030,1118,19584,19545,16983,1643,877,714,1229,762,1854,1375,1670,1501,54411,247,820,1435,1130,592,369,40367,55056,21472,17922,16721,18624,18458,19359,20633,1663,1,274.93,8,5,Xfinity -- One Ring Networks -- TDS Telecom -- T-Mobile US -- Morgan Wireless  LLC -- Verizon -- FRONTIER -- Shentel,0.92790002,0,0,1,1
54039,179895,157101,12020,169,2138,180,2101,43.6,55226,1607,39090,7953,21682,9518,3864,13575,15483,77252,53855,23397,19277,189,64177,5574,7312,65718,65508,54828,9235,5018,3458,8705,5562,11323,8143,10331,8654,175682,159,650,2079,1325,210,796,130252,170875,77252,58176,60458,61482,62912,69796,67522,14615,0,201.8,9,4,Xfinity -- Segra -- NetFortris -- Optimum -- T-Mobile US -- SecureNet -- Verizon -- FRONTIER -- Alpha Technologies Inc.,0.90369999,0,0,1,1
54041,16920,15733,22,35,97,0,229,43.5,50552,274,4640,999,1338,521,135,1443,1369,6839,4975,1864,1867,19,5181,451,1188,5311,5292,4339,1402,483,200,896,433,1148,803,868,728,16805,0,59,56,0,42,0,12133,16016,6839,0,0,0,0,0,0,1149,1,43.85,6,4,Micrologic -- Shentel -- Optimum -- T-Mobile US -- Verizon -- FRONTIER,0.62419999,0,0,1,1
54043,20410,19934,21,20,72,32,253,43.7,50985,493,5617,1212,765,302,51,1986,1890,7776,6060,1716,2295,55,6195,487,1039,6420,6365,4969,1202,534,439,1360,823,1115,886,773,703,20187,0,145,11,67,0,34,14448,19312,7776,6370,5451,6382,5761,5871,6174,1929,1,47.19,5,4,ArmstrongUtilitiesInc -- Optimum -- T-Mobile US -- Verizon -- FRONTIER,0.6584,0,0,1,1
54045,32350,30913,569,2,109,0,344,44.1,42194,443,9120,1095,1638,1027,381,3293,4188,12375,9370,3005,3666,15,10428,620,1312,10911,10896,10213,1358,1106,851,1779,1213,2277,1975,1946,1795,32081,16,80,171,2,5,11,23284,30719,12375,10442,11355,12061,10987,9745,11922,3581,1,72.26,7,4,TPx Communications -- ArmstrongUtilitiesInc -- Shentel -- Optimum -- T-Mobile US -- Verizon -- FRONTIER,0.75779998,0,0,1,1
54047,18911,15509,2685,31,29,0,386,45.3,28235,342,5848,1486,666,187,64,3092,2561,6547,5046,1501,1420,12,4729,661,1145,5189,5177,4339,1150,923,683,1428,968,1473,1097,758,627,18612,19,0,71,209,177,19,13790,18013,6547,4206,0,0,0,0,0,1760,1,36.24,8,5,Otelco Telephone LLC -- A&ACommunicationsLLC -- Point Broadband Fiber Holding LLC -- Charter Communications Inc -- GigaBeam Networks LLC -- T-Mobile US -- FRONTIER -- Shentel,0.85949999,0,0,1,1
54049,56194,51915,1620,53,217,1,787,40.3,59974,390,13128,2270,6088,2933,319,3457,4715,23083,17374,5709,6297,22,19795,1232,2034,20134,20112,16738,2418,1142,893,2006,1360,3350,2471,2903,2443,55473,57,226,290,148,67,52,38618,53220,23083,17661,18464,19522,18983,21195,20059,5291,1,182.2,9,8,Xfinity -- Micrologic -- Charter Communications Inc -- Optimum -- TDS Telecom -- T-Mobile US -- Citynet LLC -- Verizon -- FRONTIER,0.83710003,0,0,1,1
