County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
47021,41184,37902,789,102,219,15,1580,40.9,77014,436,9174,2088,4408,1645,306,2112,1690,15708,12749,2959,5129,0,13400,1184,1124,13577,13577,10820,2007,453,307,1196,1012,1189,817,1960,1617,39383,15,261,619,906,703,105,29340,38909,15708,12510,11510,12752,12918,13645,15228,1619,1,135.13,7,6,Xfinity -- Charter Communications Inc -- Fusion -- T-Mobile US -- Cumblerand Connect LLC -- Verizon -- AT&T Inc,0.91409999,0,0,1,1
47023,17392,14988,1795,0,30,0,511,38.0,57471,285,4019,634,1130,541,56,1089,1446,6106,4680,1426,2071,8,4979,364,755,5099,5091,2830,968,370,268,637,359,1104,856,611,464,17137,0,51,141,63,107,12,11286,16477,6106,0,0,0,0,0,0,1305,1,60.47,7,5,Charter Communications Inc -- Rural Connect -- Aeneas Communications LLC -- T-Mobile US -- Verizon -- AT&T Inc -- Brightspeed,0.91829997,0,0,1,1
47025,32092,30497,272,19,317,0,482,42.0,42406,967,7288,1544,2502,1257,490,2500,3121,13479,9656,3823,4128,22,9464,2135,1858,9594,9572,6928,2518,1051,591,1846,768,2554,1561,2073,1629,31543,8,102,182,257,12,103,23056,30356,13479,7182,9689,8107,8224,11333,11627,2257,1,73.53,8,6,Vyve Broadband -- Point Broadband Fiber Holding LLC -- Charter Communications Inc -- MountaiNet Telephone Company -- TDS Telecom -- Verizon -- AT&T Inc -- Brightspeed,0.94880003,0,0,1,1
47027,7592,7154,53,29,43,0,211,47.4,39572,207,2253,417,434,176,56,510,1158,3035,2386,649,832,4,2134,467,430,2222,2218,1789,717,311,105,475,230,583,418,407,307,7357,0,12,89,134,190,4,5510,7279,3035,0,0,0,0,0,0,605,1,32.0,5,3,North Central Telephone Cooperative -- MCC_Georgia_LLC -- TDS Telecom -- Verizon -- Twin Lakes,0.99919999,0,0,1,1
47029,36186,34045,433,227,172,42,1029,45.5,45110,846,10794,1907,2026,804,169,3220,3938,14547,10304,4243,4184,26,10619,1627,2275,10872,10846,6064,3274,874,499,2384,1206,2358,1606,2402,1871,35453,114,173,262,184,258,75,26270,34233,14547,7274,9517,9534,10317,10337,11447,4229,1,82.3,12,7,Xfinity -- French Broad Electric Membership Corporation -- Charter Communications Inc -- Ultranet LLC -- Holston Connect LLC -- WireTower.Net| Planet Connect| SevierNet -- NUconnect -- TDS Telecom -- T-Mobile US -- Verizon -- AT&T Inc -- Trilight,0.9059,0,0,1,1
47031,58080,51466,2249,14,747,125,3030,39.3,57424,556,12237,2643,5443,2821,458,3557,6143,22689,15660,7029,6855,20,17253,3247,2169,17419,17399,13610,3849,1127,655,2198,1326,3407,2070,3390,2537,55165,240,725,554,1396,676,457,39473,54431,22689,15777,16053,15239,15925,18430,21655,4974,0,133.41,9,7,Xfinity -- Ben Lomand Rural Telephone Coop. Inc -- Charter Communications Inc -- LightTube -- DeKalb Telephone Cooperative Inc. -- Fusion -- T-Mobile US -- Verizon -- AT&T Inc,0.93290001,0,0,1,1
47033,13955,10419,1544,88,65,8,1610,40.2,59136,183,3271,656,993,404,43,977,1170,5409,3723,1686,1898,20,4531,255,603,4648,4628,3092,642,175,94,659,533,863,642,651,560,13201,6,18,232,498,464,26,9480,13136,5409,0,0,0,0,0,0,993,1,52.77,11,5,Forked Deer Connect LLC -- Charter Communications Inc -- TEC Bay Springs Division -- SI Wireless -- Benton Ridge Telephone Company -- Rural Connect -- Cable America -- AT&T Inc -- T-Mobile US -- Verizon -- Gibson Connect,1.0,0,0,1,1
47035,61552,58492,574,101,165,516,1982,52.6,56002,851,15017,4311,5206,2442,507,3373,4324,26931,21283,5648,5898,114,22500,2070,2247,22788,22674,17936,3331,1570,1110,2529,1692,3412,2629,4243,3492,59581,63,365,653,890,373,339,47524,58849,26931,19340,20532,21163,22507,23903,21229,5076,1,88.9,12,9,Xfinity -- Spring City Cable TV -- Ben Lomand Rural Telephone Coop. Inc -- Charter Communications Inc -- Highland Telephone Cooperative -- TDS Telecom -- T-Mobile US -- Verizon -- FRONTIER -- Twin Lakes -- AT&T Inc -- BTC Fiber,0.78009999,0,0,1,1
47037,709786,423888,186862,965,25506,358,75237,34.7,71863,3398,85519,17157,140915,56603,17238,48922,49774,302663,163993,138670,76658,329,273013,15976,13345,275785,275456,238400,21547,16412,12112,18156,12691,31727,26644,36678,32790,605094,1354,8193,37041,58104,34569,25995,495381,664188,302663,236006,242820,253171,257385,289550,298668,29798,0,1406.58,15,8,Xfinity -- Charter Communications Inc -- TPx Communications -- United Communications Inc -- Google Fiber -- MCC_Georgia_LLC -- Allstream Business US LLC -- Fusion -- TDS Telecom -- T-Mobile US -- Cumblerand Connect LLC -- Verizon -- Iris Networks -- AT&T Inc -- Cogent Communication,0.9971,0,0,1,1
47039,11483,10560,270,8,12,0,408,45.8,48466,177,3132,687,1048,160,25,876,1292,4363,3413,950,1142,16,3308,334,705,3366,3350,2162,897,235,99,598,253,758,506,658,581,11376,39,43,6,19,30,12,8322,10929,4363,0,0,0,0,0,0,1002,1,34.32,2,2,Charter Communications Inc -- TDS Telecom,0.73589998,0,0,1,1
