cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
1901,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,10
1901,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,11
1901,0,0,0,0,0,0,0,0,0,0,258,0,0,258,0,0,0,13
1901,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,-2080,6
1901,0,0,0,0,0,0,0,0,0,0,324,0,0,324,324,0,0,18
1901,0,0,0,0,0,0,0,0,0,0,336,0,0,336,336,0,0,7
1901,0,0,0,0,0,0,0,0,0,0,400,0,0,400,400,0,0,20
1901,0,0,0,0,0,0,0,0,0,0,696,0,696,696,696,0,0,10
1901,0,0,0,0,0,0,0,0,0,0,900,0,0,900,0,0,0,30
1901,0,0,0,0,0,0,0,0,0,0,981,0,0,981,0,0,104,25
1901,0,0,0,0,0,0,0,0,0,0,1076,0,0,1076,0,0,0,12
1901,0,0,0,0,0,0,0,0,0,0,1089,0,1089,1089,1089,0,47946,33
1901,0,0,0,0,0,0,0,0,0,0,1211,0,0,1211,1211,0,54096,13
1901,0,0,0,0,0,0,0,0,0,0,2401,0,0,0,0,0,0,49
1901,0,0,0,0,0,0,0,0,0,0,2785,0,2785,2785,0,0,0,20
1901,0,0,0,0,0,0,0,0,0,0,3249,0,0,3249,0,0,0,57
1901,0,0,0,0,0,0,0,0,0,0,3683,0,0,0,0,0,0,23
1901,0,0,0,0,0,0,0,0,0,0,4624,0,0,0,0,0,0,68
1901,0,0,0,0,0,0,0,0,0,0,5476,0,0,5476,0,0,0,74
1901,0,0,0,0,0,0,0,0,0,0,7056,0,0,7056,7056,0,0,84
1901,0,0,0,0,0,0,0,0,0,0,8649,0,0,8649,0,0,0,93
1901,0,0,0,0,0,0,0,0,0,0,9409,0,0,9409,0,0,0,97
1901,0,0,0,0,0,0,0,0,0,0,10403,0,0,10403,10403,0,0,82
1901,0,0,0,0,0,0,0,0,0,0,16641,0,0,16641,16641,0,0,129
1901,0,0,0,0,0,0,0,0,0,0,17392,0,0,0,17392,0,0,48
1901,0,0,0,0,0,0,0,0,0,0,21904,0,0,0,21904,0,0,148
1901,0,0,0,0,0,0,0,0,0,0,22801,0,0,22801,22801,0,0,151
1901,0,0,0,0,0,0,0,0,0,0,23716,0,23716,23716,0,0,0,154
1901,0,0,0,0,0,0,0,0,0,0,24964,0,0,0,0,0,0,158
1901,0,0,0,0,0,0,0,0,0,0,25600,0,0,25600,25600,0,0,160
1901,0,0,0,0,0,0,0,0,0,0,45638,0,0,45638,0,0,0,172
1901,0,0,0,0,0,0,0,0,0,0,125316,0,0,0,125316,0,0,354
1901,0,0,0,0,0,0,0,49284,0,0,0,0,0,49284,0,0,0,222
1901,0,0,0,0,0,9,0,0,0,0,9,0,0,0,9,0,-417,1
1901,0,0,0,0,1,0,0,0,0,0,1764,0,1764,1764,0,0,0,42
1901,0,0,0,0,1,0,0,0,0,0,6400,0,0,6400,6400,0,0,80
1901,0,0,0,0,1,0,0,0,0,0,30276,0,0,0,30276,0,-1720,174
1901,0,0,0,1,0,0,0,0,0,0,6241,0,0,0,0,0,0,79
1901,0,0,0,1,0,0,0,0,0,0,8679,0,0,0,0,0,0,75
1901,0,0,0,1,0,0,0,0,0,0,22500,0,0,0,0,22500,56285,150
1901,0,0,0,1,0,0,0,0,0,0,44521,0,0,0,44521,0,0,211
1901,0,0,0,1,0,0,0,0,0,0,84100,0,0,0,0,0,27830,290
1901,0,0,0,1,0,0,0,103684,0,0,0,0,0,103684,0,0,0,322
1901,0,0,0,1,1,0,0,0,0,0,0,87616,0,0,0,0,20846,296
1901,0,0,0,1,1,0,0,0,0,0,144,0,0,0,144,0,0,12
1901,0,0,0,1,1,0,0,0,0,0,284,0,0,0,0,0,19804,14
1901,0,0,0,1,1,0,0,0,0,0,1549,0,0,0,0,0,104,32
1901,0,0,0,1,1,0,0,0,0,0,2199,0,0,2199,2199,0,0,17
1901,0,0,0,1,1,0,0,0,0,0,3788,0,0,0,0,0,59412,23
1901,0,0,0,1,1,0,0,0,0,0,5776,0,0,0,0,0,0,76
1901,0,0,0,1,1,0,0,0,0,0,8933,0,0,0,0,0,0,35
1901,0,0,0,1,1,0,0,0,0,0,11069,0,0,11069,11069,0,115,84
1901,0,0,0,1,1,0,0,0,0,0,11449,0,0,11449,11449,0,0,107
1901,0,0,0,1,1,0,0,0,0,0,53824,0,0,0,53824,0,38357,232
1901,0,0,0,1,1,0,0,0,0,0,123201,123201,0,0,123201,0,0,351
1901,0,0,0,1,1,0,0,1653,0,0,0,0,0,1653,0,0,0,15
1901,0,0,0,1,1,0,0,4489,0,0,4489,0,0,0,0,0,4690,67
1901,0,0,0,1,1,0,0,33856,0,0,33856,0,0,0,0,0,11465,184
1901,0,0,0,1,1,0,3698,0,0,0,3698,0,0,0,3698,0,3148,22
1901,0,0,0,1,1,0,10000,0,0,0,0,0,0,10000,0,10000,1147,100
1901,0,0,0,1,1,32,0,0,0,0,32,0,0,0,32,0,40650,2
1901,0,0,0,1,1,26896,0,0,0,0,26896,0,0,0,0,0,33354,164
1901,0,0,1,1,0,0,1936,1936,0,0,1936,1936,0,0,0,0,62747,44
1901,1,0,0,0,0,209,0,0,0,0,209,0,0,209,0,0,521,12
1901,1,0,0,1,0,0,0,0,0,0,757,0,0,757,0,0,208,10
1901,1,0,0,1,0,0,26896,0,0,0,0,0,0,0,0,0,261,164
1901,1,1,0,0,0,0,0,33124,0,0,0,0,0,0,0,0,261,182
1901,2,0,0,1,1,0,0,0,0,0,9216,0,9216,0,0,0,417,96
1901,2,0,0,1,1,314,0,0,0,0,314,314,0,0,0,314,834,7
1901,3,0,1,1,1,0,0,0,0,0,34969,0,0,0,34969,0,16177,187
1901,4,0,0,1,0,0,0,0,0,0,5640,0,0,0,0,0,11048,28
1901,4,0,0,1,0,0,0,7569,0,0,7569,0,0,0,0,0,11048,87
1901,4,0,0,1,1,0,0,0,0,0,778,0,0,0,0,0,97977,11
1901,4,0,0,1,1,0,0,0,0,0,1764,0,0,0,1764,0,855,42
1901,4,0,0,1,1,0,0,0,0,0,5041,0,0,0,0,0,1042,71
1901,5,1,0,1,1,0,0,0,0,0,205,0,0,0,0,0,886,5
1901,6,0,0,0,0,0,0,0,0,0,961,0,0,0,0,0,47946,31
1901,6,0,0,0,0,0,0,0,0,0,136161,0,0,0,0,0,1042,369
1901,6,0,0,1,0,0,0,0,0,0,2601,0,0,0,0,0,1042,51
1901,6,0,0,1,1,0,0,0,0,0,18225,0,0,0,0,0,2147,135
1901,6,1,0,1,1,0,0,0,0,0,2783,0,0,0,2783,0,938,19
1901,7,0,0,0,0,0,0,0,0,0,2292,0,0,2292,0,0,1042,18
1901,7,0,0,0,0,0,0,0,0,0,30625,0,0,0,0,0,2001,175
1901,7,0,0,0,0,0,0,376996,0,0,0,0,0,0,376996,0,1042,614
1901,7,0,0,1,0,0,0,0,0,0,14641,0,0,0,14641,0,1251,121
1901,8,0,0,1,0,0,0,0,0,0,5041,0,0,0,0,0,8755,71
1901,8,0,0,1,0,0,0,0,0,0,5422,5422,0,0,0,0,42943,27
1901,9,0,0,0,0,0,0,0,0,0,16,0,0,16,0,0,1355,1
1901,9,0,0,0,0,0,0,0,0,0,65,0,0,65,0,0,1980,3
1901,9,0,0,0,0,0,0,0,0,0,2268,0,0,2268,2268,0,1355,17
1901,9,0,0,0,0,0,0,0,0,0,129600,0,0,0,0,0,12925,360
1901,9,0,0,1,0,0,0,0,0,0,4489,0,0,0,0,0,10944,67
1901,9,0,0,1,0,0,0,0,0,0,52441,0,0,52441,0,0,1251,229
1901,9,0,1,1,0,0,0,0,0,0,9,0,0,9,9,0,1772,1
1901,10,0,0,0,0,0,0,0,0,0,89,0,0,89,89,0,1563,4
1901,10,0,0,0,0,0,0,0,0,0,1310,0,0,0,0,0,2093,14
1901,10,0,0,0,0,0,0,0,0,0,667489,0,0,0,0,0,4795,817
